page,resource_type,author,url
2a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/923226.MP3?redirect=download.yutorah.org
3a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2011/1109/765789.MP3?redirect=download.yutorah.org
4a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2011/1109/765825.MP3?redirect=download.yutorah.org
5a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/923254.MP3?redirect=download.yutorah.org
6a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2011/1109/765847.MP3?redirect=download.yutorah.org
7a,audio,Elisha Graff,https://shiurim.yutorah.net/2019/63830/923319.MP3?redirect=download.yutorah.org
8a,audio,Elisha Graff,https://shiurim.yutorah.net/2019/63830/923348.MP3?redirect=download.yutorah.org
9a,audio,Rabbi Ben Sugerman,https://shiurim.yutorah.net/2011/4298/765995.MP3?redirect=download.yutorah.org
10a,audio,Michael Fruchter,https://shiurim.yutorah.net/2011/971/766045.MP3?redirect=download.yutorah.org
11a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/923368.MP3?redirect=download.yutorah.org
12a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/923396.MP3?redirect=download.yutorah.org
13a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/923449.MP3?redirect=download.yutorah.org
14a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/923525.MP3?redirect=download.yutorah.org
15a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/923639.MP3?redirect=download.yutorah.org
16a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/923750.MP3?redirect=download.yutorah.org
17a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2011/1109/766344.MP3?redirect=download.yutorah.org
18a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/923789.MP3?redirect=download.yutorah.org
