page	resource_type	author	url
2a	video	NotebookLM	https://youtu.be/1AHBA20dhvc
2a	audio	Rabbi Aryeh Lebowitz	https://pub-118b5aaf6ae949ac8f59a93faec8a3da.r2.dev/2020/1109/941443.MP3?redirect=download.yutorah.org
3a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/941547.MP3?redirect=download.yutorah.org
4a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/941681.MP3?redirect=download.yutorah.org
5a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/941783.MP3?redirect=download.yutorah.org
6a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/941903.MP3?redirect=download.yutorah.org
7a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/948570.MP3?redirect=download.yutorah.org
8a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/780796.MP3?redirect=download.yutorah.org
9a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/780817.MP3?redirect=download.yutorah.org
10a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/942100.MP3?redirect=download.yutorah.org
11a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/780851.MP3?redirect=download.yutorah.org
12a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/780861.MP3?redirect=download.yutorah.org
13a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/780904.MP3?redirect=download.yutorah.org
14a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/780929.MP3?redirect=download.yutorah.org
15a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/780950.MP3?redirect=download.yutorah.org
16a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/942878.MP3?redirect=download.yutorah.org
17a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/942951.MP3?redirect=download.yutorah.org
18a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/943096.MP3?redirect=download.yutorah.org
19a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/943212.MP3?redirect=download.yutorah.org
20a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/943332.MP3?redirect=download.yutorah.org
21a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/943452.MP3?redirect=download.yutorah.org
22a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781121.MP3?redirect=download.yutorah.org
23a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/943520.MP3?redirect=download.yutorah.org
24a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/943622.MP3?redirect=download.yutorah.org
25a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/943721.MP3?redirect=download.yutorah.org
26a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781199.MP3?redirect=download.yutorah.org
27a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781240.MP3?redirect=download.yutorah.org
28a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781284.MP3?redirect=download.yutorah.org
29a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781321.MP3?redirect=download.yutorah.org
30a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781389.MP3?redirect=download.yutorah.org
31a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1053/944279.MP3?redirect=download.yutorah.org
32a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781433.MP3?redirect=download.yutorah.org
33a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781474.MP3?redirect=download.yutorah.org
34a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781526.MP3?redirect=download.yutorah.org
35a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781593.MP3?redirect=download.yutorah.org
36a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781657.MP3?redirect=download.yutorah.org
37a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/945145.MP3?redirect=download.yutorah.org
38a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/945247.MP3?redirect=download.yutorah.org
39a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/945395.MP3?redirect=download.yutorah.org
40a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/945534.MP3?redirect=download.yutorah.org
41a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/945676.MP3?redirect=download.yutorah.org
42a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/945810.MP3?redirect=download.yutorah.org
43a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/781959.MP3?redirect=download.yutorah.org
44a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/945888.MP3?redirect=download.yutorah.org
45a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/945982.MP3?redirect=download.yutorah.org
46a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/946094.MP3?redirect=download.yutorah.org
47a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/946240.MP3?redirect=download.yutorah.org
48a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/946368.MP3?redirect=download.yutorah.org
49a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/946529.MP3?redirect=download.yutorah.org
50a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/782125.MP3?redirect=download.yutorah.org
51a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/946637.MP3?redirect=download.yutorah.org
52a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/946748.MP3?redirect=download.yutorah.org
53a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/946850.MP3?redirect=download.yutorah.org
54a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/946985.MP3?redirect=download.yutorah.org
55a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/947119.MP3?redirect=download.yutorah.org
56a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/947269.MP3?redirect=download.yutorah.org
57a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/782344.MP3?redirect=download.yutorah.org
58a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/947378.MP3?redirect=download.yutorah.org
59a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/947476.MP3?redirect=download.yutorah.org
60a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/947602.MP3?redirect=download.yutorah.org
61a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/947721.MP3?redirect=download.yutorah.org
62a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/947844.MP3?redirect=download.yutorah.org
63a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2020/1109/948007.MP3?redirect=download.yutorah.org
64a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2012/1109/782416.MP3?redirect=download.yutorah.org
