page,resource_type,author,url
2a,video,NotebookLM,https://www.youtube.com/watch?v=rx1kg0LMNcc
2a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905473.MP3
2b,video,NotebookLM,https://www.youtube.com/watch?v=7B1ub2bJfRU
2b,video,NotebookLM,https://www.youtube.com/watch?v=m1kUH9joapA
3a,video,NotebookLM,https://www.youtube.com/watch?v=7B1ub2bJfRU
3a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905508.MP3
4a,video,NotebookLM,https://www.youtube.com/watch?v=ZurN8JYVC1g
4a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905544.MP3
4b,video,NotebookLM,https://www.youtube.com/watch?v=P7kGRydLbuY
5a,video,NotebookLM,https://www.youtube.com/watch?v=v0d28nRZSeg
5a,video,NotebookLM,https://www.youtube.com/watch?v=P7kGRydLbuY
5a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905611.MP3
5b,video,NotebookLM,https://www.youtube.com/watch?v=oNAVgcjS9jw
5b,video,NotebookLM,https://www.youtube.com/watch?v=sXiua_kd-j4
5b,video,NotebookLM,https://www.youtube.com/watch?v=v0d28nRZSeg
6a,video,NotebookLM,https://www.youtube.com/watch?v=Yt2VGKSJnAk
6a,video,NotebookLM,https://www.youtube.com/watch?v=SM3KyCuML_g
6a,video,NotebookLM,https://www.youtube.com/watch?v=oNAVgcjS9jw
6a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905670.MP3
6b,video,NotebookLM,https://www.youtube.com/watch?v=tg32aaHti0g
6b,video,NotebookLM,https://www.youtube.com/watch?v=SFXiFI4RTl0
6b,video,NotebookLM,https://www.youtube.com/watch?v=Yt2VGKSJnAk
7a,video,NotebookLM,https://www.youtube.com/watch?v=_DLLzJTPHR8
7a,video,NotebookLM,https://www.youtube.com/watch?v=tg32aaHti0g
7a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905713.MP3
7b,video,NotebookLM,https://www.youtube.com/watch?v=jeyQ8kVzyvo
7b,video,NotebookLM,https://www.youtube.com/watch?v=lob2jlsdThs
7b,video,NotebookLM,https://www.youtube.com/watch?v=_DLLzJTPHR8
8a,video,NotebookLM,https://www.youtube.com/watch?v=8mBPJFaY_7o
8a,video,NotebookLM,https://www.youtube.com/watch?v=o_DVRBF2lac
8a,video,NotebookLM,https://www.youtube.com/watch?v=lob2jlsdThs
8b,video,NotebookLM,https://www.youtube.com/watch?v=C47e6KX_CG4
8b,video,NotebookLM,https://www.youtube.com/watch?v=8mBPJFaY_7o
9a,video,NotebookLM,https://www.youtube.com/watch?v=0YwOIiL45uw
9a,video,NotebookLM,https://www.youtube.com/watch?v=C47e6KX_CG4
9a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905762.MP3
9b,video,NotebookLM,https://www.youtube.com/watch?v=0YwOIiL45uw
9b,video,NotebookLM,https://www.youtube.com/watch?v=zzFrbGNnMVc
10a,video,NotebookLM,https://www.youtube.com/watch?v=bnZRsahMJLM
10a,video,NotebookLM,https://www.youtube.com/watch?v=zzFrbGNnMVc
10a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905795.MP3
10b,video,NotebookLM,https://www.youtube.com/watch?v=IyeC9qZaPRQ
10b,video,NotebookLM,https://www.youtube.com/watch?v=bnZRsahMJLM
11a,video,NotebookLM,https://www.youtube.com/watch?v=U8Fj-sGfQ0g
11a,video,NotebookLM,https://www.youtube.com/watch?v=Kz6joQJ_SdU
11a,video,NotebookLM,https://www.youtube.com/watch?v=IyeC9qZaPRQ
11a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905872.MP3
11b,video,NotebookLM,https://www.youtube.com/watch?v=U8Fj-sGfQ0g
11b,video,NotebookLM,https://www.youtube.com/watch?v=gWGP3dQfPPk
11b,video,NotebookLM,https://www.youtube.com/watch?v=GIlqxtitukc
12a,video,NotebookLM,https://www.youtube.com/watch?v=f0lr7o1xwPQ
12a,video,NotebookLM,https://www.youtube.com/watch?v=gWGP3dQfPPk
12a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/905931.MP3
12b,video,NotebookLM,https://www.youtube.com/watch?v=f0lr7o1xwPQ
12b,video,NotebookLM,https://www.youtube.com/watch?v=VR6xKC-sqCA
13a,video,NotebookLM,https://www.youtube.com/watch?v=DH_c6q2oxlI
13a,video,NotebookLM,https://www.youtube.com/watch?v=VR6xKC-sqCA
13a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/906016.MP3
13b,video,NotebookLM,https://www.youtube.com/watch?v=ISGWNyN1rH0
13b,video,NotebookLM,https://www.youtube.com/watch?v=9A9J5M4a10I
13b,video,NotebookLM,https://www.youtube.com/watch?v=DH_c6q2oxlI
14a,video,NotebookLM,https://www.youtube.com/watch?v=ISGWNyN1rH0
14a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2018/1109/906107.MP3
14b,video,NotebookLM,https://www.youtube.com/watch?v=uvWtp2jmD9U
14b,video,NotebookLM,https://www.youtube.com/watch?v=jGOCIXxHBYc
14b,video,NotebookLM,https://www.youtube.com/watch?v=ISGWNyN1rH0
15a,video,NotebookLM,https://www.youtube.com/watch?v=WlSQPkmyh9w
15a,video,NotebookLM,https://www.youtube.com/watch?v=AkFi_duLYnE
15a,video,NotebookLM,https://www.youtube.com/watch?v=uvWtp2jmD9U
15b,video,NotebookLM,https://www.youtube.com/watch?v=sjWnHdcPUPc
15b,video,NotebookLM,https://www.youtube.com/watch?v=WlSQPkmyh9w
16a,video,NotebookLM,https://www.youtube.com/watch?v=0nhEmQATtOA
