page,resource_type,author,url
2a,audio,Rabbi Oren Neiman,https://shiurim.yutorah.net/2022/31929/1022917.MP3?redirect=download.yutorah.org
3a,audio,Rabbi Zvi Herman,https://shiurim.yutorah.net/2022/18724/1022982.MP3?redirect=download.yutorah.org
4a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2014/1109/816364.MP3?redirect=download.yutorah.org
5a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1023122.MP3?redirect=download.yutorah.org
6a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1023236.MP3?redirect=download.yutorah.org
7a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1023312.MP3?redirect=download.yutorah.org
8a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1023416.MP3?redirect=download.yutorah.org
9a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1023588.MP3?redirect=download.yutorah.org
10a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2014/1109/816560.MP3?redirect=download.yutorah.org
11a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1023694.MP3?redirect=download.yutorah.org
12a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1023791.MP3?redirect=download.yutorah.org
13a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1023907.MP3?redirect=download.yutorah.org
14a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1024049.MP3?redirect=download.yutorah.org
15a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1024143.MP3?redirect=download.yutorah.org
16a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1024273.MP3?redirect=download.yutorah.org
17a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2014/1109/816766.MP3?redirect=download.yutorah.org
18a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2014/1109/816825.MP3?redirect=download.yutorah.org
19a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1024444.MP3?redirect=download.yutorah.org
20a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1024548.MP3?redirect=download.yutorah.org
21a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1024660.MP3?redirect=download.yutorah.org
22a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1024766.MP3?redirect=download.yutorah.org
23a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1024897.MP3?redirect=download.yutorah.org
24a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2014/1109/817091.MP3?redirect=download.yutorah.org
25a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1025047.MP3?redirect=download.yutorah.org
26a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1025097.MP3?redirect=download.yutorah.org
27a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1025297.MP3?redirect=download.yutorah.org
28a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1025403.MP3?redirect=download.yutorah.org
29a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2022/1109/1025566.MP3?redirect=download.yutorah.org
