verse,reference,tree_raw
1,Amos 6:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'ה֚וֹי'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַשַּׁאֲנַנִּ֣ים'}, {'name': 'בְּצִיּ֔וֹן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהַבֹּטְחִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּהַ֣ר'}, {'name': 'שֹׁמְר֑וֹן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'נְקֻבֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רֵאשִׁ֣ית'}, {'name': 'הַגּוֹיִ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבָ֥אוּ'}, {'name': 'לָהֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בֵּ֥ית'}, {'name': 'יִשְׂרָאֵֽל׃'}]}]}]}]}"
2,Amos 6:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עִבְר֤וּ'}, {'name': 'כַֽלְנֵה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּרְא֔וּ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּלְכ֥וּ'}, {'name': 'מִשָּׁ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'חֲמַ֣ת'}, {'name': 'רַבָּ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וּרְד֣וּ'}, {'name': 'גַת־פְּלִשְׁתּ֗ים'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הֲטוֹבִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִן־הַמַּמְלָכ֣וֹת'}, {'name': 'הָאֵ֔לֶּה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִם־רַ֥ב'}, {'name': 'גְּבוּלָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִגְּבֻלְכֶֽם׃'}]}]}]}]}"
3,Amos 6:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הַֽמְנַדִּ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְי֣וֹם'}, {'name': 'רָ֑ע'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתַּגִּישׁ֖וּן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שֶׁ֥בֶת'}, {'name': 'חָמָֽס׃'}]}]}]}"
4,Amos 6:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הַשֹּֽׁכְבִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־מִטּ֣וֹת'}, {'name': 'שֵׁ֔ן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּסְרֻחִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־עַרְשׂוֹתָ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֹכְלִ֤ים'}, {'name': 'כָּרִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִצֹּ֔אן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַעֲגָלִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִתּ֥וֹךְ'}, {'name': 'מַרְבֵּֽק׃'}]}]}]}]}"
5,Amos 6:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הַפֹּרְטִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־פִּ֣י'}, {'name': 'הַנָּ֑בֶל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'כְּדָוִ֕יד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חָשְׁב֥וּ'}, {'name': 'לָהֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כְּלֵי־שִֽׁיר׃'}]}]}]}]}"
6,Amos 6:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הַשֹּׁתִ֤ים'}, {'name': 'בְּמִזְרְקֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יַ֔יִן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְרֵאשִׁ֥ית'}, {'name': 'שְׁמָנִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יִמְשָׁ֑חוּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְלֹ֥א'}, {'name': 'נֶחְל֖וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־שֵׁ֥בֶר'}, {'name': 'יוֹסֵֽף׃'}]}]}]}"
7,Amos 6:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'לָכֵ֛ן'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַתָּ֥ה'}, {'name': 'יִגְל֖וּ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּרֹ֣אשׁ'}, {'name': 'גֹּלִ֑ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְסָ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִרְזַ֥ח'}, {'name': 'סְרוּחִֽים׃'}]}]}]}"
8,Amos 6:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'נִשְׁבַּע֩'}, {'name': 'אֲדֹנָ֨י'}, {'name': 'יְהוִ֜ה'}]}, {'name': 'REVIA', 'children': [{'name': 'בְּנַפְשׁ֗וֹ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'נְאֻם־יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֱלֹהֵ֣י'}, {'name': 'צְבָא֔וֹת'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מְתָאֵ֤ב'}, {'name': 'אָֽנֹכִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־גְּא֣וֹן'}, {'name': 'יַֽעֲקֹ֔ב'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאַרְמְנֹתָ֖יו'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שָׂנֵ֑אתִי'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהִסְגַּרְתִּ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עִ֥יר'}, {'name': 'וּמְלֹאָֽהּ׃'}]}]}]}"
9,Amos 6:9,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְהָיָ֗ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'אִם־יִוָּ֨תְר'}, {'name': '֜וּ'}]}, {'name': 'TEVIR', 'children': [{'name': 'עֲשָׂרָ֧ה'}, {'name': 'אֲנָשִׁ֛ים'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'בְּבַ֥יִת'}, {'name': 'אֶחָ֖ד'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וָמֵֽתוּ׃'}]}]}]}"
10,Amos 6:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וּנְשָׂא֞וֹ'}]}, {'name': 'REVIA', 'children': [{'name': 'דּוֹד֣וֹ'}, {'name': 'וּמְסָרְפ֗וֹ'}]}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'לְהוֹצִ֣יא'}, {'name': 'עֲצָמִים֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'מִן־הַבַּיִת֒'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וְאָמַ֞ר'}]}, {'name': 'TEVIR', 'children': [{'name': 'לַאֲשֶׁ֨ר'}, {'name': 'בְּיַרְכְּתֵ֥י'}, {'name': 'הַבַּ֛יִת'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'הַע֥וֹד'}, {'name': 'עִמָּ֖ךְ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְאָמַ֣ר'}, {'name': 'אָ֑פֶס'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאָמַ֣ר'}, {'name': 'הָ֔ס'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כִּ֛י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לֹ֥א'}, {'name': 'לְהַזְכִּ֖יר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּשֵׁ֥ם'}, {'name': 'יְהוָֽה׃'}]}]}]}]}"
