verse,reference,tree_raw
1,Daniel 8:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'בִּשְׁנַ֣ת'}, {'name': 'שָׁל֔וֹשׁ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְמַלְכ֖וּת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֵּלְאשַׁצַּ֣ר'}, {'name': 'הַמֶּ֑לֶךְ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'חָז֞וֹן'}]}, {'name': 'PASHTA', 'children': [{'name': 'נִרְאָ֤ה'}, {'name': 'אֵלַי֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲנִ֣י'}, {'name': 'דָנִיֵּ֔אל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אַחֲרֵ֛י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'הַנִּרְאָ֥ה'}, {'name': 'אֵלַ֖י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּתְּחִלָּֽה׃'}]}]}]}]}"
2,Daniel 8:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'וָֽאֶרְאֶה֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'בֶּחָזוֹן֒'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְהִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בִּרְאֹתִ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַאֲנִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּשׁוּשַׁ֣ן'}, {'name': 'הַבִּירָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּעֵילָ֣ם'}, {'name': 'הַמְּדִינָ֑ה'}]}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וָאֶרְאֶה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בֶּֽחָז֔וֹן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַאֲנִ֥י'}, {'name': 'הָיִ֖יתִי'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־אוּבַ֥ל'}, {'name': 'אוּלָֽי׃'}]}]}]}]}"
3,Daniel 8:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וָאֶשָּׂ֤א'}, {'name': 'עֵינַי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וָאֶרְאֶ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'וְהִנֵּ֣ה׀'}]}, {'name': 'REVIA', 'children': [{'name': 'אַ֣יִל'}, {'name': 'אֶחָ֗ד'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'עֹמֵ֛ד'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לִפְנֵ֥י'}, {'name': 'הָאֻבָ֖ל'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְל֣וֹ'}, {'name': 'קְרָנָ֑יִם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְהַקְּרָנַ֣יִם'}, {'name': 'גְּבֹה֗וֹת'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהָאַחַת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'גְּבֹהָ֣ה'}, {'name': 'מִן־הַשֵּׁנִ֔ית'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהַ֨גְּבֹהָ'}, {'name': '֔ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עֹלָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בָּאַחֲרֹנָֽה׃'}]}]}]}]}]}"
4,Daniel 8:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'PAZER', 'children': [{'name': 'רָאִ֣יתִי'}, {'name': 'אֶת־הָאַ֡יִל'}]}, {'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'מְנַגֵּחַ֩'}, {'name': 'יָ֨מָּה'}, {'name': 'וְצָפ֜וֹנָה'}]}, {'name': 'REVIA', 'children': [{'name': 'וָנֶ֗גְבָּה'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְכָל־חַיּוֹת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֹֽא־יַֽעַמְד֣וּ'}, {'name': 'לְפָנָ֔יו'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֵ֥ין'}, {'name': 'מַצִּ֖יל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִיָּד֑וֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעָשָׂ֥ה'}, {'name': 'כִרְצֹנ֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְהִגְדִּֽיל׃'}]}]}]}"
5,Daniel 8:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'וַאֲנִ֣י׀'}]}, {'name': 'REVIA', 'children': [{'name': 'הָיִ֣יתִי'}, {'name': 'מֵבִ֗ין'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהִנֵּ֤ה'}, {'name': 'צְפִיר־הָֽעִזִּים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בָּ֤א'}, {'name': 'מִן־הַֽמַּעֲרָב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־פְּנֵ֣י'}, {'name': 'כָל־הָאָ֔רֶץ'}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֵ֥ין'}, {'name': 'נוֹגֵ֖עַ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בָּאָ֑רֶץ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהַ֨צָּפִ'}, {'name': '֔יר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'קֶ֥רֶן'}, {'name': 'חָז֖וּת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בֵּ֥ין'}, {'name': 'עֵינָֽיו׃'}]}]}]}]}"
6,Daniel 8:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיָּבֹ֗א'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַד־הָאַ֙יִל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּ֣עַל'}, {'name': 'הַקְּרָנַ֔יִם'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'רָאִ֔יתִי'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עֹמֵ֖ד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לִפְנֵ֣י'}, {'name': 'הָאֻבָ֑ל'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּ֥רָץ'}, {'name': 'אֵלָ֖יו'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּחֲמַ֥ת'}, {'name': 'כֹּחֽוֹ׃'}]}]}]}"
7,Daniel 8:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וּרְאִיתִ֞יו'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'מַגִּ֣יעַ׀'}]}, {'name': 'REVIA', 'children': [{'name': 'אֵ֣צֶל'}, {'name': 'הָאַ֗יִל'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּתְמַרְמַ֤ר'}, {'name': 'אֵלָיו֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיַּ֣ךְ'}, {'name': 'אֶת־הָאַ֔יִל'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְשַׁבֵּר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־שְׁתֵּ֣י'}, {'name': 'קְרָנָ֔יו'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְלֹא־הָ֥יָה'}, {'name': 'כֹ֛חַ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בָּאַ֖יִל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַעֲמֹ֣ד'}, {'name': 'לְפָנָ֑יו'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיַּשְׁלִיכֵ֤הוּ'}, {'name': 'אַ֙רְצָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַֽיִּרְמְסֵ֔הוּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְלֹא־הָיָ֥ה'}, {'name': 'מַצִּ֛יל'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לָאַ֖יִל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִיָּדֽוֹ׃'}]}]}]}]}"
8,Daniel 8:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּצְפִ֥יר'}, {'name': 'הָעִזִּ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הִגְדִּ֣יל'}, {'name': 'עַד־מְאֹ֑ד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וּכְעָצְמ֗וֹ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'נִשְׁבְּרָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַקֶּ֣רֶן'}, {'name': 'הַגְּדוֹלָ֔ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַֽתַּעֲלֶ֜נָה'}]}, {'name': 'PASHTA', 'children': [{'name': 'חָז֤וּת'}, {'name': 'אַרְבַּע֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'תַּחְתֶּ֔יהָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְאַרְבַּ֖ע'}]}, {'name': 'SILLUQ', 'children': [{'name': 'רוּח֥וֹת'}, {'name': 'הַשָּׁמָֽיִם׃'}]}]}]}]}]}"
9,Daniel 8:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִן־הָאַחַ֣ת'}, {'name': 'מֵהֶ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יָצָ֥א'}, {'name': 'קֶֽרֶן־אַחַ֖ת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִצְּעִירָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַתִּגְדַּל־יֶ֛תֶר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶל־הַנֶּ֥גֶב'}, {'name': 'וְאֶל־הַמִּזְרָ֖ח'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְאֶל־הַצֶּֽבִי׃'}]}]}]}"
10,Daniel 8:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתִּגְדַּ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַד־צְבָ֣א'}, {'name': 'הַשָּׁמָ֑יִם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַתַּפֵּ֥ל'}, {'name': 'אַ֛רְצָה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִן־הַצָּבָ֥א'}, {'name': 'וּמִן־הַכּוֹכָבִ֖ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַֽתִּרְמְסֵֽם׃'}]}]}]}"
