verse,reference,tree_raw
1,Deuteronomy 31:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֵּ֖לֶךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֹשֶׁ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיְדַבֵּ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶת־הַדְּבָרִ֥ים'}, {'name': 'הָאֵ֖לֶּה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶל־כָּל־יִשְׂרָאֵֽל׃'}]}]}]}"
2,Deuteronomy 31:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'אֲלֵהֶ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בֶּן־מֵאָה֩'}, {'name': 'וְעֶשְׂרִ֨ים'}, {'name': 'שָׁנָ֤ה'}, {'name': 'אָנֹכִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַיּ֔וֹם'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לֹא־אוּכַ֥ל'}, {'name': 'ע֖וֹד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לָצֵ֣את'}, {'name': 'וְלָב֑וֹא'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַֽיהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אָמַ֣ר'}, {'name': 'אֵלַ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לֹ֥א'}, {'name': 'תַעֲבֹ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶת־הַיַּרְדֵּ֥ן'}, {'name': 'הַזֶּֽה׃'}]}]}]}]}"
3,Deuteronomy 31:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'יְהוָ֨ה'}, {'name': 'אֱלֹהֶ֜יךָ'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'ה֣וּא׀'}]}, {'name': 'REVIA', 'children': [{'name': 'עֹבֵ֣ר'}, {'name': 'לְפָנֶ֗יךָ'}]}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'הֽוּא־יַשְׁמִ֞יד'}]}, {'name': 'TEVIR', 'children': [{'name': 'אֶת־הַגּוֹיִ֥ם'}, {'name': 'הָאֵ֛לֶּה'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִלְּפָנֶ֖יךָ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וִֽירִשְׁתָּ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'יְהוֹשֻׁ֗עַ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'ה֚וּא'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עֹבֵ֣ר'}, {'name': 'לְפָנֶ֔יךָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כַּאֲשֶׁ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'דִּבֶּ֥ר'}, {'name': 'יְהוָֽה׃'}]}]}]}]}"
4,Deuteronomy 31:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְעָשָׂ֤ה'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לָהֶ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'כַּאֲשֶׁ֣ר'}, {'name': 'עָשָׂ֗ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'לְסִיח֥וֹן'}, {'name': 'וּלְע֛וֹג'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מַלְכֵ֥י'}, {'name': 'הָאֱמֹרִ֖י'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וּלְאַרְצָ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'הִשְׁמִ֖יד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֹתָֽם׃'}]}]}]}"
5,Deuteronomy 31:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּנְתָנָ֥ם'}, {'name': 'יְהוָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לִפְנֵיכֶ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַעֲשִׂיתֶ֣ם'}, {'name': 'לָהֶ֔ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'כְּכָל־הַמִּצְוָ֔ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'צִוִּ֖יתִי'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶתְכֶֽם׃'}]}]}]}]}]}"
6,Deuteronomy 31:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'חִזְק֣וּ'}, {'name': 'וְאִמְצ֔וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אַל־תִּֽירְא֥וּ'}, {'name': 'וְאַל־תַּעַרְצ֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִפְּנֵיהֶ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'כִּ֣י׀'}]}, {'name': 'REVIA', 'children': [{'name': 'יְהוָ֣ה'}, {'name': 'אֱלֹהֶ֗יךָ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'ה֚וּא'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַהֹלֵ֣ךְ'}, {'name': 'עִמָּ֔ךְ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לֹ֥א'}, {'name': 'יַרְפְּךָ֖'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְלֹ֥א'}, {'name': 'יַעַזְבֶֽךָּ׃'}]}]}]}]}"
7,Deuteronomy 31:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיִּקְרָ֨א'}, {'name': 'מֹשֶׁ֜ה'}]}, {'name': 'REVIA', 'children': [{'name': 'לִֽיהוֹשֻׁ֗עַ'}]}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיֹּ֨אמֶר'}, {'name': 'אֵלָ֜יו'}]}, {'name': 'ZARQA', 'children': [{'name': 'לְעֵינֵ֣י'}, {'name': 'כָל־יִשְׂרָאֵ֘ל'}]}]}, {'name': 'SEGOLTA', 'children': [{'name': 'חֲזַ֣ק'}, {'name': 'וֶאֱמָץ֒'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'כִּ֣י'}, {'name': 'אַתָּ֗ה'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'תָּבוֹא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־הָעָ֣ם'}, {'name': 'הַזֶּ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'אֶל־הָאָ֕רֶץ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אֲשֶׁ֨ר'}, {'name': 'נִשְׁבַּ֧ע'}, {'name': 'יְהוָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לַאֲבֹתָ֖ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לָתֵ֣ת'}, {'name': 'לָהֶ֑ם'}]}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאַתָּ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תַּנְחִילֶ֥נָּה'}, {'name': 'אוֹתָֽם׃'}]}]}]}"
8,Deuteronomy 31:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וַֽיהוָ֞ה'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'ה֣וּא׀'}]}, {'name': 'REVIA', 'children': [{'name': 'הַהֹלֵ֣ךְ'}, {'name': 'לְפָנֶ֗יךָ'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'ה֚וּא'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יִהְיֶ֣ה'}, {'name': 'עִמָּ֔ךְ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לֹ֥א'}, {'name': 'יַרְפְּךָ֖'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְלֹ֣א'}, {'name': 'יַֽעַזְבֶ֑ךָּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לֹ֥א'}, {'name': 'תִירָ֖א'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְלֹ֥א'}, {'name': 'תֵחָֽת׃'}]}]}]}"
9,Deuteronomy 31:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'וַיִּכְתֹּ֣ב'}, {'name': 'מֹשֶׁה֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'אֶת־הַתּוֹרָ֣ה'}, {'name': 'הַזֹּאת֒'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַֽיִּתְּנָ֗הּ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶל־הַכֹּהֲנִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'לֵוִ֔י'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'הַנֹּ֣שְׂאִ'}, {'name': '֔ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶת־אֲר֖וֹן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּרִ֣ית'}, {'name': 'יְהוָ֑ה'}]}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶל־כָּל־זִקְנֵ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יִשְׂרָאֵֽל׃'}]}]}]}"
10,Deuteronomy 31:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיְצַ֥ו'}, {'name': 'מֹשֶׁ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אוֹתָ֣ם'}, {'name': 'לֵאמֹ֑ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'מִקֵּ֣ץ׀'}]}, {'name': 'REVIA', 'children': [{'name': 'שֶׁ֣בַע'}, {'name': 'שָׁנִ֗ים'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'בְּמֹעֵ֛ד'}]}, {'name': 'TIPCHA', 'children': [{'name': 'שְׁנַ֥ת'}, {'name': 'הַשְּׁמִטָּ֖ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּחַ֥ג'}, {'name': 'הַסֻּכּֽוֹת׃'}]}]}]}"
