verse,reference,tree_raw
1,Ecclesiastes 10:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'זְב֣וּבֵי'}, {'name': 'מָ֔וֶת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יַבְאִ֥ישׁ'}, {'name': 'יַבִּ֖יעַ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שֶׁ֣מֶן'}, {'name': 'רוֹקֵ֑חַ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'יָקָ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מֵחָכְמָ֥ה'}, {'name': 'מִכָּב֖וֹד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'סִכְל֥וּת'}, {'name': 'מְעָֽט׃'}]}]}]}"
2,Ecclesiastes 10:2,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לֵ֤ב'}, {'name': 'חָכָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לִֽימִינ֔וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְלֵ֥ב'}, {'name': 'כְּסִ֖יל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִשְׂמֹאלֽוֹ׃'}]}]}]}]}"
3,Ecclesiastes 10:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְגַם־בַּדֶּ֛רֶךְ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'כְּשֶׁסָּכָ֥ל'}, {'name': 'הֹלֵ֖ךְ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לִבּ֣וֹ'}, {'name': 'חָסֵ֑ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאָמַ֥ר'}, {'name': 'לַכֹּ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'סָכָ֥ל'}, {'name': 'הֽוּא׃'}]}]}]}"
4,Ecclesiastes 10:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אִם־ר֤וּחַ'}, {'name': 'הַמּוֹשֵׁל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'תַּעֲלֶ֣ה'}, {'name': 'עָלֶ֔יךָ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מְקוֹמְךָ֖'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אַל־תַּנַּ֑ח'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'כִּ֣י'}, {'name': 'מַרְפֵּ֔א'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יַנִּ֖יחַ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חֲטָאִ֥ים'}, {'name': 'גְּדוֹלִֽים׃'}]}]}]}]}"
5,Ecclesiastes 10:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'יֵ֣שׁ'}, {'name': 'רָעָ֔ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'רָאִ֖יתִי'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תַּ֣חַת'}, {'name': 'הַשָּׁ֑מֶשׁ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'כִּשְׁגָגָ֕ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שֶׁיֹּצָ֖א'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִלִּפְנֵ֥י'}, {'name': 'הַשַּׁלִּֽיט׃'}]}]}]}]}"
6,Ecclesiastes 10:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'נִתַּ֣ן'}, {'name': 'הַסֶּ֔כֶל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בַּמְּרוֹמִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'רַבִּ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַעֲשִׁירִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּשֵּׁ֥פֶל'}, {'name': 'יֵשֵֽׁבוּ׃'}]}]}]}"
7,Ecclesiastes 10:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'רָאִ֥יתִי'}, {'name': 'עֲבָדִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־סוּסִ֑ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְשָׂרִ֛ים'}]}, {'name': 'TIPCHA', 'children': [{'name': 'הֹלְכִ֥ים'}, {'name': 'כַּעֲבָדִ֖ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־הָאָֽרֶץ׃'}]}]}]}"
8,Ecclesiastes 10:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חֹפֵ֥ר'}, {'name': 'גּוּמָּ֖ץ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בּ֣וֹ'}, {'name': 'יִפּ֑וֹל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּפֹרֵ֥ץ'}, {'name': 'גָּדֵ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יִשְּׁכֶ֥נּוּ'}, {'name': 'נָחָֽשׁ׃'}]}]}]}"
9,Ecclesiastes 10:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'מַסִּ֣יעַ'}, {'name': 'אֲבָנִ֔ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יֵעָצֵ֖ב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בָּהֶ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בּוֹקֵ֥עַ'}, {'name': 'עֵצִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יִסָּ֥כֶן'}, {'name': 'בָּֽם׃'}]}]}]}"
10,Ecclesiastes 10:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'אִם־קֵהָ֣ה'}, {'name': 'הַבַּרְזֶ֗ל'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהוּא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֹא־פָנִ֣ים'}, {'name': 'קִלְקַ֔ל'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַחֲיָלִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְגַבֵּ֑ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְיִתְר֥וֹן'}, {'name': 'הַכְשֵׁ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חָכְמָֽה׃'}]}]}]}"
11,Ecclesiastes 10:11,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִם־יִשֹּׁ֥ךְ'}, {'name': 'הַנָּחָ֖שׁ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּלוֹא־לָ֑חַשׁ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאֵ֣ין'}, {'name': 'יִתְר֔וֹן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְבַ֖עַל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַלָּשֽׁוֹן׃'}]}]}]}]}"
12,Ecclesiastes 10:12,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'דִּבְרֵ֥י'}, {'name': 'פִי־חָכָ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'חֵ֑ן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְשִׂפְת֥וֹת'}, {'name': 'כְּסִ֖יל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תְּבַלְּעֶֽנּוּ׃'}]}]}]}"
13,Ecclesiastes 10:13,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'תְּחִלַּ֥ת'}, {'name': 'דִּבְרֵי־פִ֖יהוּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'סִכְל֑וּת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאַחֲרִ֣ית'}, {'name': 'פִּ֔יהוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הוֹלֵל֖וּת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'רָעָֽה׃'}]}]}]}]}"
14,Ecclesiastes 10:14,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהַסָּכָ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יַרְבֶּ֣ה'}, {'name': 'דְבָרִ֑ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לֹא־יֵדַ֤ע'}, {'name': 'הָאָדָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מַה־שֶׁיִּֽהְיֶ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַאֲשֶׁ֤ר'}, {'name': 'יִֽהְיֶה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מֵֽאַחֲרָ֔יו'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יַגִּ֥יד'}, {'name': 'לֽוֹ׃'}]}]}]}]}]}"
15,Ecclesiastes 10:15,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עֲמַ֥ל'}, {'name': 'הַכְּסִילִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תְּיַגְּעֶ֑נּוּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'לֹֽא־יָדַ֖ע'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לָלֶ֥כֶת'}, {'name': 'אֶל־עִֽיר׃'}]}]}]}"
16,Ecclesiastes 10:16,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'אִֽי־לָ֣ךְ'}, {'name': 'אֶ֔רֶץ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שֶׁמַּלְכֵּ֖ךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'נָ֑עַר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְשָׂרַ֖יִךְ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּבֹּ֥קֶר'}, {'name': 'יֹאכֵֽלוּ׃'}]}]}]}"
17,Ecclesiastes 10:17,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'אַשְׁרֵ֣יךְ'}, {'name': 'אֶ֔רֶץ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שֶׁמַּלְכֵּ֖ךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּן־חוֹרִ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְשָׂרַ֙יִךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בָּעֵ֣ת'}, {'name': 'יֹאכֵ֔לוּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בִּגְבוּרָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְלֹ֥א'}, {'name': 'בַשְּׁתִֽי׃'}]}]}]}]}"
18,Ecclesiastes 10:18,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בַּעֲצַלְתַּ֖יִם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יִמַּ֣ךְ'}, {'name': 'הַמְּקָרֶ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבְשִׁפְל֥וּת'}, {'name': 'יָדַ֖יִם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יִדְלֹ֥ף'}, {'name': 'הַבָּֽיִת׃'}]}]}]}"
19,Ecclesiastes 10:19,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לִשְׂחוֹק֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עֹשִׂ֣ים'}, {'name': 'לֶ֔חֶם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְיַ֖יִן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְשַׂמַּ֣ח'}, {'name': 'חַיִּ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהַכֶּ֖סֶף'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יַעֲנֶ֥ה'}, {'name': 'אֶת־הַכֹּֽל׃'}]}]}]}"
