verse,reference,tree_raw
1,Esther 5:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'וַיְהִ֣י׀'}]}, {'name': 'REVIA', 'children': [{'name': 'בַּיּ֣וֹם'}, {'name': 'הַשְּׁלִישִׁ֗י'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתִּלְבַּ֤שׁ'}, {'name': 'אֶסְתֵּר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מַלְכ֔וּת'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וַֽתַּעֲמֹ֞ד'}]}, {'name': 'PASHTA', 'children': [{'name': 'בַּחֲצַ֤ר'}, {'name': 'בֵּית־הַמֶּ֙לֶךְ֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַפְּנִימִ֔ית'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נֹ֖כַח'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֵּ֣ית'}, {'name': 'הַמֶּ֑לֶךְ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וְ֠הַמֶּלֶךְ'}]}, {'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'יוֹשֵׁ֞ב'}]}, {'name': 'PASHTA', 'children': [{'name': 'עַל־כִּסֵּ֤א'}, {'name': 'מַלְכוּתוֹ֙'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּבֵ֣ית'}, {'name': 'הַמַּלְכ֔וּת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נֹ֖כַח'}]}, {'name': 'SILLUQ', 'children': [{'name': 'פֶּ֥תַח'}, {'name': 'הַבָּֽיִת׃'}]}]}]}]}"
2,Esther 5:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיְהִי֩'}, {'name': 'כִרְא֨וֹת'}, {'name': 'הַמֶּ֜לֶךְ'}]}, {'name': 'REVIA', 'children': [{'name': 'אֶת־אֶסְתֵּ֣ר'}, {'name': 'הַמַּלְכָּ֗ה'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עֹמֶ֙דֶת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בֶּֽחָצֵ֔ר'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נָשְׂאָ֥ה'}, {'name': 'חֵ֖ן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּעֵינָ֑יו'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיּ֨וֹשֶׁט'}, {'name': 'הַמֶּ֜לֶךְ'}]}, {'name': 'REVIA', 'children': [{'name': 'לְאֶסְתֵּ֗ר'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶת־שַׁרְבִ֤יט'}, {'name': 'הַזָּהָב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'בְּיָד֔וֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַתִּקְרַ֣ב'}, {'name': 'אֶסְתֵּ֔ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתִּגַּ֖ע'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּרֹ֥אשׁ'}, {'name': 'הַשַּׁרְבִֽיט׃'}]}]}]}]}]}"
3,Esther 5:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּ֤אמֶר'}, {'name': 'לָהּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַמֶּ֔לֶךְ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מַה־לָּ֖ךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶסְתֵּ֣ר'}, {'name': 'הַמַּלְכָּ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וּמַה־בַּקָּשָׁתֵ֛ךְ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַד־חֲצִ֥י'}, {'name': 'הַמַּלְכ֖וּת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְיִנָּ֥תֵֽן'}, {'name': 'לָֽךְ׃'}]}]}]}"
4,Esther 5:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַתֹּ֣אמֶר'}, {'name': 'אֶסְתֵּ֔ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִם־עַל־הַמֶּ֖לֶךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ט֑וֹב'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'יָב֨וֹא'}, {'name': 'הַמֶּ֤לֶךְ'}, {'name': 'וְהָמָן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַיּ֔וֹם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶל־הַמִּשְׁתֶּ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֲשֶׁר־עָשִׂ֥יתִי'}, {'name': 'לֽוֹ׃'}]}]}]}]}"
5,Esther 5:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'הַמֶּ֔לֶךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מַהֲרוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־הָמָ֔ן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לַעֲשׂ֖וֹת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־דְּבַ֣ר'}, {'name': 'אֶסְתֵּ֑ר'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיָּבֹ֤א'}, {'name': 'הַמֶּ֙לֶךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהָמָ֔ן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶל־הַמִּשְׁתֶּ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֲשֶׁר־עָשְׂתָ֥ה'}, {'name': 'אֶסְתֵּֽר׃'}]}]}]}]}"
6,Esther 5:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּ֨אמֶר'}, {'name': 'הַמֶּ֤לֶךְ'}, {'name': 'לְאֶסְתֵּר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּמִשְׁתֵּ֣ה'}, {'name': 'הַיַּ֔יִן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מַה־שְּׁאֵלָתֵ֖ךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְיִנָּ֣תֵֽן'}, {'name': 'לָ֑ךְ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וּמַה־בַּקָּשָׁתֵ֛ךְ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַד־חֲצִ֥י'}, {'name': 'הַמַּלְכ֖וּת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְתֵעָֽשׂ׃'}]}]}]}"
7,Esther 5:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתַּ֥עַן'}, {'name': 'אֶסְתֵּ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וַתֹּאמַ֑ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שְׁאֵלָתִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּבַקָּשָׁתִֽי׃'}]}]}]}"
8,Esther 5:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'אִם־מָצָ֨אתִי'}, {'name': 'חֵ֜ן'}]}, {'name': 'REVIA', 'children': [{'name': 'בְּעֵינֵ֣י'}, {'name': 'הַמֶּ֗לֶךְ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאִם־עַל־הַמֶּ֙לֶךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'ט֔וֹב'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לָתֵת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־שְׁאֵ֣לָתִ'}, {'name': '֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְלַעֲשׂ֖וֹת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־בַּקָּשָׁתִ֑י'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'יָב֧וֹא'}, {'name': 'הַמֶּ֣לֶךְ'}, {'name': 'וְהָמָ֗ן'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶל־הַמִּשְׁתֶּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'אֶֽעֱשֶׂ֣ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמָחָ֥ר'}, {'name': 'אֶֽעֱשֶׂ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כִּדְבַ֥ר'}, {'name': 'הַמֶּֽלֶךְ׃'}]}]}]}]}"
9,Esther 5:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֵּצֵ֤א'}, {'name': 'הָמָן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּיּ֣וֹם'}, {'name': 'הַה֔וּא'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שָׂמֵ֖חַ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְט֣וֹב'}, {'name': 'לֵ֑ב'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְכִרְאוֹת֩'}, {'name': 'הָמָ֨ן'}, {'name': 'אֶֽת־מָרְדֳּכַ֜י'}]}, {'name': 'REVIA', 'children': [{'name': 'בְּשַׁ֣עַר'}, {'name': 'הַמֶּ֗לֶךְ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְלֹא־קָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְלֹא־זָ֣ע'}, {'name': 'מִמֶּ֔נּוּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיִּמָּלֵ֥א'}, {'name': 'הָמָ֛ן'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַֽל־מָרְדֳּכַ֖י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'חֵמָֽה׃'}]}]}]}]}"
10,Esther 5:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיִּתְאַפַּ֣ק'}, {'name': 'הָמָ֔ן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּב֖וֹא'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶל־בֵּית֑וֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיִּשְׁלַ֛ח'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וַיָּבֵ֥א'}, {'name': 'אֶת־אֹהֲבָ֖יו'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְאֶת־זֶ֥רֶשׁ'}, {'name': 'אִשְׁתּֽוֹ׃'}]}]}]}"
