verse,reference,tree_raw
1,Ezekiel 5:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְאַתָּ֨ה'}, {'name': 'בֶן־אָדָ֜ם'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'קַח־לְךָ֣׀'}]}, {'name': 'REVIA', 'children': [{'name': 'חֶ֣רֶב'}, {'name': 'חַדָּ֗ה'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'תַּ֤עַר'}, {'name': 'הַגַּלָּבִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'תִּקָּחֶ֣נָּה'}, {'name': 'לָּ֔ךְ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהַעֲבַרְתָּ֥'}, {'name': 'עַל־רֹאשְׁךָ֖'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְעַל־זְקָנֶ֑ךָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְלָקַחְתָּ֥'}, {'name': 'לְךָ֛'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מֹאזְנֵ֥י'}, {'name': 'מִשְׁקָ֖ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְחִלַּקְתָּֽם׃'}]}]}]}"
2,Ezekiel 5:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'שְׁלִשִׁ֗ית'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בָּא֤וּר'}, {'name': 'תַּבְעִיר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּת֣וֹךְ'}, {'name': 'הָעִ֔יר'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּמְלֹ֖את'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְמֵ֣י'}, {'name': 'הַמָּצ֑וֹר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְלָֽקַחְתָּ֣'}, {'name': 'אֶת־הַשְּׁלִשִׁ֗ית'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'תַּכֶּ֤ה'}, {'name': 'בַחֶ֙רֶב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'סְבִ֣יבוֹתֶ'}, {'name': '֔יהָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהַשְּׁלִשִׁית֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'תִּזְרֶ֣ה'}, {'name': 'לָר֔וּחַ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְחֶ֖רֶב'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אָרִ֥יק'}, {'name': 'אַחֲרֵיהֶֽם׃'}]}]}]}]}]}"
3,Ezekiel 5:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְלָקַחְתָּ֥'}, {'name': 'מִשָּׁ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מְעַ֣ט'}, {'name': 'בְּמִסְפָּ֑ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְצַרְתָּ֥'}, {'name': 'אוֹתָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בִּכְנָפֶֽיךָ׃'}]}]}]}"
4,Ezekiel 5:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּמֵהֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'ע֣וֹד'}, {'name': 'תִּקָּ֔ח'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהִשְׁלַכְתָּ֤'}, {'name': 'אוֹתָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־תּ֣וֹךְ'}, {'name': 'הָאֵ֔שׁ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְשָׂרַפְתָּ֥'}, {'name': 'אֹתָ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בָּאֵ֑שׁ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִמֶּ֥נּוּ'}, {'name': 'תֵצֵא־אֵ֖שׁ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶל־כָּל־בֵּ֥ית'}, {'name': 'יִשְׂרָאֵֽל׃'}]}]}]}"
5,Ezekiel 5:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כֹּ֤ה'}, {'name': 'אָמַר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲדֹנָ֣י'}, {'name': 'יְהֹוִ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'זֹ֚את'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יְר֣וּשָׁלִַ'}, {'name': '֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּת֥וֹךְ'}, {'name': 'הַגּוֹיִ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שַׂמְתִּ֑יהָ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּסְבִיבוֹתֶ֖יהָ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֲרָצֽוֹת׃'}]}]}]}"
6,Ezekiel 5:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתֶּ֨מֶר'}, {'name': 'אֶת־מִשְׁפָּטַ֤י'}, {'name': 'לְרִשְׁעָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִן־הַגּוֹיִ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאֶ֨ת־חֻקּוֹתַ'}, {'name': '֔י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִן־הָאֲרָצ֖וֹת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'סְבִיבוֹתֶ֑יהָ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֤י'}, {'name': 'בְמִשְׁפָּטַי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מָאָ֔סוּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְחֻקּוֹתַ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֹא־הָלְכ֥וּ'}, {'name': 'בָהֶֽם׃'}]}]}]}]}"
7,Ezekiel 5:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'לָכֵ֞ן'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'כֹּֽה־אָמַ֣ר׀'}]}, {'name': 'REVIA', 'children': [{'name': 'אֲדֹנָ֣י'}, {'name': 'יְהוִ֗ה'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'יַ֤עַן'}, {'name': 'הֲמָנְכֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִן־הַגּוֹיִם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'סְבִיבֽוֹתֵיכֶ֔ם'}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּחֻקּוֹתַי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֹ֣א'}, {'name': 'הֲלַכְתֶּ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶת־מִשְׁפָּטַ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֹ֣א'}, {'name': 'עֲשִׂיתֶ֑ם'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וּֽכְמִשְׁפְּטֵ֧י'}, {'name': 'הַגּוֹיִ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'סְבִיבוֹתֵיכֶ֖ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֹ֥א'}, {'name': 'עֲשִׂיתֶֽם׃'}]}]}]}"
8,Ezekiel 5:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'לָכֵ֗ן'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כֹּ֤ה'}, {'name': 'אָמַר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲדֹנָ֣י'}, {'name': 'יְהוִ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הִנְנִ֥י'}, {'name': 'עָלַ֖יִךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'גַּם־אָ֑נִי'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְעָשִׂ֧יתִי'}, {'name': 'בְתוֹכֵ֛ךְ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִשְׁפָּטִ֖ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְעֵינֵ֥י'}, {'name': 'הַגּוֹיִֽם׃'}]}]}]}"
9,Ezekiel 5:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְעָשִׂ֣יתִי'}, {'name': 'בָ֗ךְ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'אֵ֚ת'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'לֹֽא־עָשִׂ֔יתִי'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְאֵ֛ת'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֲשֶֽׁר־לֹֽא־אֶעֱשֶׂ֥ה'}, {'name': 'כָמֹ֖הוּ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ע֑וֹד'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יַ֖עַן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כָּל־תּוֹעֲבֹתָֽיִךְ׃'}]}]}]}"
10,Ezekiel 5:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'לָכֵ֗ן'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'אָב֞וֹת'}]}, {'name': 'PASHTA', 'children': [{'name': 'יֹאכְל֤וּ'}, {'name': 'בָנִים֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּתוֹכֵ֔ךְ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבָנִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יֹאכְל֣וּ'}, {'name': 'אֲבוֹתָ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְעָשִׂ֤יתִי'}, {'name': 'בָךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שְׁפָטִ֔ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְזֵרִיתִ֥י'}, {'name': 'אֶת־כָּל־שְׁאֵרִיתֵ֖ךְ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְכָל־רֽוּחַ׃'}]}]}]}]}"
