"verse","reference","tree_raw"
"1","Ezekiel 7:1","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.7748, 'children': [{'name': 'וַ', 'phrase': ['conj']}, {'name': 'יְהִ֥י', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'דְבַר־יְהוָ֖ה', 'phrase': ['subs_nmpr']}, {'name': 'אֵלַ֥י', 'phrase': ['prep']}]}]}]}"
"2","Ezekiel 7:2","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'NP', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'S', 'probability': 0.5355, 'children': [{'name': 'REVIA', 'text': 'NP', 'probability': 0.88, 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'אַתָּ֣ה', 'phrase': ['prps']}]}, {'name': 'TIPCHA', 'text': 'S', 'children': [{'name': 'TEVIR', 'text': 'VP', 'probability': 0.9467, 'children': [{'name': 'GERSHAYIM', 'text': 'N', 'probability': 0.1355, 'children': [{'name': 'בֶן־אָדָ֗ם', 'phrase': ['subs_subs']}]}, {'name': 'TEVIR', 'text': 'VP', 'children': [{'name': 'כֹּה־אָמַ֞ר', 'phrase': ['advb_verb']}, {'name': 'אֲדֹנָ֧י', 'phrase': ['nmpr']}]}]}, {'name': 'TIPCHA', 'text': 'NP', 'children': [{'name': 'יְהוִ֛ה', 'phrase': ['nmpr']}, {'name': 'לְ', 'phrase': ['prep']}]}]}]}, {'name': 'ETNACHTA', 'text': 'N', 'children': [{'name': 'אַדְמַ֥ת', 'phrase': ['subs']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'NP', 'probability': 0.2173, 'children': [{'name': 'יִשְׂרָאֵ֖ל', 'phrase': ['nmpr']}, {'name': 'קֵ֑ץ', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'בָּ֣א', 'phrase': ['verb']}, {'name': 'הַ', 'phrase': ['art']}]}]}]}"
"3","Ezekiel 7:3","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9544, 'children': [{'name': 'PASHTA', 'text': 'Adv', 'probability': 0.873, 'children': [{'name': 'עַתָּה֙', 'phrase': ['advb']}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'הַ', 'phrase': ['art']}, {'name': 'קֵּ֣ץ', 'phrase': ['subs']}]}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.2654, 'children': [{'name': 'PASHTA', 'text': 'P', 'probability': 0.3484, 'children': [{'name': 'עָלַ֔יִךְ', 'phrase': ['prep']}, {'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'ZAKEF_KATON', 'text': 'V', 'children': [{'name': 'שִׁלַּחְתִּ֤י', 'phrase': ['verb']}]}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.5355, 'children': [{'name': 'אַפִּי֙', 'phrase': ['subs']}]}, {'name': 'ETNACHTA', 'text': 'P', 'children': [{'name': 'בָּ֔ךְ', 'phrase': ['prep']}]}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.2173, 'children': [{'name': 'וּ', 'phrase': ['conj']}, {'name': 'שְׁפַטְתִּ֖יךְ', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'P', 'probability': 0.5132, 'children': [{'name': 'כִּ', 'phrase': ['prep']}]}, {'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'דְרָכָ֑יִךְ', 'phrase': ['subs']}]}]}]}]}"
"4","Ezekiel 7:4","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.7271, 'children': [{'name': 'TEVIR', 'text': 'VP', 'probability': 0.1278, 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'לֹא־תָחֹ֥וס', 'phrase': ['nega_verb']}]}, {'name': 'TIPCHA', 'text': 'N', 'children': [{'name': 'עֵינִ֛י', 'phrase': ['subs']}]}]}, {'name': 'ETNACHTA', 'text': 'P', 'children': [{'name': 'עָלַ֖יִךְ', 'phrase': ['prep']}, {'name': 'וְ', 'phrase': ['conj']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9123, 'children': [{'name': 'REVIA', 'text': 'S', 'probability': 0.74, 'children': [{'name': 'GERESH', 'text': 'VP', 'probability': 0.3812, 'children': [{'name': 'לֹ֣א', 'phrase': ['nega']}, {'name': 'אֶחְמֹ֑ול', 'phrase': ['verb']}]}, {'name': 'REVIA', 'text': 'NP', 'children': [{'name': 'כִּ֣י', 'phrase': ['conj']}, {'name': 'דְרָכַ֜יִךְ', 'phrase': ['subs']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'PASHTA', 'text': 'P', 'probability': 0.873, 'children': [{'name': 'עָלַ֣יִךְ', 'phrase': ['prep']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'אֶתֵּ֗ן', 'phrase': ['verb']}, {'name': 'וְ', 'phrase': ['conj']}]}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'תֹועֲבֹותַ֨יִךְ֙', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'בְּ', 'phrase': ['prep']}, {'name': 'תֹוכֵ֣ךְ', 'phrase': ['subs']}]}]}]}]}"
"5","Ezekiel 7:5","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.7271, 'children': [{'name': 'כֹּ֥ה', 'phrase': ['advb']}, {'name': 'אָמַ֖ר', 'phrase': ['verb']}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'אֲדֹנָ֣י', 'phrase': ['nmpr']}, {'name': 'יְהוִ֑ה', 'phrase': ['nmpr']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.7748, 'children': [{'name': 'TEVIR', 'text': 'N', 'probability': 0.9467, 'children': [{'name': 'רָעָ֛ה', 'phrase': ['subs']}]}, {'name': 'TIPCHA', 'text': 'NP', 'children': [{'name': 'אַחַ֥ת', 'phrase': ['subs']}, {'name': 'רָעָ֖ה', 'phrase': ['subs']}]}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'הִנֵּ֥ה', 'phrase': ['intj']}, {'name': 'בָאָֽה', 'phrase': ['verb']}]}]}]}"
"6","Ezekiel 7:6","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9407, 'children': [{'name': 'קֵ֣ץ', 'phrase': ['subs']}, {'name': 'בָּ֔א', 'phrase': ['verb']}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.7271, 'children': [{'name': 'בָּ֥א', 'phrase': ['verb']}, {'name': 'הַ', 'phrase': ['art']}]}, {'name': 'ETNACHTA', 'text': 'VP', 'children': [{'name': 'קֵּ֖ץ', 'phrase': ['subs']}, {'name': 'הֵקִ֣יץ', 'phrase': ['verb']}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'P', 'probability': 0.5132, 'children': [{'name': 'אֵלָ֑יִךְ', 'phrase': ['prep']}]}, {'name': 'SILLUQ', 'text': 'Intj', 'children': [{'name': 'הִנֵּ֖ה', 'phrase': ['intj']}]}]}]}"
"7","Ezekiel 7:7","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.7271, 'children': [{'name': 'TEVIR', 'text': 'VP', 'probability': 0.1278, 'children': [{'name': 'בָּ֧אָה', 'phrase': ['verb']}, {'name': 'הַ', 'phrase': ['art']}]}, {'name': 'TIPCHA', 'text': 'N', 'children': [{'name': 'צְּפִירָ֛ה', 'phrase': ['subs']}]}]}, {'name': 'ETNACHTA', 'text': 'VP', 'children': [{'name': 'אֵלֶ֖יךָ', 'phrase': ['prep']}, {'name': 'יֹושֵׁ֣ב', 'phrase': ['verb']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'S', 'probability': 0.7748, 'children': [{'name': 'REVIA', 'text': 'NP', 'probability': 0.8989, 'children': [{'name': 'הָ', 'phrase': ['art']}, {'name': 'אָ֑רֶץ', 'phrase': ['subs']}]}, {'name': 'TIPCHA', 'text': 'VP', 'children': [{'name': 'TEVIR', 'text': 'V', 'probability': 0.9467, 'children': [{'name': 'בָּ֣א', 'phrase': ['verb']}]}, {'name': 'TIPCHA', 'text': 'NP', 'children': [{'name': 'הָ', 'phrase': ['art']}, {'name': 'עֵ֗ת', 'phrase': ['subs']}]}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'קָרֹ֛וב', 'phrase': ['adjv']}, {'name': 'הַ', 'phrase': ['art']}]}]}]}"
"8","Ezekiel 7:8","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9544, 'children': [{'name': 'REVIA', 'text': 'S', 'probability': 0.74, 'children': [{'name': 'עַתָּ֣ה', 'phrase': ['advb']}, {'name': 'מִ', 'phrase': ['prep']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.3484, 'children': [{'name': 'קָּרֹ֗וב', 'phrase': ['adjv']}, {'name': 'אֶשְׁפֹּ֤וךְ', 'phrase': ['verb']}]}, {'name': 'ZAKEF_KATON', 'text': 'N', 'children': [{'name': 'חֲמָתִי֙', 'phrase': ['subs']}]}]}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.2654, 'children': [{'name': 'PASHTA', 'text': 'P', 'probability': 0.3484, 'children': [{'name': 'עָלַ֔יִךְ', 'phrase': ['prep']}, {'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'ZAKEF_KATON', 'text': 'V', 'children': [{'name': 'כִלֵּיתִ֤י', 'phrase': ['verb']}]}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.5355, 'children': [{'name': 'אַפִּי֙', 'phrase': ['subs']}]}, {'name': 'ETNACHTA', 'text': 'P', 'children': [{'name': 'בָּ֔ךְ', 'phrase': ['prep']}]}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.2173, 'children': [{'name': 'וּ', 'phrase': ['conj']}, {'name': 'שְׁפַטְתִּ֖יךְ', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'P', 'probability': 0.5132, 'children': [{'name': 'כִּ', 'phrase': ['prep']}]}, {'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'דְרָכָ֑יִךְ', 'phrase': ['subs']}]}]}]}]}"
"9","Ezekiel 7:9","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.7271, 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'לֹא־תָחֹ֥וס', 'phrase': ['nega_verb']}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'עֵינִ֖י', 'phrase': ['subs']}, {'name': 'וְ', 'phrase': ['conj']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.935, 'children': [{'name': 'REVIA', 'text': 'VP', 'probability': 0.74, 'children': [{'name': 'GERESH', 'text': 'Neg', 'probability': 0.3812, 'children': [{'name': 'לֹ֣א', 'phrase': ['nega']}]}, {'name': 'REVIA', 'text': 'VP', 'children': [{'name': 'אֶחְמֹ֑ול', 'phrase': ['verb']}, {'name': 'כִּ', 'phrase': ['prep']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'PASHTA', 'text': 'N', 'probability': 0.873, 'children': [{'name': 'דְרָכַ֜יִךְ', 'phrase': ['subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'עָלַ֣יִךְ', 'phrase': ['prep']}, {'name': 'אֶתֵּ֗ן', 'phrase': ['verb']}]}]}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'ZAKEF_GADOL', 'text': 'C', 'probability': 0.0747, 'children': [{'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': 'TEVIR', 'text': 'N', 'probability': 0.9467, 'children': [{'name': 'תֹועֲבֹותַ֨יִךְ֙', 'phrase': ['subs']}]}, {'name': 'TIPCHA', 'text': 'NP', 'children': [{'name': 'בְּ', 'phrase': ['prep']}, {'name': 'תֹוכֵ֣ךְ', 'phrase': ['subs']}]}]}, {'name': 'SILLUQ', 'text': 'V', 'children': [{'name': 'תִּֽהְיֶ֔יןָ', 'phrase': ['verb']}]}]}]}]}]}"
"10","Ezekiel 7:10","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'S', 'probability': 0.7271, 'children': [{'name': 'הִנֵּ֥ה', 'phrase': ['intj']}, {'name': 'הַ', 'phrase': ['art']}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'יֹּ֖ום', 'phrase': ['subs']}, {'name': 'הִנֵּ֣ה', 'phrase': ['intj']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9193, 'children': [{'name': 'PASHTA', 'text': 'V', 'probability': 0.3484, 'children': [{'name': 'בָאָ֑ה', 'phrase': ['verb']}]}, {'name': 'ZAKEF_KATON', 'text': 'V', 'children': [{'name': 'יָֽצְאָה֙', 'phrase': ['verb']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'NP', 'probability': 0.2173, 'children': [{'name': 'YETIV', 'text': 'D', 'probability': 0.0061, 'children': [{'name': 'הַ', 'phrase': ['art']}]}, {'name': 'ZAKEF_KATON', 'text': 'N', 'children': [{'name': 'צְּפִרָ֔ה', 'phrase': ['subs']}]}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'V', 'probability': 0.5132, 'children': [{'name': 'צָ֚ץ', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'D', 'children': [{'name': 'הַ', 'phrase': ['art']}]}]}]}]}]}"
