verse,reference,tree_raw
1,Ezra 10:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּכְהִתְפַּלֵּ֤ל'}, {'name': 'עֶזְרָא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּכְ֨הִתְוַדֹּת'}, {'name': '֔וֹ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בֹּכֶה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִתְנַפֵּ֔ל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לִפְנֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֵּ֣ית'}, {'name': 'הָאֱלֹהִ֑ים'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'נִקְבְּצוּ֩'}, {'name': 'אֵלָ֨יו'}, {'name': 'מִיִּשְׂרָאֵ֜ל'}]}, {'name': 'REVIA', 'children': [{'name': 'קָהָ֣ל'}, {'name': 'רַב־מְאֹ֗ד'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֲנָשִׁ֤ים'}, {'name': 'וְנָשִׁים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וִֽילָדִ֔ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּֽי־בָכ֥וּ'}, {'name': 'הָעָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַרְבֵּה־בֶֽכֶה׃'}]}]}]}]}"
2,Ezra 10:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיַּעַן֩'}, {'name': 'שְׁכַנְיָ֨ה'}, {'name': 'בֶן־יְחִיאֵ֜ל'}]}, {'name': 'PASHTA', 'children': [{'name': 'מִבְּנֵ֤י'}, {'name': 'עֵילָם֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'לְעֶזְרָ֔א'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֲנַ֙חְנוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מָעַ֣לְנוּ'}, {'name': 'בֵאלֹהֵ֔ינוּ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַנֹּ֛שֶׁב'}]}, {'name': 'TIPCHA', 'children': [{'name': 'נָשִׁ֥ים'}, {'name': 'נָכְרִיּ֖וֹת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֵעַמֵּ֣י'}, {'name': 'הָאָ֑רֶץ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְעַתָּ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'יֵשׁ־מִקְוֶ֥ה'}, {'name': 'לְיִשְׂרָאֵ֖ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־זֹֽאת׃'}]}]}]}"
3,Ezra 10:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וְעַתָּ֣ה'}, {'name': 'נִֽכְרָת־בְּרִ֣ית'}, {'name': 'לֵ֠אלֹהֵינוּ'}]}, {'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'לְהוֹצִ֨יא'}, {'name': 'כָל־נָשִׁ֜ים'}]}, {'name': 'PASHTA', 'children': [{'name': 'וְהַנּוֹלָ֤ד'}, {'name': 'מֵהֶם֙'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּעֲצַ֣ת'}, {'name': 'אֲדֹנָ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהַחֲרֵדִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּמִצְוַ֣ת'}, {'name': 'אֱלֹהֵ֑ינוּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְכַתּוֹרָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יֵעָשֶֽׂה׃'}]}]}]}"
4,Ezra 10:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'ק֛וּם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'כִּֽי־עָלֶ֥יךָ'}, {'name': 'הַדָּבָ֖ר'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וַאֲנַ֣חְנוּ'}, {'name': 'עִמָּ֑ךְ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חֲזַ֖ק'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַעֲשֵֽׂה׃'}]}]}]}"
5,Ezra 10:5,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'PAZER', 'children': [{'name': 'וַיָּ֣קָם'}, {'name': 'עֶזְרָ֡א'}]}, {'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיַּשְׁבַּ֣ע'}, {'name': 'אֶת־שָׂרֵי֩'}, {'name': 'הַכֹּהֲנִ֨ים'}, {'name': 'הַלְוִיִּ֜ם'}]}, {'name': 'REVIA', 'children': [{'name': 'וְכָל־יִשְׂרָאֵ֗ל'}]}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'לַעֲשׂ֛וֹת'}]}, {'name': 'TIPCHA', 'children': [{'name': 'כַּדָּבָ֥ר'}, {'name': 'הַזֶּ֖ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַיִּשָּׁבֵֽעוּ׃'}]}]}]}"
6,Ezra 10:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיָּ֣קָם'}, {'name': 'עֶזְרָ֗א'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִלִּפְנֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בֵּ֣ית'}, {'name': 'הָֽאֱלֹהִ֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וַיֵּ֕לֶךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶל־לִשְׁכַּ֖ת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְהוֹחָנָ֣ן'}, {'name': 'בֶּן־אֶלְיָשִׁ֑יב'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיֵּ֣לֶךְ'}, {'name': 'שָׁ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לֶ֤חֶם'}, {'name': 'לֹֽא־אָכַל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמַ֣יִם'}, {'name': 'לֹֽא־שָׁתָ֔ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּ֥י'}, {'name': 'מִתְאַבֵּ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־מַ֥עַל'}, {'name': 'הַגּוֹלָֽה׃'}]}]}]}]}"
7,Ezra 10:7,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיַּעֲבִ֨ירוּ'}, {'name': 'ק֜וֹל'}]}, {'name': 'REVIA', 'children': [{'name': 'בִּיהוּדָ֣ה'}, {'name': 'וִירֽוּשָׁלִַ֗ם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לְכֹל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'הַגּוֹלָ֔ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְהִקָּבֵ֖ץ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְרוּשָׁלִָֽם׃'}]}]}]}]}"
8,Ezra 10:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְכֹל֩'}, {'name': 'אֲשֶׁ֨ר'}, {'name': 'לֹֽא־יָב֜וֹא'}]}, {'name': 'REVIA', 'children': [{'name': 'לִשְׁלֹ֣שֶׁת'}, {'name': 'הַיָּמִ֗ים'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כַּעֲצַ֤ת'}, {'name': 'הַשָּׂרִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהַזְּקֵנִ֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יָחֳרַ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'כָּל־רְכוּשׁ֑וֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְה֥וּא'}, {'name': 'יִבָּדֵ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִקְּהַ֥ל'}, {'name': 'הַגּוֹלָֽה׃'}]}]}]}"
9,Ezra 10:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיִּקָּבְצ֣וּ'}, {'name': 'כָל־אַנְשֵֽׁי־יְהוּדָה֩'}, {'name': 'וּבִנְיָמִ֨ן'}, {'name': 'יְרוּשָׁלִַ֜ם'}]}, {'name': 'REVIA', 'children': [{'name': 'לִשְׁלֹ֣שֶׁת'}, {'name': 'הַיָּמִ֗ים'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'ה֛וּא'}]}, {'name': 'TIPCHA', 'children': [{'name': 'חֹ֥דֶשׁ'}, {'name': 'הַתְּשִׁיעִ֖י'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּעֶשְׂרִ֣ים'}, {'name': 'בַּחֹ֑דֶשׁ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיֵּשְׁב֣וּ'}, {'name': 'כָל־הָעָ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בִּרְחוֹב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בֵּ֣ית'}, {'name': 'הָאֱלֹהִ֔ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מַרְעִידִ֥ים'}, {'name': 'עַל־הַדָּבָ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּמֵהַגְּשָׁמִֽים׃'}]}]}]}]}"
10,Ezra 10:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיָּ֨קָם'}, {'name': 'עֶזְרָ֤א'}, {'name': 'הַכֹּהֵן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'אֲלֵהֶ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'אַתֶּ֣ם'}, {'name': 'מְעַלְתֶּ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתֹּשִׁ֖יבוּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'נָשִׁ֣ים'}, {'name': 'נָכְרִיּ֑וֹת'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְהוֹסִ֖יף'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־אַשְׁמַ֥ת'}, {'name': 'יִשְׂרָאֵֽל׃'}]}]}]}"
