verse,reference,tree_raw
1,Ezra 8:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְאֵ֛לֶּה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'רָאשֵׁ֥י'}, {'name': 'אֲבֹתֵיהֶ֖ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְהִתְיַחְשָׂ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'הָעֹלִ֣ים'}, {'name': 'עִמִּ֗י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'בְּמַלְכ֛וּת'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אַרְתַּחְשַׁ֥סְתְּא'}, {'name': 'הַמֶּ֖לֶךְ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִבָּבֶֽל׃'}]}]}]}"
2,Ezra 8:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִבְּנֵ֤י'}, {'name': 'פִֽינְחָס֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'גֵּֽרְשֹׁ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִבְּנֵ֥י'}, {'name': 'אִיתָמָ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'דָּנִיֵּ֑אל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִבְּנֵ֥י'}, {'name': 'דָוִ֖יד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חַטּֽוּשׁ׃'}]}]}]}"
3,Ezra 8:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'מִבְּנֵ֣י'}, {'name': 'שְׁכַנְיָ֔ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִבְּנֵ֥י'}, {'name': 'פַרְעֹ֖שׁ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'זְכַרְיָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְעִמּ֛וֹ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'הִתְיַחֵ֥שׂ'}, {'name': 'לִזְכָרִ֖ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵאָ֥ה'}, {'name': 'וַחֲמִשִּֽׁים׃'}]}]}]}"
4,Ezra 8:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִבְּנֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'פַּחַ֣ת'}, {'name': 'מוֹאָ֔ב'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶלְיְהֽוֹעֵינַ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּן־זְרַֽחְיָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעִמּ֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מָאתַ֥יִם'}, {'name': 'הַזְּכָרִֽים׃'}]}]}]}"
5,Ezra 8:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִבְּנֵ֥י'}, {'name': 'שְׁכַנְיָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּן־יַחֲזִיאֵ֑ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וְעִמּ֕וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שְׁלֹ֥שׁ'}, {'name': 'מֵא֖וֹת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַזְּכָרִֽים׃'}]}]}]}]}"
6,Ezra 8:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִבְּנֵ֣י'}, {'name': 'עָדִ֔ין'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עֶ֖בֶד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּן־יוֹנָתָ֑ן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעִמּ֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חֲמִשִּׁ֥ים'}, {'name': 'הַזְּכָרִֽים׃'}]}]}]}"
7,Ezra 8:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִבְּנֵ֣י'}, {'name': 'עֵילָ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יְשַֽׁעְיָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּן־עֲתַלְיָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעִמּ֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שִׁבְעִ֥ים'}, {'name': 'הַזְּכָרִֽים׃'}]}]}]}"
8,Ezra 8:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִבְּנֵ֣י'}, {'name': 'שְׁפַטְיָ֔ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'זְבַדְיָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּן־מִֽיכָאֵ֑ל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעִמּ֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שְׁמֹנִ֥ים'}, {'name': 'הַזְּכָרִֽים׃'}]}]}]}"
9,Ezra 8:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'מִבְּנֵ֣י'}, {'name': 'יוֹאָ֔ב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עֹבַדְיָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּן־יְחִיאֵ֑ל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וְעִמּ֕וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'מָאתַ֛יִם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וּשְׁמֹנָ֥ה'}, {'name': 'עָשָׂ֖ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַזְּכָרִֽים׃'}]}]}]}]}"
10,Ezra 8:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמִבְּנֵ֥י'}, {'name': 'שְׁלוֹמִ֖ית'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּן־יוֹסִפְיָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וְעִמּ֕וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מֵאָ֥ה'}, {'name': 'וְשִׁשִּׁ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַזְּכָרִֽים׃'}]}]}]}]}"
