verse,reference,tree_raw
1,Genesis 4:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהָ֣אָדָ'}, {'name': '֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יָדַ֖ע'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־חַוָּ֣ה'}, {'name': 'אִשְׁתּ֑וֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתַּ֙הַר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַתֵּ֣לֶד'}, {'name': 'אֶת־קַ֔יִן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וַתֹּ֕אמֶר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'קָנִ֥יתִי'}, {'name': 'אִ֖ישׁ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶת־יְהוָֽה׃'}]}]}]}]}]}"
2,Genesis 4:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַתֹּ֣סֶף'}, {'name': 'לָלֶ֔דֶת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶת־אָחִ֖יו'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־הָ֑בֶל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַֽיְהִי־הֶ֙בֶל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רֹ֣עֵה'}, {'name': 'צֹ֔אן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וְקַ֕יִן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הָיָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עֹבֵ֥ד'}, {'name': 'אֲדָמָֽה׃'}]}]}]}]}]}"
3,Genesis 4:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַֽיְהִ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִקֵּ֣ץ'}, {'name': 'יָמִ֑ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיָּבֵ֨א'}, {'name': 'קַ֜יִן'}]}, {'name': 'TEVIR', 'children': [{'name': 'מִפְּרִ֧י'}, {'name': 'הָֽאֲדָמָ֛ה'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִנְחָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לַֽיהוָֽה׃'}]}]}]}"
4,Genesis 4:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְהֶ֨בֶל'}, {'name': 'הֵבִ֥יא'}, {'name': 'גַם־ה֛וּא'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִבְּכֹר֥וֹת'}, {'name': 'צֹאנ֖וֹ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וּמֵֽחֶלְבֵהֶ֑ן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיִּ֣שַׁע'}, {'name': 'יְהוָ֔ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶל־הֶ֖בֶל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְאֶל־מִנְחָתֽוֹ׃'}]}]}]}]}"
5,Genesis 4:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶל־קַ֥יִן'}, {'name': 'וְאֶל־מִנְחָת֖וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֹ֣א'}, {'name': 'שָׁעָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּ֤חַר'}, {'name': 'לְקַ֙יִן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מְאֹ֔ד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַֽיִּפְּל֖וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'פָּנָֽיו׃'}]}]}]}]}"
6,Genesis 4:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֹּ֥אמֶר'}, {'name': 'יְהוָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶל־קָ֑יִן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'לָ֚מָּה'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'חָ֣רָה'}, {'name': 'לָ֔ךְ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְלָ֖מָּה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'נָפְל֥וּ'}, {'name': 'פָנֶֽיךָ׃'}]}]}]}]}"
7,Genesis 4:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הֲל֤וֹא'}, {'name': 'אִם־תֵּיטִיב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שְׂאֵ֔ת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאִם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֹ֣א'}, {'name': 'תֵיטִ֔יב'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לַפֶּ֖תַח'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'חַטָּ֣את'}, {'name': 'רֹבֵ֑ץ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֵלֶ֙יךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'תְּשׁ֣וּקָת'}, {'name': '֔וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאַתָּ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תִּמְשָׁל־בּֽוֹ׃'}]}]}]}]}"
8,Genesis 4:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֹּ֥אמֶר'}, {'name': 'קַ֖יִן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶל־הֶ֣בֶל'}, {'name': 'אָחִ֑יו'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַֽיְהִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בִּהְיוֹתָ֣ם'}, {'name': 'בַּשָּׂדֶ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיָּ֥קָם'}, {'name': 'קַ֛יִן'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶל־הֶ֥בֶל'}, {'name': 'אָחִ֖יו'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַיַּהַרְגֵֽהוּ׃'}]}]}]}]}"
9,Genesis 4:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּ֤אמֶר'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־קַ֔יִן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הֶ֣בֶל'}, {'name': 'אָחִ֑יךָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּ֙אמֶר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֹ֣א'}, {'name': 'יָדַ֔עְתִּי'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הֲשֹׁמֵ֥ר'}, {'name': 'אָחִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אָנֹֽכִי׃'}]}]}]}]}"
10,Genesis 4:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֹּ֖אמֶר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֶ֣ה'}, {'name': 'עָשִׂ֑יתָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'ק֚וֹל'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'דְּמֵ֣י'}, {'name': 'אָחִ֔יךָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'צֹעֲקִ֥ים'}, {'name': 'אֵלַ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִן־הָֽאֲדָמָֽה׃'}]}]}]}]}"
11,Genesis 4:11,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעַתָּ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אָר֣וּר'}, {'name': 'אָ֑תָּה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִן־הָֽאֲדָמָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'פָּצְתָ֣ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'לָקַ֛חַת'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶת־דְּמֵ֥י'}, {'name': 'אָחִ֖יךָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִיָּדֶֽךָ׃'}]}]}]}]}"
12,Genesis 4:12,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֤י'}, {'name': 'תַֽעֲבֹד֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־הָ֣אֲדָמָ'}, {'name': '֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לֹֽא־תֹסֵ֥ף'}, {'name': 'תֵּת־כֹּחָ֖הּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לָ֑ךְ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נָ֥ע'}, {'name': 'וָנָ֖ד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תִּֽהְיֶ֥ה'}, {'name': 'בָאָֽרֶץ׃'}]}]}]}"
13,Genesis 4:13,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֹּ֥אמֶר'}, {'name': 'קַ֖יִן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶל־יְהוָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'גָּד֥וֹל'}, {'name': 'עֲוֺנִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִנְּשֹֽׂא׃'}]}]}]}"
14,Genesis 4:14,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'הֵן֩'}, {'name': 'גֵּרַ֨שְׁתָּ'}, {'name': 'אֹתִ֜י'}]}, {'name': 'REVIA', 'children': [{'name': 'הַיּ֗וֹם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מֵעַל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'פְּנֵ֣י'}, {'name': 'הָֽאֲדָמָ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמִפָּנֶ֖יךָ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶסָּתֵ֑ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְהָיִ֜יתִי'}]}, {'name': 'PASHTA', 'children': [{'name': 'נָ֤ע'}, {'name': 'וָנָד֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בָּאָ֔רֶץ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהָיָ֥ה'}, {'name': 'כָל־מֹצְאִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יַֽהַרְגֵֽנִי׃'}]}]}]}]}"
15,Genesis 4:15,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיֹּ֧אמֶר'}, {'name': 'ל֣וֹ'}, {'name': 'יְהוָ֗ה'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לָכֵן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּל־הֹרֵ֣ג'}, {'name': 'קַ֔יִן'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שִׁבְעָתַ֖יִם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יֻקָּ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיָּ֨שֶׂם'}, {'name': 'יְהוָ֤ה'}, {'name': 'לְקַ֙יִן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'א֔וֹת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְבִלְתִּ֥י'}, {'name': 'הַכּוֹת־אֹת֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כָּל־מֹצְאֽוֹ׃'}]}]}]}]}"
16,Genesis 4:16,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֵּ֥צֵא'}, {'name': 'קַ֖יִן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִלִּפְנֵ֣י'}, {'name': 'יְהוָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֵּ֥שֶׁב'}, {'name': 'בְּאֶֽרֶץ־נ֖וֹד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'קִדְמַת־עֵֽדֶן׃'}]}]}]}"
