verse,reference,tree_raw
1,Habakkuk 3:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'תְּפִלָּ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַחֲבַקּ֣וּק'}, {'name': 'הַנָּבִ֑יא'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עַ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שִׁגְיֹנֽוֹת׃'}]}]}]}"
2,Habakkuk 3:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'יְהוָ֗ה'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'שָׁמַ֣עְתִּי'}, {'name': 'שִׁמְעֲךָ֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'יָרֵאתִי֒'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'יְהוָ֗ה'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'פָּֽעָלְךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּקֶ֤רֶב'}, {'name': 'שָׁנִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'חַיֵּ֔יהוּ'}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּקֶ֥רֶב'}, {'name': 'שָׁנִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תּוֹדִ֑יעַ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּרֹ֖גֶז'}]}, {'name': 'SILLUQ', 'children': [{'name': 'רַחֵ֥ם'}, {'name': 'תִּזְכּֽוֹר׃'}]}]}]}"
3,Habakkuk 3:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֱל֙וֹהַ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִתֵּימָ֣ן'}, {'name': 'יָב֔וֹא'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְקָד֥וֹשׁ'}, {'name': 'מֵֽהַר־פָּארָ֖ן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'סֶ֑לָה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּסָּ֤ה'}, {'name': 'שָׁמַ֙יִם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הוֹד֔וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּתְהִלָּת֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מָלְאָ֥ה'}, {'name': 'הָאָֽרֶץ׃'}]}]}]}]}"
4,Habakkuk 3:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְנֹ֙גַהּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּא֣וֹר'}, {'name': 'תִּֽהְיֶ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'קַרְנַ֥יִם'}, {'name': 'מִיָּד֖וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ל֑וֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְשָׁ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חֶבְי֥וֹן'}, {'name': 'עֻזֹּֽה׃'}]}]}]}"
5,Habakkuk 3:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְפָנָ֖יו'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יֵ֣לֶךְ'}, {'name': 'דָּ֑בֶר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְיֵצֵ֥א'}, {'name': 'רֶ֖שֶׁף'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְרַגְלָֽיו׃'}]}]}]}"
6,Habakkuk 3:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'עָמַ֣ד׀'}]}, {'name': 'REVIA', 'children': [{'name': 'וַיְמֹ֣דֶד'}, {'name': 'אֶ֗רֶץ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'רָאָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיַּתֵּ֣ר'}, {'name': 'גּוֹיִ֔ם'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּתְפֹּֽצְצוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַרְרֵי־עַ֔ד'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שַׁח֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'גִּבְע֣וֹת'}, {'name': 'עוֹלָ֑ם'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הֲלִיכ֥וֹת'}, {'name': 'עוֹלָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֽוֹ׃'}]}]}]}"
7,Habakkuk 3:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'תַּ֣חַת'}, {'name': 'אָ֔וֶן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'רָאִ֖יתִי'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אָהֳלֵ֣י'}, {'name': 'כוּשָׁ֑ן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'יִרְגְּז֕וּן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יְרִיע֖וֹת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶ֥רֶץ'}, {'name': 'מִדְיָֽן׃'}]}]}]}]}"
8,Habakkuk 3:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הֲבִנְהָרִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'חָרָ֣ה'}, {'name': 'יְהוָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אִ֤ם'}, {'name': 'בַּנְּהָרִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אַפֶּ֔ךָ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִם־בַּיָּ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עֶבְרָתֶ֑ךָ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֤י'}, {'name': 'תִרְכַּב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־סוּסֶ֔יךָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מַרְכְּבֹתֶ֖יךָ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְשׁוּעָֽה׃'}]}]}]}]}"
9,Habakkuk 3:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עֶרְיָ֤ה'}, {'name': 'תֵעוֹר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'קַשְׁתֶּ֔ךָ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שְׁבֻע֥וֹת'}, {'name': 'מַטּ֖וֹת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֹ֣מֶר'}, {'name': 'סֶ֑לָה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נְהָר֖וֹת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תְּבַקַּע־אָֽרֶץ׃'}]}]}]}"
10,Habakkuk 3:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'רָא֤וּךָ'}, {'name': 'יָחִ֙ילוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הָרִ֔ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'זֶ֥רֶם'}, {'name': 'מַ֖יִם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עָבָ֑ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'נָתַ֤ן'}, {'name': 'תְּהוֹם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'קוֹל֔וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'ר֖וֹם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יָדֵ֥יהוּ'}, {'name': 'נָשָֽׂא׃'}]}]}]}]}"
