verse,reference,tree_raw
1,Hosea 7:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'כְּרָפְאִ֣י'}, {'name': 'לְיִשְׂרָאֵ֗ל'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וְנִגְלָ֞ה'}]}, {'name': 'PASHTA', 'children': [{'name': 'עֲוֺ֤ן'}, {'name': 'אֶפְרַ֙יִם֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְרָע֣וֹת'}, {'name': 'שֹֽׁמְר֔וֹן'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּ֥י'}, {'name': 'פָעֲל֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שָׁ֑קֶר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְגַנָּ֣ב'}, {'name': 'יָב֔וֹא'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'פָּשַׁ֥ט'}, {'name': 'גְּד֖וּד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּחֽוּץ׃'}]}]}]}]}"
2,Hosea 7:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּבַל־יֹֽאמְרוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לִלְבָבָ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כָּל־רָעָתָ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'זָכָ֑רְתִּי'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַתָּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'סְבָב֣וּם'}, {'name': 'מַֽעַלְלֵיהֶ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נֶ֥גֶד'}, {'name': 'פָּנַ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הָיֽוּ׃'}]}]}]}]}"
3,Hosea 7:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּרָעָתָ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְשַׂמְּחוּ־מֶ֑לֶךְ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבְכַחֲשֵׁיהֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שָׂרִֽים׃'}]}]}]}"
4,Hosea 7:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כֻּלָּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מְנָ֣אֲפִ'}, {'name': '֔ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'כְּמ֣וֹ'}, {'name': 'תַנּ֔וּר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בֹּעֵ֖רָה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֵֽאֹפֶ֑ה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'יִשְׁבּ֣וֹת'}, {'name': 'מֵעִ֔יר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִלּ֥וּשׁ'}, {'name': 'בָּצֵ֖ק'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַד־חֻמְצָתֽוֹ׃'}]}]}]}]}"
5,Hosea 7:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'י֣וֹם'}, {'name': 'מַלְכֵּ֔נוּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הֶחֱל֥וּ'}, {'name': 'שָׂרִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'חֲמַ֣ת'}, {'name': 'מִיָּ֑יִן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מָשַׁ֥ךְ'}, {'name': 'יָד֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶת־לֹצְצִֽים׃'}]}]}]}"
6,Hosea 7:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כִּֽי־קֵרְב֧וּ'}, {'name': 'כַתַּנּ֛וּר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לִבָּ֖ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּאָרְבָּ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כָּל־הַלַּ֙יְלָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יָשֵׁ֣ן'}, {'name': 'אֹֽפֵהֶ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'בֹּ֕קֶר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'ה֥וּא'}, {'name': 'בֹעֵ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כְּאֵ֥שׁ'}, {'name': 'לֶהָבָֽה׃'}]}]}]}]}]}"
7,Hosea 7:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כֻּלָּ֤ם'}, {'name': 'יֵחַ֙מּוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כַּתַּנּ֔וּר'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאָכְל֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־שֹֽׁפְטֵיהֶ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּל־מַלְכֵיהֶ֣ם'}, {'name': 'נָפָ֔לוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֵין־קֹרֵ֥א'}, {'name': 'בָהֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֵלָֽי׃'}]}]}]}]}"
8,Hosea 7:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'אֶפְרַ֕יִם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בָּעַמִּ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ה֣וּא'}, {'name': 'יִתְבּוֹלָ֑ל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אֶפְרַ֛יִם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'הָיָ֥ה'}, {'name': 'עֻגָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּלִ֥י'}, {'name': 'הֲפוּכָֽה׃'}]}]}]}"
9,Hosea 7:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אָכְל֤וּ'}, {'name': 'זָרִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כֹּח֔וֹ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְה֖וּא'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֹ֣א'}, {'name': 'יָדָ֑ע'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'גַּם־שֵׂיבָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'זָ֣רְקָה'}, {'name': 'בּ֔וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְה֖וּא'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֹ֥א'}, {'name': 'יָדָֽע׃'}]}]}]}]}"
10,Hosea 7:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעָנָ֥ה'}, {'name': 'גְאֽוֹן־יִשְׂרָאֵ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּפָנָ֑יו'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְלֹֽא־שָׁ֙בוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־יְהוָ֣ה'}, {'name': 'אֱלֹֽהֵיהֶ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְלֹ֥א'}, {'name': 'בִקְשֻׁ֖הוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּכָל־זֹֽאת׃'}]}]}]}]}"
