verse,reference,tree_raw
1,I Chronicles 19:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְהִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אַחֲרֵי־כֵ֔ן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וַיָּ֕מָת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נָחָ֖שׁ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֶ֣לֶךְ'}, {'name': 'בְּנֵי־עַמּ֑וֹן'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּמְלֹ֥ךְ'}, {'name': 'בְּנ֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תַּחְתָּֽיו׃'}]}]}]}"
2,I Chronicles 19:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיֹּ֨אמֶר'}, {'name': 'דָּוִ֜יד'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'אֶֽעֱשֶׂה־חֶ֣סֶד׀'}]}, {'name': 'REVIA', 'children': [{'name': 'עִם־חָנ֣וּן'}, {'name': 'בֶּן־נָחָ֗שׁ'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּֽי־עָשָׂ֨ה'}, {'name': 'אָבִ֤יו'}, {'name': 'עִמִּי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'חֶ֔סֶד'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיִּשְׁלַ֥ח'}, {'name': 'דָּוִ֛יד'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מַלְאָכִ֖ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְנַחֲמ֣וֹ'}, {'name': 'עַל־אָבִ֑יו'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיָּבֹאוּ֩'}, {'name': 'עַבְדֵ֨י'}, {'name': 'דָוִ֜יד'}]}, {'name': 'TEVIR', 'children': [{'name': 'אֶל־אֶ֧רֶץ'}, {'name': 'בְּנֵי־עַמּ֛וֹן'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶל־חָנ֖וּן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְנַחֲמֽוֹ׃'}]}]}]}"
3,I Chronicles 19:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיֹּאמְרוּ֩'}, {'name': 'שָׂרֵ֨י'}, {'name': 'בְנֵי־עַמּ֜וֹן'}]}, {'name': 'REVIA', 'children': [{'name': 'לְחָנ֗וּן'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הַֽמְכַבֵּ֨ד'}, {'name': 'דָּוִ֤יד'}, {'name': 'אֶת־אָבִ֙יךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּעֵינֶ֔יךָ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּֽי־שָׁלַ֥ח'}, {'name': 'לְךָ֖'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מְנַחֲמִ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'PAZER', 'children': [{'name': 'הֲלֹ֡א'}]}, {'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'בַּ֠עֲבוּר'}]}, {'name': 'PASHTA', 'children': [{'name': 'לַחְקֹ֨ר'}, {'name': 'וְלַהֲפֹ֤ךְ'}, {'name': 'וּלְרַגֵּל֙'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הָאָ֔רֶץ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בָּ֥אוּ'}, {'name': 'עֲבָדָ֖יו'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֵלֶֽיךָ׃'}]}]}]}]}"
4,I Chronicles 19:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיִּקַּ֨ח'}, {'name': 'חָנ֜וּן'}]}, {'name': 'PASHTA', 'children': [{'name': 'אֶת־עַבְדֵ֤י'}, {'name': 'דָוִיד֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַֽיְגַלְּחֵ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיִּכְרֹ֧ת'}, {'name': 'אֶת־מַדְוֵיהֶ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בַּחֵ֖צִי'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַד־הַמִּפְשָׂעָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַֽיְשַׁלְּחֵֽם׃'}]}]}"
5,I Chronicles 19:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֵּלְכוּ֩'}, {'name': 'וַיַּגִּ֨ידוּ'}, {'name': 'לְדָוִ֤יד'}, {'name': 'עַל־הָֽאֲנָשִׁים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיִּשְׁלַ֣ח'}, {'name': 'לִקְרָאתָ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּי־הָי֥וּ'}, {'name': 'הָאֲנָשִׁ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'נִכְלָמִ֣ים'}, {'name': 'מְאֹ֑ד'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּ֤אמֶר'}, {'name': 'הַמֶּ֙לֶךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שְׁב֣וּ'}, {'name': 'בִֽירֵח֔וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'עַ֛ד'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁר־יְצַמַּ֥ח'}, {'name': 'זְקַנְכֶ֖ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְשַׁבְתֶּֽם׃'}]}]}]}]}"
6,I Chronicles 19:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּרְאוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'עַמּ֔וֹן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּ֥י'}, {'name': 'הִֽתְבָּאֲשׁ֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עִם־דָּוִ֑יד'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וַיִּשְׁלַ֣ח'}, {'name': 'חָ֠נוּן'}]}, {'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וּבְנֵ֨י'}, {'name': 'עַמּ֜וֹן'}]}, {'name': 'REVIA', 'children': [{'name': 'אֶ֣לֶף'}, {'name': 'כִּכַּר־כֶּ֗סֶף'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'לִשְׂכֹּ֣ר'}, {'name': 'לָ֠הֶם'}]}, {'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'מִן־אֲרַ֨ם'}, {'name': 'נַהֲרַ֜יִם'}]}, {'name': 'PASHTA', 'children': [{'name': 'וּמִן־אֲרַ֤ם'}, {'name': 'מַעֲכָה֙'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִצּוֹבָ֔ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'רֶ֖כֶב'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּפָרָשִֽׁים׃'}]}]}]}]}"
7,I Chronicles 19:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'PAZER', 'children': [{'name': 'וַיִּשְׂכְּר֣וּ'}, {'name': 'לָהֶ֡ם'}]}, {'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'שְׁנַיִם֩'}, {'name': 'וּשְׁלֹשִׁ֨ים'}, {'name': 'אֶ֜לֶף'}]}, {'name': 'REVIA', 'children': [{'name': 'רֶ֗כֶב'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֶת־מֶ֤לֶךְ'}, {'name': 'מַעֲכָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאֶת־עַמּ֔וֹ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וַיָּבֹ֕אוּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַֽיַּחֲנ֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לִפְנֵ֣י'}, {'name': 'מֵידְבָ֑א'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וּבְנֵ֣י'}, {'name': 'עַמּ֗וֹן'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'נֶאֶסְפוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מֵעָ֣רֵיהֶ'}, {'name': '֔ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּבֹ֖אוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לַמִּלְחָמָֽה׃'}]}]}]}]}"
8,I Chronicles 19:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּשְׁמַ֖ע'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'דָּוִ֑יד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּשְׁלַח֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־יוֹאָ֔ב'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֵ֥ת'}, {'name': 'כָּל־צָבָ֖א'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַגִּבּוֹרִֽים׃'}]}]}]}]}"
9,I Chronicles 19:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֵּצְאוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'עַמּ֔וֹן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיַּֽעַרְכ֥וּ'}, {'name': 'מִלְחָמָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'פֶּ֣תַח'}, {'name': 'הָעִ֑יר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהַמְּלָכִ֣ים'}, {'name': 'אֲשֶׁר־בָּ֔אוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְבַדָּ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּשָּׂדֶֽה׃'}]}]}]}]}"
10,I Chronicles 19:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיַּ֣רְא'}, {'name': 'יוֹאָ֗ב'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כִּֽי־הָיְתָ֧ה'}, {'name': 'פְנֵי־הַמִּלְחָמָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֵלָ֖יו'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'פָּנִ֣ים'}, {'name': 'וְאָח֑וֹר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיִּבְחַ֗ר'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִכָּל־בָּחוּר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּיִשְׂרָאֵ֔ל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַֽיַּעֲרֹ֖ךְ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִקְרַ֥את'}, {'name': 'אֲרָֽם׃'}]}]}]}]}"
