verse,reference,tree_raw
1,I Chronicles 4:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּנֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְהוּדָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'פֶּ֧רֶץ'}, {'name': 'חֶצְר֛וֹן'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וְכַרְמִ֖י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְח֥וּר'}, {'name': 'וְשׁוֹבָֽל׃'}]}]}]}"
2,I Chronicles 4:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּרְאָיָ֤ה'}, {'name': 'בֶן־שׁוֹבָל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הוֹלִ֣יד'}, {'name': 'אֶת־יַ֔חַת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְיַ֣חַת'}, {'name': 'הֹלִ֔יד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶת־אֲחוּמַ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְאֶת־לָ֑הַד'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֵ֖לֶּה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִשְׁפְּח֥וֹת'}, {'name': 'הַצָּֽרְעָתִֽי׃'}]}]}]}"
3,I Chronicles 4:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֵ֙לֶּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲבִ֣י'}, {'name': 'עֵיטָ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יִזְרְעֶ֥אל'}, {'name': 'וְיִשְׁמָ֖א'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְיִדְבָּ֑שׁ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְשֵׁ֥ם'}, {'name': 'אֲחוֹתָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַצְלֶלְפּֽוֹנִי׃'}]}]}]}"
4,I Chronicles 4:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּפְנוּאֵל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲבִ֣י'}, {'name': 'גְדֹ֔ר'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעֵ֖זֶר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲבִ֣י'}, {'name': 'חוּשָׁ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֵ֤לֶּה'}, {'name': 'בְנֵי־חוּר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּכ֣וֹר'}, {'name': 'אֶפְרָ֔תָה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲבִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בֵּ֥ית'}, {'name': 'לָֽחֶם׃'}]}]}]}]}"
5,I Chronicles 4:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּלְאַשְׁחוּר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲבִ֣י'}, {'name': 'תְק֔וֹעַ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הָי֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שְׁתֵּ֣י'}, {'name': 'נָשִׁ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חֶלְאָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְנַעֲרָֽה׃'}]}]}]}"
6,I Chronicles 4:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתֵּ֨לֶד'}, {'name': 'ל֤וֹ'}, {'name': 'נַעֲרָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־אֲחֻזָּ֣ם'}, {'name': 'וְאֶת־חֵ֔פֶר'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶת־תֵּימְנִ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְאֶת־הָאֲחַשְׁתָּרִ֑י'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֵ֖לֶּה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּנֵ֥י'}, {'name': 'נַעֲרָֽה׃'}]}]}]}"
7,I Chronicles 4:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבְנֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'חֶלְאָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'צֶ֥רֶת'}, {'name': 'וְצֹ֖חַר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְאֶתְנָֽן׃'}]}]}]}"
8,I Chronicles 4:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְק֣וֹץ'}, {'name': 'הוֹלִ֔יד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶת־עָנ֖וּב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְאֶת־הַצֹּבֵבָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמִשְׁפְּח֥וֹת'}, {'name': 'אֲחַרְחֵ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בֶּן־הָרֽוּם׃'}]}]}]}"
9,I Chronicles 4:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיְהִ֣י'}, {'name': 'יַעְבֵּ֔ץ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נִכְבָּ֖ד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֵאֶחָ֑יו'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְאִמּ֗וֹ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'קָרְאָ֨ה'}, {'name': 'שְׁמ֤וֹ'}, {'name': 'יַעְבֵּץ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֵאמֹ֔ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּ֥י'}, {'name': 'יָלַ֖דְתִּי'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּעֹֽצֶב׃'}]}]}]}]}"
10,I Chronicles 4:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וַיִּקְרָ֣א'}, {'name': 'יַ֠עְבֵּץ'}]}, {'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'לֵאלֹהֵ֨י'}, {'name': 'יִשְׂרָאֵ֜ל'}]}, {'name': 'REVIA', 'children': [{'name': 'לֵאמֹ֗ר'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'אִם־בָּרֵ֨ךְ'}, {'name': 'תְּבָרֲכֵ֜נִי'}]}, {'name': 'PASHTA', 'children': [{'name': 'וְהִרְבִּ֤יתָ'}, {'name': 'אֶת־גְּבוּלִי֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהָיְתָ֤ה'}, {'name': 'יָדְךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עִמִּ֔י'}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעָשִׂ֥יתָ'}, {'name': 'מֵּרָעָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְבִלְתִּ֣י'}, {'name': 'עָצְבִּ֑י'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּבֵ֥א'}, {'name': 'אֱלֹהִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֵ֥ת'}, {'name': 'אֲשֶׁר־שָׁאָֽל׃'}]}]}]}"
11,I Chronicles 4:11,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּכְל֥וּב'}, {'name': 'אֲחִֽי־שׁוּחָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הוֹלִ֣יד'}, {'name': 'אֶת־מְחִ֑יר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'ה֖וּא'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֲבִ֥י'}, {'name': 'אֶשְׁתּֽוֹן׃'}]}]}]}"
12,I Chronicles 4:12,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְאֶשְׁתּ֗וֹן'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'הוֹלִ֞יד'}]}, {'name': 'PASHTA', 'children': [{'name': 'אֶת־בֵּ֤ית'}, {'name': 'רָפָא֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאֶת־פָּסֵ֔חַ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶת־תְּחִנָּ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲבִ֣י'}, {'name': 'עִ֣יר'}, {'name': 'נָחָ֑שׁ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֵ֖לֶּה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אַנְשֵׁ֥י'}, {'name': 'רֵכָֽה׃'}]}]}]}"
13,I Chronicles 4:13,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּבְנֵ֣י'}, {'name': 'קְנַ֔ז'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עָתְנִיאֵ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וּשְׂרָיָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבְנֵ֥י'}, {'name': 'עָתְנִיאֵ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חֲתַֽת׃'}]}]}]}"
14,I Chronicles 4:14,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמְעוֹנֹתַ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הוֹלִ֣יד'}, {'name': 'אֶת־עָפְרָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וּשְׂרָיָ֗ה'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הוֹלִ֤יד'}, {'name': 'אֶת־יוֹאָב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֲבִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'גֵּ֣יא'}, {'name': 'חֲרָשִׁ֔ים'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּ֥י'}, {'name': 'חֲרָשִׁ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הָיֽוּ׃'}]}]}]}]}"
15,I Chronicles 4:15,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּבְנֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּלֵ֣ב'}, {'name': 'בֶּן־יְפֻנֶּ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עִ֥ירוּ'}, {'name': 'אֵלָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וָנָ֑עַם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבְנֵ֥י'}, {'name': 'אֵלָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּקְנַֽז׃'}]}]}]}"
16,I Chronicles 4:16,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבְנֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְהַלֶּלְאֵ֑ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'זִ֣יף'}, {'name': 'וְזִיפָ֔ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'תִּירְיָ֖א'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַאֲשַׂרְאֵֽל׃'}]}]}]}]}"
17,I Chronicles 4:17,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּבֶן־עֶזְרָ֔ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יֶ֥תֶר'}, {'name': 'וּמֶ֖רֶד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְעֵ֣פֶר'}, {'name': 'וְיָל֑וֹן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתַּ֙הַר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־מִרְיָ֣ם'}, {'name': 'וְאֶת־שַׁמַּ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶת־יִשְׁבָּ֖ח'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֲבִ֥י'}, {'name': 'אֶשְׁתְּמֹֽעַ׃'}]}]}]}]}"
