verse,reference,tree_raw
1,I Kings 9:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְהִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כְּכַלּ֣וֹת'}, {'name': 'שְׁלֹמֹ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לִבְנ֥וֹת'}, {'name': 'אֶת־בֵּית־יְהוָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְאֶת־בֵּ֣ית'}, {'name': 'הַמֶּ֑לֶךְ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֵת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּל־חֵ֣שֶׁק'}, {'name': 'שְׁלֹמֹ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'חָפֵ֖ץ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לַעֲשֽׂוֹת׃'}]}]}]}]}"
2,I Kings 9:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיֵּרָ֧א'}, {'name': 'יְהוָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶל־שְׁלֹמֹ֖ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שֵׁנִ֑ית'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כַּאֲשֶׁ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'נִרְאָ֥ה'}, {'name': 'אֵלָ֖יו'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּגִבְעֽוֹן׃'}]}]}]}"
3,I Kings 9:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיֹּ֨אמֶר'}, {'name': 'יְהוָ֜ה'}]}, {'name': 'REVIA', 'children': [{'name': 'אֵלָ֗יו'}]}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'שָׁ֠מַעְתִּי'}]}, {'name': 'ZARQA', 'children': [{'name': 'אֶת־תְּפִלָּתְךָ֣'}, {'name': 'וְאֶת־תְּחִנָּתְךָ֮'}]}]}, {'name': 'SEGOLTA', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'הִתְחַנַּ֣נְתָּה'}, {'name': 'לְפָנַי֒'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'הִקְדַּ֗שְׁתִּי'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶת־הַבַּ֤יִת'}, {'name': 'הַזֶּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'בָּנִ֔תָה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לָשֽׂוּם־שְׁמִ֥י'}, {'name': 'שָׁ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַד־עוֹלָ֑ם'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְהָי֨וּ'}, {'name': 'עֵינַ֧י'}, {'name': 'וְלִבִּ֛י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'שָׁ֖ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'כָּל־הַיָּמִֽים׃'}]}]}]}"
4,I Kings 9:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וְאַתָּ֞ה'}]}, {'name': 'REVIA', 'children': [{'name': 'אִם־תֵּלֵ֣ךְ'}, {'name': 'לְפָנַ֗י'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'כַּאֲשֶׁ֨ר'}, {'name': 'הָלַ֜ךְ'}]}, {'name': 'PASHTA', 'children': [{'name': 'דָּוִ֤ד'}, {'name': 'אָבִ֙יךָ֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּתָם־לֵבָ֣ב'}, {'name': 'וּבְיֹ֔שֶׁר'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'לַעֲשׂ֕וֹת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כְּכֹ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'צִוִּיתִ֑יךָ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חֻקַּ֥י'}, {'name': 'וּמִשְׁפָּטַ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תִּשְׁמֹֽר׃'}]}]}]}"
5,I Kings 9:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַהֲקִ֨מֹתִ'}, {'name': '֜י'}]}, {'name': 'TEVIR', 'children': [{'name': 'אֶת־כִּסֵּ֧א'}, {'name': 'מַֽמְלַכְתְּךָ֛'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַל־יִשְׂרָאֵ֖ל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְעֹלָ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'כַּאֲשֶׁ֣ר'}, {'name': 'דִּבַּ֗רְתִּי'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַל־דָּוִ֤ד'}, {'name': 'אָבִ֙יךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֵאמֹ֔ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לֹֽא־יִכָּרֵ֤ת'}, {'name': 'לְךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אִ֔ישׁ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מֵעַ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כִּסֵּ֥א'}, {'name': 'יִשְׂרָאֵֽל׃'}]}]}]}]}]}"
6,I Kings 9:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'אִם־שׁ֨וֹב'}, {'name': 'תְּשֻׁב֜וּן'}]}, {'name': 'PASHTA', 'children': [{'name': 'אַתֶּ֤ם'}, {'name': 'וּבְנֵיכֶם֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מֵֽאַחֲרַ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְלֹ֤א'}, {'name': 'תִשְׁמְרוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִצְוֺתַ֣י'}, {'name': 'חֻקֹּתַ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'נָתַ֖תִּי'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לִפְנֵיכֶ֑ם'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַהֲלַכְתֶּ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַעֲבַדְתֶּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֱלֹהִ֣ים'}, {'name': 'אֲחֵרִ֔ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהִשְׁתַּחֲוִיתֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לָהֶֽם׃'}]}]}]}]}"
7,I Kings 9:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְהִכְרַתִּ֣י'}, {'name': 'אֶת־יִשְׂרָאֵ֗ל'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מֵעַ֨ל'}, {'name': 'פְּנֵ֤י'}, {'name': 'הָאֲדָמָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'נָתַ֣תִּי'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֶת־הַבַּ֙יִת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'הִקְדַּ֣שְׁתִּי'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשַׁלַּ֖ח'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֵעַ֣ל'}, {'name': 'פָּנָ֑י'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְהָיָ֧ה'}, {'name': 'יִשְׂרָאֵ֛ל'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לְמָשָׁ֥ל'}, {'name': 'וְלִשְׁנִינָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּכָל־הָעַמִּֽים׃'}]}]}]}"
8,I Kings 9:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהַבַּ֤יִת'}, {'name': 'הַזֶּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יִהְיֶ֣ה'}, {'name': 'עֶלְי֔וֹן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כָּל־עֹבֵ֥ר'}, {'name': 'עָלָ֖יו'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יִשֹּׁ֣ם'}, {'name': 'וְשָׁרָ֑ק'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְאָמְר֗וּ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַל־מֶ֨ה'}, {'name': 'עָשָׂ֤ה'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּ֔כָה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לָאָ֥רֶץ'}, {'name': 'הַזֹּ֖את'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְלַבַּ֥יִת'}, {'name': 'הַזֶּֽה׃'}]}]}]}]}"
9,I Kings 9:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְאָמְר֗וּ'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'עַל֩'}, {'name': 'אֲשֶׁ֨ר'}, {'name': 'עָזְב֜וּ'}]}, {'name': 'REVIA', 'children': [{'name': 'אֶת־יְהוָ֣ה'}, {'name': 'אֱלֹהֵיהֶ֗ם'}]}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'אֲשֶׁ֨ר'}, {'name': 'הוֹצִ֣יא'}, {'name': 'אֶת־אֲבֹתָם֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'מֵאֶ֣רֶץ'}, {'name': 'מִצְרַיִם֒'}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַֽיַּחֲזִ֙קוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בֵּאלֹהִ֣ים'}, {'name': 'אֲחֵרִ֔ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּשְׁתַּחֲו֥וּ'}, {'name': 'לָהֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וַיַּעַבְדֻ֑ם'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'עַל־כֵּ֗ן'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הֵבִ֤יא'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עֲלֵיהֶ֔ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֵ֥ת'}, {'name': 'כָּל־הָרָעָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַזֹּֽאת׃'}]}]}]}]}"
10,I Kings 9:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיְהִ֗י'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִקְצֵה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עֶשְׂרִ֣ים'}, {'name': 'שָׁנָ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁר־בָּנָ֥ה'}, {'name': 'שְׁלֹמֹ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־שְׁנֵ֣י'}, {'name': 'הַבָּתִּ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶת־בֵּ֥ית'}, {'name': 'יְהוָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְאֶת־בֵּ֥ית'}, {'name': 'הַמֶּֽלֶךְ׃'}]}]}]}"
