verse,reference,tree_raw
1,I Samuel 17:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיַּאַסְפ֨וּ'}, {'name': 'פְלִשְׁתִּ֤ים'}, {'name': 'אֶת־מַֽחֲנֵיהֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַמִּלְחָמָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֵּאָ֣סְפ'}, {'name': '֔וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שֹׂכֹ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'לִיהוּדָ֑ה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַֽיַּחֲנ֛וּ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בֵּין־שׂוֹכֹ֥ה'}, {'name': 'וּבֵין־עֲזֵקָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּאֶ֥פֶס'}, {'name': 'דַּמִּֽים׃'}]}]}]}"
2,I Samuel 17:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְשָׁא֤וּל'}, {'name': 'וְאִֽישׁ־יִשְׂרָאֵל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'נֶאֶסְפ֔וּ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַֽיַּחֲנ֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּעֵ֣מֶק'}, {'name': 'הָאֵלָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיַּעַרְכ֥וּ'}, {'name': 'מִלְחָמָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִקְרַ֥את'}, {'name': 'פְּלִשְׁתִּֽים׃'}]}]}]}"
3,I Samuel 17:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וּפְלִשְׁתִּ֞ים'}]}, {'name': 'PASHTA', 'children': [{'name': 'עֹמְדִ֤ים'}, {'name': 'אֶל־הָהָר֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִזֶּ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְיִשְׂרָאֵ֛ל'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עֹמְדִ֥ים'}, {'name': 'אֶל־הָהָ֖ר'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִזֶּ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהַגַּ֖יְא'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בֵּינֵיהֶֽם׃'}]}]}]}"
4,I Samuel 17:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֵּצֵ֤א'}, {'name': 'אִֽישׁ־הַבֵּנַ֙יִם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִמַּחֲנ֣וֹת'}, {'name': 'פְּלִשְׁתִּ֔ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'גָּלְיָ֥ת'}, {'name': 'שְׁמ֖וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִגַּ֑ת'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'גָּבְה֕וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שֵׁ֥שׁ'}, {'name': 'אַמּ֖וֹת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וָזָֽרֶת׃'}]}]}]}]}"
5,I Samuel 17:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְכ֤וֹבַע'}, {'name': 'נְחֹ֙שֶׁת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־רֹאשׁ֔וֹ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְשִׁרְי֥וֹן'}, {'name': 'קַשְׂקַשִּׂ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ה֣וּא'}, {'name': 'לָב֑וּשׁ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּמִשְׁקַל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַשִּׁרְי֔וֹן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חֲמֵשֶׁת־אֲלָפִ֥ים'}, {'name': 'שְׁקָלִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'נְחֹֽשֶֽׁת׃'}]}]}]}]}"
6,I Samuel 17:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמִצְחַ֥ת'}, {'name': 'נְחֹ֖שֶׁת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־רַגְלָ֑יו'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְכִיד֥וֹן'}, {'name': 'נְחֹ֖שֶׁת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בֵּ֥ין'}, {'name': 'כְּתֵפָֽיו׃'}]}]}]}"
7,I Samuel 17:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְעֵ֣ץ'}, {'name': 'חֲנִית֗וֹ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּמְנוֹר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֹֽרְגִ֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְלַהֶ֣בֶת'}, {'name': 'חֲנִית֔וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שֵׁשׁ־מֵא֥וֹת'}, {'name': 'שְׁקָלִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בַּרְזֶ֑ל'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְנֹשֵׂ֥א'}, {'name': 'הַצִּנָּ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הֹלֵ֥ךְ'}, {'name': 'לְפָנָֽיו׃'}]}]}]}"
8,I Samuel 17:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַֽיַּעֲמֹ֗ד'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּקְרָא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־מַעַרְכֹ֣ת'}, {'name': 'יִשְׂרָאֵ֔ל'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'לָהֶ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לָ֥מָּה'}, {'name': 'תֵצְא֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַעֲרֹ֣ךְ'}, {'name': 'מִלְחָמָ֑ה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'הֲל֧וֹא'}, {'name': 'אָנֹכִ֣י'}, {'name': 'הַפְּלִשְׁתִּ֗י'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאַתֶּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עֲבָדִ֣ים'}, {'name': 'לְשָׁא֔וּל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּרוּ־לָכֶ֥ם'}, {'name': 'אִ֖ישׁ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְיֵרֵ֥ד'}, {'name': 'אֵלָֽי׃'}]}]}]}]}"
9,I Samuel 17:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'אִם־יוּכַ֞ל'}]}, {'name': 'PASHTA', 'children': [{'name': 'לְהִלָּחֵ֤ם'}, {'name': 'אִתִּי֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהִכָּ֔נִי'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהָיִ֥ינוּ'}, {'name': 'לָכֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַעֲבָדִ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאִם־אֲנִ֤י'}, {'name': 'אֽוּכַל־לוֹ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהִכִּיתִ֔יו'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וִהְיִ֤יתֶם'}, {'name': 'לָ֙נוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַעֲבָדִ֔ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַעֲבַדְתֶּ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֹתָֽנוּ׃'}]}]}]}]}]}"
10,I Samuel 17:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּ֙אמֶר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַפְּלִשְׁתִּ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'אֲנִ֗י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'חֵרַ֛פְתִּי'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶת־מַעַרְכ֥וֹת'}, {'name': 'יִשְׂרָאֵ֖ל'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הַיּ֣וֹם'}, {'name': 'הַזֶּ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'תְּנוּ־לִ֣י'}, {'name': 'אִ֔ישׁ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְנִֽלָּחֲמָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יָֽחַד׃'}]}]}]}]}"
