verse,reference,tree_raw
1,I Samuel 7:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיָּבֹ֜אוּ'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'אַנְשֵׁ֣י׀'}]}, {'name': 'REVIA', 'children': [{'name': 'קִרְיַ֣ת'}, {'name': 'יְעָרִ֗ים'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַֽיַּעֲלוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־אֲר֣וֹן'}, {'name': 'יְהוָ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיָּבִ֣אוּ'}, {'name': 'אֹת֔וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶל־בֵּ֥ית'}, {'name': 'אֲבִינָדָ֖ב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בַּגִּבְעָ֑ה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֶת־אֶלְעָזָ֤ר'}, {'name': 'בְּנוֹ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'קִדְּשׁ֔וּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לִשְׁמֹ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶת־אֲר֥וֹן'}, {'name': 'יְהוָֽה׃'}]}]}]}]}"
2,I Samuel 7:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיְהִ֗י'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'מִיּ֞וֹם'}]}, {'name': 'PASHTA', 'children': [{'name': 'שֶׁ֤בֶת'}, {'name': 'הָֽאָרוֹן֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּקִרְיַ֣ת'}, {'name': 'יְעָרִ֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּרְבּוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַיָּמִ֔ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּֽהְי֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עֶשְׂרִ֣ים'}, {'name': 'שָׁנָ֑ה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיִּנָּה֛וּ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'כָּל־בֵּ֥ית'}, {'name': 'יִשְׂרָאֵ֖ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'אַחֲרֵ֥י'}, {'name': 'יְהוָֽה׃'}]}]}]}"
3,I Samuel 7:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'שְׁמוּאֵ֗ל'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'אֶל־כָּל־בֵּ֣ית'}, {'name': 'יִשְׂרָאֵל֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'לֵאמֹר֒'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'אִם־בְּכָל־לְבַבְכֶ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אַתֶּ֤ם'}, {'name': 'שָׁבִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־יְהוָ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'הָסִ֜ירוּ'}]}, {'name': 'TEVIR', 'children': [{'name': 'אֶת־אֱלֹהֵ֧י'}, {'name': 'הַנֵּכָ֛ר'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִתּוֹכְכֶ֖ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְהָעַשְׁתָּר֑וֹת'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהָכִ֨ינוּ'}, {'name': 'לְבַבְכֶ֤ם'}, {'name': 'אֶל־יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְעִבְדֻ֣הוּ'}, {'name': 'לְבַדּ֔וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְיַצֵּ֥ל'}, {'name': 'אֶתְכֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִיַּ֥ד'}, {'name': 'פְּלִשְׁתִּֽים׃'}]}]}]}]}"
4,I Samuel 7:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיָּסִ֙ירוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'יִשְׂרָאֵ֔ל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶת־הַבְּעָלִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְאֶת־הָעַשְׁתָּרֹ֑ת'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיַּעַבְד֥וּ'}, {'name': 'אֶת־יְהוָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְבַדּֽוֹ׃'}]}]}]}"
5,I Samuel 7:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'שְׁמוּאֵ֔ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'קִבְצ֥וּ'}, {'name': 'אֶת־כָּל־יִשְׂרָאֵ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הַמִּצְפָּ֑תָה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶתְפַּלֵּ֥ל'}, {'name': 'בַּעַדְכֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶל־יְהוָֽה׃'}]}]}]}"
6,I Samuel 7:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וַיִּקָּבְצ֣וּ'}, {'name': 'הַ֠מִּצְפָּתָה'}]}, {'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיִּֽשְׁאֲבוּ־מַ֜יִם'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'וַֽיִּשְׁפְּכ֣וּ׀'}]}, {'name': 'REVIA', 'children': [{'name': 'לִפְנֵ֣י'}, {'name': 'יְהוָ֗ה'}]}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיָּצ֙וּמוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּיּ֣וֹם'}, {'name': 'הַה֔וּא'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמְרוּ'}, {'name': 'שָׁ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חָטָ֖אנוּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַיהוָ֑ה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיִּשְׁפֹּ֧ט'}, {'name': 'שְׁמוּאֵ֛ל'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶת־בְּנֵ֥י'}, {'name': 'יִשְׂרָאֵ֖ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּמִּצְפָּֽה׃'}]}]}]}"
7,I Samuel 7:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיִּשְׁמְע֣וּ'}, {'name': 'פְלִשְׁתִּ֗ים'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּֽי־הִתְקַבְּצ֤וּ'}, {'name': 'בְנֵֽי־יִשְׂרָאֵל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַמִּצְפָּ֔תָה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיַּעֲל֥וּ'}, {'name': 'סַרְנֵֽי־פְלִשְׁתִּ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶל־יִשְׂרָאֵ֑ל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַֽיִּשְׁמְעוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'יִשְׂרָאֵ֔ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּֽרְא֖וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִפְּנֵ֥י'}, {'name': 'פְלִשְׁתִּֽים׃'}]}]}]}]}"
8,I Samuel 7:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּאמְר֤וּ'}, {'name': 'בְנֵֽי־יִשְׂרָאֵל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־שְׁמוּאֵ֔ל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'אַל־תַּחֲרֵ֣שׁ'}, {'name': 'מִמֶּ֔נּוּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִזְּעֹ֖ק'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶל־יְהוָ֣ה'}, {'name': 'אֱלֹהֵ֑ינוּ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְיֹשִׁעֵ֖נוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִיַּ֥ד'}, {'name': 'פְּלִשְׁתִּֽים׃'}]}]}]}"
9,I Samuel 7:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיִּקַּ֣ח'}, {'name': 'שְׁמוּאֵ֗ל'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'טְלֵ֤ה'}, {'name': 'חָלָב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶחָ֔ד'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיַּעֲלֵ֧הוּ'}, {'name': 'עוֹלָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'כָּלִ֖יל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַֽיהוָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּזְעַ֨ק'}, {'name': 'שְׁמוּאֵ֤ל'}, {'name': 'אֶל־יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּעַ֣ד'}, {'name': 'יִשְׂרָאֵ֔ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַֽיַּעֲנֵ֖הוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְהוָֽה׃'}]}]}]}]}"
10,I Samuel 7:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְהִ֤י'}, {'name': 'שְׁמוּאֵל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מַעֲלֶ֣ה'}, {'name': 'הָעוֹלָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּפְלִשְׁתִּ֣ים'}, {'name': 'נִגְּשׁ֔וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לַמִּלְחָמָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּיִשְׂרָאֵ֑ל'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וַיַּרְעֵ֣ם'}, {'name': 'יְהוָ֣ה'}, {'name': 'בְּקוֹל־גָּ֠דוֹל'}]}, {'name': 'PASHTA', 'children': [{'name': 'בַּיּ֨וֹם'}, {'name': 'הַה֤וּא'}, {'name': 'עַל־פְּלִשְׁתִּים֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיְהֻמֵּ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּנָּגְפ֖וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִפְנֵ֥י'}, {'name': 'יִשְׂרָאֵֽל׃'}]}]}]}]}"
