verse,reference,tree_raw
1,II Chronicles 19:1,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וַ֠יָּשָׁב'}]}, {'name': 'TEVIR', 'children': [{'name': 'יְהוֹשָׁפָ֨ט'}, {'name': 'מֶֽלֶךְ־יְהוּדָ֧ה'}, {'name': 'אֶל־בֵּית֛וֹ'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'בְּשָׁל֖וֹם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִֽירוּשָׁלִָֽם׃'}]}]}]}"
2,II Chronicles 19:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיֵּצֵ֣א'}, {'name': 'אֶל־פָּנָ֗יו'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'יֵה֣וּא'}, {'name': 'בֶן־חֲנָ֘נִי'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': '֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'הַחֹזֶה֒'}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּ֙אמֶר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־הַמֶּ֣לֶךְ'}, {'name': 'יְהוֹשָׁפָ֔ט'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'הֲלָרָשָׁ֣ע'}, {'name': 'לַעְזֹ֔ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּלְשֹׂנְאֵ֥י'}, {'name': 'יְהוָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תֶּאֱהָ֑ב'}]}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּבָזֹאת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עָלֶ֣יךָ'}, {'name': 'קֶּ֔צֶף'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִלִּפְנֵ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְהוָֽה׃'}]}]}]}]}"
3,II Chronicles 19:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'אֲבָ֕ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'דְּבָרִ֥ים'}, {'name': 'טוֹבִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'נִמְצְא֣וּ'}, {'name': 'עִמָּ֑ךְ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּֽי־בִעַ֤רְתָּ'}, {'name': 'הָאֲשֵׁרוֹת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִן־הָאָ֔רֶץ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַהֲכִינ֥וֹתָ'}, {'name': 'לְבָבְךָ֖'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִדְרֹ֥שׁ'}, {'name': 'הָֽאֱלֹהִֽים׃'}]}]}]}]}"
4,II Chronicles 19:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֵּ֥שֶׁב'}, {'name': 'יְהוֹשָׁפָ֖ט'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בִּירוּשָׁלִָ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיָּ֜שָׁב'}]}, {'name': 'REVIA', 'children': [{'name': 'וַיֵּצֵ֣א'}, {'name': 'בָעָ֗ם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִבְּאֵ֥ר'}, {'name': 'שֶׁ֙בַע֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַד־הַ֣ר'}, {'name': 'אֶפְרַ֔יִם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וַיְשִׁיבֵ֕ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶל־יְהוָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֱלֹהֵ֥י'}, {'name': 'אֲבוֹתֵיהֶֽם׃'}]}]}]}]}]}"
5,II Chronicles 19:5,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיַּעֲמֵ֨ד'}, {'name': 'שֹֽׁפְטִ֜ים'}]}, {'name': 'REVIA', 'children': [{'name': 'בָּאָ֗רֶץ'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'בְּכָל־עָרֵ֧י'}, {'name': 'יְהוּדָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'הַבְּצֻר֖וֹת'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְעִ֥יר'}, {'name': 'וָעִֽיר׃'}]}]}]}"
6,II Chronicles 19:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'אֶל־הַשֹּֽׁפְטִ֗ים'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'רְאוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מָֽה־אַתֶּ֣ם'}, {'name': 'עֹשִׂ֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כִּ֣י'}, {'name': 'לֹ֧א'}, {'name': 'לְאָדָ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'תִּשְׁפְּט֖וּ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'כִּ֣י'}, {'name': 'לַיהוָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעִמָּכֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בִּדְבַ֥ר'}, {'name': 'מִשְׁפָּֽט׃'}]}]}]}"
7,II Chronicles 19:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וְעַתָּ֕ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יְהִ֥י'}, {'name': 'פַֽחַד־יְהוָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עֲלֵיכֶ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'שִׁמְר֣וּ'}, {'name': 'וַעֲשׂ֔וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'כִּֽי־אֵ֞ין'}]}, {'name': 'REVIA', 'children': [{'name': 'עִם־יְהוָ֣ה'}, {'name': 'אֱלֹהֵ֗ינוּ'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'עַוְלָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וּמַשֹּׂ֥א'}, {'name': 'פָנִ֖ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּמִקַּח־שֹֽׁחַד׃'}]}]}]}]}"
8,II Chronicles 19:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וְגַ֣ם'}, {'name': 'בִּ֠ירוּשָׁלִַם'}]}, {'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'הֶעֱמִ֨יד'}, {'name': 'יְהוֹשָׁפָ֜ט'}]}, {'name': 'REVIA', 'children': [{'name': 'מִן־הַלְוִיִּ֣ם'}, {'name': 'וְהַכֹּהֲנִ֗ים'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּמֵרָאשֵׁ֤י'}, {'name': 'הָאָבוֹת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְיִשְׂרָאֵ֔ל'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְמִשְׁפַּ֥ט'}, {'name': 'יְהוָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְלָרִ֑יב'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּשֻׁ֖בוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְרוּשָׁלִָֽם׃'}]}]}]}"
9,II Chronicles 19:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיְצַ֥ו'}, {'name': 'עֲלֵיהֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֵאמֹ֑ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כֹּ֤ה'}, {'name': 'תַעֲשׂוּן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּיִרְאַ֣ת'}, {'name': 'יְהוָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בֶּאֱמוּנָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּבְלֵבָ֥ב'}, {'name': 'שָׁלֵֽם׃'}]}]}]}]}"
10,II Chronicles 19:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְכָל־רִיב֩'}, {'name': 'אֲשֶׁר־יָב֨וֹא'}, {'name': 'עֲלֵיכֶ֜ם'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'מֵאֲחֵיכֶ֣ם׀'}]}, {'name': 'REVIA', 'children': [{'name': 'הַיֹּשְׁבִ֣ים'}, {'name': 'בְּעָרֵיהֶ֗ם'}]}]}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'בֵּֽין־דָּ֣ם'}, {'name': 'לְדָם֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'בֵּין־תּוֹרָ֣ה'}, {'name': 'לְמִצְוָה֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'לְחֻקִּ֣ים'}, {'name': 'וּלְמִשְׁפָּטִים֒'}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהִזְהַרְתֶּ֣ם'}, {'name': 'אֹתָ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְלֹ֤א'}, {'name': 'יֶאְשְׁמוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַיהוָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהָֽיָה־קֶ֥צֶף'}, {'name': 'עֲלֵיכֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְעַל־אֲחֵיכֶ֑ם'}]}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כֹּ֥ה'}, {'name': 'תַעֲשׂ֖וּן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְלֹ֥א'}, {'name': 'תֶאְשָֽׁמוּ׃'}]}]}]}"
