verse,reference,tree_raw
1,II Chronicles 29:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'יְחִזְקִיָּ֣הוּ'}, {'name': 'מָלַ֗ךְ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בֶּן־עֶשְׂרִ֤ים'}, {'name': 'וְחָמֵשׁ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שָׁנָ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְעֶשְׂרִ֤ים'}, {'name': 'וָתֵ֙שַׁע֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שָׁנָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מָלַ֖ךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בִּירוּשָׁלִָ֑ם'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְשֵׁ֣ם'}, {'name': 'אִמּ֔וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲבִיָּ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּת־זְכַרְיָֽהוּ׃'}]}]}]}]}"
2,II Chronicles 29:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיַּ֥עַשׂ'}, {'name': 'הַיָּשָׁ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּעֵינֵ֣י'}, {'name': 'יְהוָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כְּכֹ֥ל'}, {'name': 'אֲשֶׁר־עָשָׂ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'דָּוִ֥יד'}, {'name': 'אָבִֽיו׃'}]}]}]}"
3,II Chronicles 29:3,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'ה֣וּא'}, {'name': 'בַשָּׁנָה֩'}, {'name': 'הָרִאשׁוֹנָ֨ה'}, {'name': 'לְמָלְכ֜וֹ'}]}, {'name': 'REVIA', 'children': [{'name': 'בַּחֹ֣דֶשׁ'}, {'name': 'הָרִאשׁ֗וֹן'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'פָּתַ֛ח'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶת־דַּלְת֥וֹת'}, {'name': 'בֵּית־יְהוָ֖ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַֽיְחַזְּקֵֽם׃'}]}]}]}"
4,II Chronicles 29:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּבֵ֥א'}, {'name': 'אֶת־הַכֹּהֲנִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְאֶת־הַלְוִיִּ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיַּֽאַסְפֵ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִרְח֥וֹב'}, {'name': 'הַמִּזְרָֽח׃'}]}]}]}"
5,II Chronicles 29:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֹּ֥אמֶר'}, {'name': 'לָהֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שְׁמָע֣וּנִי'}, {'name': 'הַלְוִיִּ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'עַתָּ֣ה'}, {'name': 'הִֽתְקַדְּשׁ֗וּ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְקַדְּשׁוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶת־בֵּ֤ית'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֱלֹהֵ֣י'}, {'name': 'אֲבֹתֵיכֶ֔ם'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהוֹצִ֥יאוּ'}, {'name': 'אֶת־הַנִּדָּ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִן־הַקֹּֽדֶשׁ׃'}]}]}]}]}"
6,II Chronicles 29:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'כִּֽי־מָעֲל֣וּ'}, {'name': 'אֲבֹתֵ֗ינוּ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְעָשׂ֥וּ'}, {'name': 'הָרַ֛ע'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בְּעֵינֵ֥י'}, {'name': 'יְהוָֽה־אֱלֹהֵ֖ינוּ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וַיַּֽעַזְבֻ֑הוּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיַּסֵּ֧בּוּ'}, {'name': 'פְנֵיהֶ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִמִּשְׁכַּ֥ן'}, {'name': 'יְהוָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַיִּתְּנוּ־עֹֽרֶף׃'}]}]}]}"
7,II Chronicles 29:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'גַּ֣ם'}, {'name': 'סָֽגְר֞וּ'}]}, {'name': 'REVIA', 'children': [{'name': 'דַּלְת֣וֹת'}, {'name': 'הָאוּלָ֗ם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְכַבּוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־הַנֵּר֔וֹת'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּקְטֹ֖רֶת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֹ֣א'}, {'name': 'הִקְטִ֑ירוּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְעֹלָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֹא־הֶעֱל֣וּ'}, {'name': 'בַקֹּ֔דֶשׁ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לֵאלֹהֵ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יִשְׂרָאֵֽל׃'}]}]}]}]}"
8,II Chronicles 29:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְהִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'קֶ֣צֶף'}, {'name': 'יְהוָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עַל־יְהוּדָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וִירוּשָׁלִָ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּתְּנֵ֤ם'}, {'name': 'לְזַֽעֲוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְשַׁמָּ֣ה'}, {'name': 'וְלִשְׁרֵקָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כַּאֲשֶׁ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אַתֶּ֥ם'}, {'name': 'רֹאִ֖ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּעֵינֵיכֶֽם׃'}]}]}]}]}"
9,II Chronicles 29:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְהִנֵּ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'נָפְל֥וּ'}, {'name': 'אֲבוֹתֵ֖ינוּ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּחָ֑רֶב'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וּבָנֵ֨ינוּ'}, {'name': 'וּבְנוֹתֵ֧ינוּ'}, {'name': 'וְנָשֵׁ֛ינוּ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בַּשְּׁבִ֖י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־זֹֽאת׃'}]}]}]}"
10,II Chronicles 29:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַתָּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עִם־לְבָבִ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'לִכְר֣וֹת'}, {'name': 'בְּרִ֔ית'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לַיהוָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֱלֹהֵ֣י'}, {'name': 'יִשְׂרָאֵ֑ל'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְיָשֹׁ֥ב'}, {'name': 'מִמֶּ֖נּוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חֲר֥וֹן'}, {'name': 'אַפּֽוֹ׃'}]}]}]}"
