verse,reference,tree_raw
1,II Samuel 19:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיִּרְגַּ֣ז'}, {'name': 'הַמֶּ֗לֶךְ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיַּ֛עַל'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַל־עֲלִיַּ֥ת'}, {'name': 'הַשַּׁ֖עַר'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וַיֵּ֑בְךְּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'וְכֹ֣ה׀'}]}, {'name': 'REVIA', 'children': [{'name': 'אָמַ֣ר'}, {'name': 'בְּלֶכְתּ֗וֹ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּנִ֤י'}, {'name': 'אַבְשָׁלוֹם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנִ֣י'}, {'name': 'בְנִ֣י'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִֽי־יִתֵּ֤ן'}, {'name': 'מוּתִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲנִ֣י'}, {'name': 'תַחְתֶּ֔יךָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אַבְשָׁל֖וֹם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּנִ֥י'}, {'name': 'בְנִֽי׃'}]}]}]}]}]}"
2,II Samuel 19:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֻּגַּ֖ד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְיוֹאָ֑ב'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'הִנֵּ֨ה'}, {'name': 'הַמֶּ֧לֶךְ'}, {'name': 'בֹּכֶ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וַיִּתְאַבֵּ֖ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־אַבְשָׁלֹֽם׃'}]}]}]}"
3,II Samuel 19:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַתְּהִ֨י'}, {'name': 'הַתְּשֻׁעָ֜ה'}]}, {'name': 'TEVIR', 'children': [{'name': 'בַּיּ֥וֹם'}, {'name': 'הַה֛וּא'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'לְאֵ֖בֶל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְכָל־הָעָ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'כִּֽי־שָׁמַ֣ע'}, {'name': 'הָעָ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בַּיּ֤וֹם'}, {'name': 'הַהוּא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֵאמֹ֔ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נֶעֱצַ֥ב'}, {'name': 'הַמֶּ֖לֶךְ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־בְּנֽוֹ׃'}]}]}]}]}"
4,II Samuel 19:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיִּתְגַּנֵּ֥ב'}, {'name': 'הָעָ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בַּיּ֥וֹם'}, {'name': 'הַה֖וּא'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לָב֣וֹא'}, {'name': 'הָעִ֑יר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'כַּאֲשֶׁ֣ר'}, {'name': 'יִתְגַּנֵּ֗ב'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הָעָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַנִּכְלָמִ֔ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּנוּסָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּמִּלְחָמָֽה׃'}]}]}]}]}"
5,II Samuel 19:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהַמֶּ֙לֶךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לָאַ֣ט'}, {'name': 'אֶת־פָּנָ֔יו'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּזְעַ֥ק'}, {'name': 'הַמֶּ֖לֶךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ק֣וֹל'}, {'name': 'גָּד֑וֹל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּנִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אַבְשָׁל֔וֹם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אַבְשָׁל֖וֹם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּנִ֥י'}, {'name': 'בְנִֽי׃'}]}]}]}]}"
6,II Samuel 19:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיָּבֹ֥א'}, {'name': 'יוֹאָ֛ב'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶל־הַמֶּ֖לֶךְ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הַבָּ֑יִת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיֹּאמֶר֩'}, {'name': 'הֹבַ֨שְׁתָּ'}, {'name': 'הַיּ֜וֹם'}]}, {'name': 'REVIA', 'children': [{'name': 'אֶת־פְּנֵ֣י'}, {'name': 'כָל־עֲבָדֶ֗יךָ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הַֽמְמַלְּטִ֤ים'}, {'name': 'אֶֽת־נַפְשְׁךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַיּ֔וֹם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֵ֨ת'}, {'name': 'נֶ֤פֶשׁ'}, {'name': 'בָּנֶ֙יךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּבְנֹתֶ֔יךָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְנֶ֣פֶשׁ'}, {'name': 'נָשֶׁ֔יךָ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְנֶ֖פֶשׁ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'פִּלַגְשֶֽׁיךָ׃'}]}]}]}]}]}]}"
7,II Samuel 19:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לְאַֽהֲבָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־שֹׂ֣נְאֶ'}, {'name': '֔יךָ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְלִשְׂנֹ֖א'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־אֹהֲבֶ֑יךָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'כִּ֣י׀'}]}, {'name': 'REVIA', 'children': [{'name': 'הִגַּ֣דְתָּ'}, {'name': 'הַיּ֗וֹם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֣י'}, {'name': 'אֵ֤ין'}, {'name': 'לְךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שָׂרִ֣ים'}, {'name': 'וַעֲבָדִ֔ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'כִּ֣י׀'}]}, {'name': 'REVIA', 'children': [{'name': 'יָדַ֣עְתִּי'}, {'name': 'הַיּ֗וֹם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'כִּ֠י'}]}, {'name': 'PASHTA', 'children': [{'name': 'ל֣וּ'}, {'name': 'אַבְשָׁל֥וֹם'}, {'name': 'חַי֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְכֻלָּ֤נוּ'}, {'name': 'הַיּוֹם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מֵתִ֔ים'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּי־אָ֖ז'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יָשָׁ֥ר'}, {'name': 'בְּעֵינֶֽיךָ׃'}]}]}]}]}]}"
8,II Samuel 19:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְעַתָּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'ק֣וּם'}, {'name': 'צֵ֔א'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְדַבֵּ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־לֵ֣ב'}, {'name': 'עֲבָדֶ֑יךָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'כִּי֩'}, {'name': 'בַיהוָ֨ה'}, {'name': 'נִשְׁבַּ֜עְתִּי'}]}, {'name': 'REVIA', 'children': [{'name': 'כִּי־אֵינְךָ֣'}, {'name': 'יוֹצֵ֗א'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אִם־יָלִ֨ין'}, {'name': 'אִ֤ישׁ'}, {'name': 'אִתְּךָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַלַּ֔יְלָה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְרָעָ֧ה'}, {'name': 'לְךָ֣'}, {'name': 'זֹ֗את'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִכָּל־הָרָעָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁר־בָּ֣אָה'}, {'name': 'עָלֶ֔יךָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִנְּעֻרֶ֖יךָ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַד־עָֽתָּה׃'}]}]}]}]}]}"
9,II Samuel 19:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּ֥קָם'}, {'name': 'הַמֶּ֖לֶךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וַיֵּ֣שֶׁב'}, {'name': 'בַּשָּׁ֑עַר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וּֽלְכָל־הָעָ֞ם'}]}, {'name': 'REVIA', 'children': [{'name': 'הִגִּ֣ידוּ'}, {'name': 'לֵאמֹ֗ר'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הִנֵּ֤ה'}, {'name': 'הַמֶּ֙לֶךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יוֹשֵׁ֣ב'}, {'name': 'בַּשַּׁ֔עַר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיָּבֹ֤א'}, {'name': 'כָל־הָעָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לִפְנֵ֣י'}, {'name': 'הַמֶּ֔לֶךְ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְיִשְׂרָאֵ֔ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נָ֖ס'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אִ֥ישׁ'}, {'name': 'לְאֹהָלָֽיו׃'}]}]}]}]}]}]}"
10,II Samuel 19:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְהִ֤י'}, {'name': 'כָל־הָעָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'נָד֔וֹן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּכָל־שִׁבְטֵ֥י'}, {'name': 'יִשְׂרָאֵ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֵאמֹ֑ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'הַמֶּ֜לֶךְ'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'הִצִּילָ֣נוּ׀'}]}, {'name': 'REVIA', 'children': [{'name': 'מִכַּ֣ף'}, {'name': 'אֹיְבֵ֗ינוּ'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְה֤וּא'}, {'name': 'מִלְּטָ֙נוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִכַּ֣ף'}, {'name': 'פְּלִשְׁתִּ֔ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְעַתָּ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בָּרַ֥ח'}, {'name': 'מִן־הָאָ֖רֶץ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵעַ֥ל'}, {'name': 'אַבְשָׁלֽוֹם׃'}]}]}]}]}"
