verse,reference,tree_raw
1,Isaiah 35:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יְשֻׂשׂ֥וּם'}, {'name': 'מִדְבָּ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְצִיָּ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְתָגֵ֧ל'}, {'name': 'עֲרָבָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וְתִפְרַ֖ח'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'כַּחֲבַצָּֽלֶת׃'}]}]}]}"
2,Isaiah 35:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'פָּרֹ֨חַ'}, {'name': 'תִּפְרַ֜ח'}]}, {'name': 'REVIA', 'children': [{'name': 'וְתָגֵ֗ל'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'אַ֚ף'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'גִּילַ֣ת'}, {'name': 'וְרַנֵּ֔ן'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כְּב֤וֹד'}, {'name': 'הַלְּבָנוֹן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'נִתַּן־לָ֔הּ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הֲדַ֥ר'}, {'name': 'הַכַּרְמֶ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְהַשָּׁר֑וֹן'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'הֵ֛מָּה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'יִרְא֥וּ'}, {'name': 'כְבוֹד־יְהוָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'הֲדַ֥ר'}, {'name': 'אֱלֹהֵֽינוּ׃'}]}]}]}"
3,Isaiah 35:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חַזְּק֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יָדַ֣יִם'}, {'name': 'רָפ֑וֹת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבִרְכַּ֥יִם'}, {'name': 'כֹּשְׁל֖וֹת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אַמֵּֽצוּ׃'}]}]}]}"
4,Isaiah 35:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אִמְרוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְנִמְהֲרֵי־לֵ֔ב'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חִזְק֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אַל־תִּירָ֑אוּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הִנֵּ֤ה'}, {'name': 'אֱלֹֽהֵיכֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'נָקָ֣ם'}, {'name': 'יָב֔וֹא'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'גְּמ֣וּל'}, {'name': 'אֱלֹהִ֔ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'ה֥וּא'}, {'name': 'יָב֖וֹא'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְיֹשַׁעֲכֶֽם׃'}]}]}]}]}]}"
5,Isaiah 35:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אָ֥ז'}, {'name': 'תִּפָּקַ֖חְנָה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עֵינֵ֣י'}, {'name': 'עִוְרִ֑ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאָזְנֵ֥י'}, {'name': 'חֵרְשִׁ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תִּפָּתַֽחְנָה׃'}]}]}]}"
6,Isaiah 35:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אָ֣ז'}, {'name': 'יְדַלֵּ֤ג'}, {'name': 'כָּֽאַיָּל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'פִּסֵּ֔חַ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְתָרֹ֖ן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְשׁ֣וֹן'}, {'name': 'אִלֵּ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּֽי־נִבְקְע֤וּ'}, {'name': 'בַמִּדְבָּר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מַ֔יִם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּנְחָלִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בָּעֲרָבָֽה׃'}]}]}]}]}"
7,Isaiah 35:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהָיָ֤ה'}, {'name': 'הַשָּׁרָב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַאֲגַ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְצִמָּא֖וֹן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְמַבּ֣וּעֵי'}, {'name': 'מָ֑יִם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בִּנְוֵ֤ה'}, {'name': 'תַנִּים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רִבְצָ֔הּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חָצִ֖יר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְקָנֶ֥ה'}, {'name': 'וָגֹֽמֶא׃'}]}]}]}]}"
8,Isaiah 35:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וְהָיָה־שָׁ֞ם'}]}, {'name': 'REVIA', 'children': [{'name': 'מַסְל֣וּל'}, {'name': 'וָדֶ֗רֶךְ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְדֶ֤רֶךְ'}, {'name': 'הַקֹּ֙דֶשׁ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יִקָּ֣רֵא'}, {'name': 'לָ֔הּ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לֹֽא־יַעַבְרֶ֥נּוּ'}, {'name': 'טָמֵ֖א'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְהוּא־לָ֑מוֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'הֹלֵ֥ךְ'}, {'name': 'דֶּ֛רֶךְ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וֶאֱוִילִ֖ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֹ֥א'}, {'name': 'יִתְעֽוּ׃'}]}]}]}"
9,Isaiah 35:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'לֹא־יִהְיֶ֨ה'}, {'name': 'שָׁ֜ם'}]}, {'name': 'REVIA', 'children': [{'name': 'אַרְיֵ֗ה'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּפְרִ֤יץ'}, {'name': 'חַיּוֹת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּֽל־יַעֲלֶ֔נָּה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לֹ֥א'}, {'name': 'תִמָּצֵ֖א'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שָׁ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהָלְכ֖וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'גְּאוּלִֽים׃'}]}]}]}"
10,Isaiah 35:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וּפְדוּיֵ֨י'}, {'name': 'יְהוָ֜ה'}]}, {'name': 'REVIA', 'children': [{'name': 'יְשֻׁב֗וּן'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּבָ֤אוּ'}, {'name': 'צִיּוֹן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּרִנָּ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְשִׂמְחַ֥ת'}, {'name': 'עוֹלָ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־רֹאשָׁ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שָׂשׂ֤וֹן'}, {'name': 'וְשִׂמְחָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יַשִּׂ֔יגוּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְנָ֖סוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יָג֥וֹן'}, {'name': 'וַאֲנָחָֽה׃'}]}]}]}]}"
