verse,reference,tree_raw
1,Jeremiah 24:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'הִרְאַנִי֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'יְהוָה֒'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְהִנֵּ֗ה'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שְׁנֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'דּוּדָאֵ֣י'}, {'name': 'תְאֵנִ֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'מוּעָדִ֕ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לִפְנֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הֵיכַ֣ל'}, {'name': 'יְהוָ֑ה'}]}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'PAZER', 'children': [{'name': 'אַחֲרֵ֣י'}, {'name': 'הַגְל֣וֹת'}, {'name': 'נְבוּכַדְרֶאצַּ֣ר'}, {'name': 'מֶֽלֶךְ־בָּבֶ֡ל'}]}, {'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'אֶת־יְכָנְיָ֣הוּ'}, {'name': 'בֶן־יְהוֹיָקִ֣ים'}, {'name': 'מֶֽלֶךְ־יְהוּדָה֩'}, {'name': 'וְאֶת־שָׂרֵ֨י'}, {'name': 'יְהוּדָ֜ה'}]}, {'name': 'PASHTA', 'children': [{'name': 'וְאֶת־הֶחָרָ֤שׁ'}, {'name': 'וְאֶת־הַמַּסְגֵּר֙'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִיר֣וּשָׁלִַ'}, {'name': '֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיְבִאֵ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בָּבֶֽל׃'}]}]}]}]}"
2,Jeremiah 24:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'הַדּ֣וּד'}, {'name': 'אֶחָ֗ד'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'תְּאֵנִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'טֹב֣וֹת'}, {'name': 'מְאֹ֔ד'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּתְאֵנֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הַבַּכֻּר֑וֹת'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְהַדּ֣וּד'}, {'name': 'אֶחָ֗ד'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'תְּאֵנִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רָע֣וֹת'}, {'name': 'מְאֹ֔ד'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'לֹא־תֵֽאָכַ֖לְנָה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵרֹֽעַ׃'}]}]}]}]}"
3,Jeremiah 24:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיֹּ֨אמֶר'}, {'name': 'יְהוָ֜ה'}]}, {'name': 'REVIA', 'children': [{'name': 'אֵלַ֗י'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מָֽה־אַתָּ֤ה'}, {'name': 'רֹאֶה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יִרְמְיָ֔הוּ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וָאֹמַ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תְּאֵנִ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הַתְּאֵנִ֤ים'}, {'name': 'הַטֹּבוֹת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'טֹב֣וֹת'}, {'name': 'מְאֹ֔ד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהָֽרָעוֹת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רָע֣וֹת'}, {'name': 'מְאֹ֔ד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'לֹא־תֵאָכַ֖לְנָה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵרֹֽעַ׃'}]}]}]}]}]}"
4,Jeremiah 24:4,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיְהִ֥י'}, {'name': 'דְבַר־יְהוָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֵלַ֥י'}, {'name': 'לֵאמֹֽר׃'}]}]}]}"
5,Jeremiah 24:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כֹּֽה־אָמַ֤ר'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֱלֹהֵ֣י'}, {'name': 'יִשְׂרָאֵ֔ל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כַּתְּאֵנִ֥ים'}, {'name': 'הַטֹּב֖וֹת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הָאֵ֑לֶּה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'כֵּֽן־אַכִּ֞יר'}]}, {'name': 'REVIA', 'children': [{'name': 'אֶת־גָּל֣וּת'}, {'name': 'יְהוּדָ֗ה'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'אֲשֶׁ֨ר'}, {'name': 'שִׁלַּ֜חְתִּי'}]}, {'name': 'TEVIR', 'children': [{'name': 'מִן־הַמָּק֥וֹם'}, {'name': 'הַזֶּ֛ה'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶ֥רֶץ'}, {'name': 'כַּשְׂדִּ֖ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְטוֹבָֽה׃'}]}]}]}"
6,Jeremiah 24:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְשַׂמְתִּ֨י'}, {'name': 'עֵינִ֤י'}, {'name': 'עֲלֵיהֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְטוֹבָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַהֲשִׁבֹתִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־הָאָ֣רֶץ'}, {'name': 'הַזֹּ֑את'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּבְנִיתִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְלֹ֣א'}, {'name': 'אֶהֱרֹ֔ס'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּנְטַעְתִּ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְלֹ֥א'}, {'name': 'אֶתּֽוֹשׁ׃'}]}]}]}]}"
7,Jeremiah 24:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְנָתַתִּי֩'}, {'name': 'לָהֶ֨ם'}, {'name': 'לֵ֜ב'}]}, {'name': 'REVIA', 'children': [{'name': 'לָדַ֣עַת'}, {'name': 'אֹתִ֗י'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'כִּ֚י'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲנִ֣י'}, {'name': 'יְהוָ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהָיוּ־לִ֣י'}, {'name': 'לְעָ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאָ֣נֹכִ'}, {'name': '֔י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶהְיֶ֥ה'}, {'name': 'לָהֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֵאלֹהִ֑ים'}]}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּֽי־יָשֻׁ֥בוּ'}, {'name': 'אֵלַ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּכָל־לִבָּֽם׃'}]}]}]}"
8,Jeremiah 24:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְכַתְּאֵנִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הָֽרָע֔וֹת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'לֹא־תֵאָכַ֖לְנָה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֵרֹ֑עַ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'כִּי־כֹ֣ה׀'}]}, {'name': 'REVIA', 'children': [{'name': 'אָמַ֣ר'}, {'name': 'יְהוָ֗ה'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'כֵּ֣ן'}, {'name': 'אֶ֠תֵּן'}]}, {'name': 'PASHTA', 'children': [{'name': 'אֶת־צִדְקִיָּ֨הוּ'}, {'name': 'מֶֽלֶךְ־יְהוּדָ֤ה'}, {'name': 'וְאֶת־שָׂרָיו֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'וְאֵ֣ת׀'}]}, {'name': 'REVIA', 'children': [{'name': 'שְׁאֵרִ֣ית'}, {'name': 'יְרוּשָׁלִַ֗ם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הַנִּשְׁאָרִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בָּאָ֣רֶץ'}, {'name': 'הַזֹּ֔את'}]}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהַיֹּשְׁבִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּאֶ֥רֶץ'}, {'name': 'מִצְרָֽיִם׃'}]}]}]}]}"
9,Jeremiah 24:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּנְתַתִּים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְזַעֲוָ֣ה'}, {'name': 'לְרָעָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְכֹ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מַמְלְכ֣וֹת'}, {'name': 'הָאָ֑רֶץ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לְחֶרְפָּ֤ה'}, {'name': 'וּלְמָשָׁל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לִשְׁנִינָ֣ה'}, {'name': 'וְלִקְלָלָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּכָל־הַמְּקֹמ֖וֹת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֲשֶֽׁר־אַדִּיחֵ֥ם'}, {'name': 'שָֽׁם׃'}]}]}]}]}"
10,Jeremiah 24:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְשִׁלַּ֣חְתִּי'}, {'name': 'בָ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶת־הַחֶ֖רֶב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־הָרָעָ֣ב'}, {'name': 'וְאֶת־הַדָּ֑בֶר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַד־תֻּמָּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מֵעַ֣ל'}, {'name': 'הָאֲדָמָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁר־נָתַ֥תִּי'}, {'name': 'לָהֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְלַאֲבוֹתֵיהֶֽם׃'}]}]}]}]}"
