"verse","reference","tree_raw"
"1","Jeremiah 27:1","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'S', 'probability': 0.7271, 'children': [{'name': 'REVIA', 'text': 'P', 'probability': 0.8989, 'children': [{'name': 'בְּ', 'phrase': ['prep']}]}, {'name': 'TIPCHA', 'text': 'NP', 'children': [{'name': 'TEVIR', 'text': 'N', 'probability': 0.9467, 'children': [{'name': 'רֵאשִׁ֗ית', 'phrase': ['subs']}]}, {'name': 'TIPCHA', 'text': 'NP', 'children': [{'name': 'מַמְלֶ֛כֶת', 'phrase': ['subs']}, {'name': 'יְהֹויָקִ֥ם', 'phrase': ['nmpr']}]}]}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'בֶּן־יֹאושִׁיָּ֖הוּ', 'phrase': ['subs_nmpr']}, {'name': 'מֶ֣לֶךְ', 'phrase': ['subs']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9123, 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.3484, 'children': [{'name': 'GERSHAYIM', 'text': 'N', 'probability': 0.1786, 'children': [{'name': 'יְהוּדָ֑ה', 'phrase': ['nmpr']}]}, {'name': 'PASHTA', 'text': 'VP', 'children': [{'name': 'הָיָ֞ה', 'phrase': ['verb']}, {'name': 'הַ', 'phrase': ['art']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'N', 'children': [{'name': 'דָּבָ֤ר', 'phrase': ['subs']}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': 'הַ', 'phrase': ['art']}, {'name': 'זֶּה֙', 'phrase': ['prde']}]}, {'name': 'SILLUQ', 'text': 'PP', 'children': [{'name': 'אֶֽל־יִרְמְיָ֔ה', 'phrase': ['prep_nmpr']}]}]}]}]}"
"2","Jeremiah 27:2","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9407, 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.3484, 'children': [{'name': 'כֹּֽה־אָמַ֤ר', 'phrase': ['advb_verb']}, {'name': 'יְהוָה֙', 'phrase': ['nmpr']}]}, {'name': 'ZAKEF_KATON', 'text': 'P', 'children': [{'name': 'אֵלַ֔י', 'phrase': ['prep']}]}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.2654, 'children': [{'name': 'עֲשֵׂ֣ה', 'phrase': ['verb']}, {'name': 'לְךָ֔', 'phrase': ['prep']}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.5355, 'children': [{'name': 'מֹוסֵרֹ֖ות', 'phrase': ['subs']}]}, {'name': 'ETNACHTA', 'text': 'C', 'children': [{'name': 'וּ', 'phrase': ['conj']}]}]}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.5132, 'children': [{'name': 'מֹטֹ֑ות', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'C', 'children': [{'name': 'וּ', 'phrase': ['conj']}]}]}]}"
"3","Jeremiah 27:3","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9407, 'children': [{'name': 'REVIA', 'text': 'S', 'probability': 0.74, 'children': [{'name': 'GERESH', 'text': 'VP', 'probability': 0.3812, 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'שִׁלַּחְתָּם֩', 'phrase': ['verb']}, {'name': 'אֶל־מֶ֨לֶךְ', 'phrase': ['prep_subs']}]}, {'name': 'REVIA', 'text': 'NP', 'children': [{'name': 'אֱדֹ֜ום', 'phrase': ['nmpr']}, {'name': 'וְ', 'phrase': ['conj']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'PASHTA', 'text': 'PP', 'probability': 0.873, 'children': [{'name': 'אֶל־מֶ֣לֶךְ', 'phrase': ['prep_subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'מֹואָ֗ב', 'phrase': ['nmpr']}, {'name': 'וְ', 'phrase': ['conj']}]}]}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.7271, 'children': [{'name': 'אֶל־מֶ֨לֶךְ֙', 'phrase': ['prep_subs']}, {'name': 'בְּנֵ֣י', 'phrase': ['subs']}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'עַמֹּ֔ון', 'phrase': ['nmpr']}, {'name': 'וְ', 'phrase': ['conj']}]}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'ZAKEF_KATON', 'text': 'NP', 'probability': 0.9123, 'children': [{'name': 'PASHTA', 'text': 'NP', 'probability': 0.873, 'children': [{'name': 'אֶל־מֶ֥לֶךְ', 'phrase': ['prep_subs']}, {'name': 'צֹ֖ר', 'phrase': ['nmpr']}]}, {'name': 'ZAKEF_KATON', 'text': 'PP', 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'אֶל־מֶ֣לֶךְ', 'phrase': ['prep_subs']}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'צִידֹ֑ון', 'phrase': ['nmpr']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'בְּ', 'phrase': ['prep']}, {'name': 'יַ֤ד', 'phrase': ['subs']}]}]}]}]}"
"4","Jeremiah 27:4","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.2654, 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'צִוִּיתָ֣', 'phrase': ['verb']}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'P', 'probability': 0.5355, 'children': [{'name': 'אֹתָ֔ם', 'phrase': ['prep']}]}, {'name': 'ETNACHTA', 'text': 'PP', 'children': [{'name': 'אֶל־אֲדֹֽנֵיהֶ֖ם', 'phrase': ['prep_subs']}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9123, 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.873, 'children': [{'name': 'GERSHAYIM', 'text': 'P', 'probability': 0.1786, 'children': [{'name': 'לֵ', 'phrase': ['prep']}]}, {'name': 'PASHTA', 'text': 'VP', 'children': [{'name': 'אמֹ֑ר', 'phrase': ['verb']}, {'name': 'כֹּֽה־אָמַ֞ר', 'phrase': ['advb_verb']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'יְהוָ֤ה', 'phrase': ['nmpr']}, {'name': 'צְבָאֹות֙', 'phrase': ['subs']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': 'אֱלֹהֵ֣י', 'phrase': ['subs']}, {'name': 'יִשְׂרָאֵ֔ל', 'phrase': ['nmpr']}]}, {'name': 'SILLUQ', 'text': 'Adv', 'children': [{'name': 'כֹּ֥ה', 'phrase': ['advb']}]}]}]}]}"
"5","Jeremiah 27:5","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9407, 'children': [{'name': 'REVIA', 'text': 'VP', 'probability': 0.8662, 'children': [{'name': 'GERSHAYIM', 'text': 'N', 'probability': 0.1713, 'children': [{'name': 'אָנֹכִ֞י', 'phrase': ['prps']}]}, {'name': 'REVIA', 'text': 'VP', 'children': [{'name': 'עָשִׂ֣יתִי', 'phrase': ['verb']}, {'name': 'אֶת־הָ', 'phrase': ['prep_art']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'PASHTA', 'text': 'NP', 'probability': 0.2567, 'children': [{'name': 'אָ֗רֶץ', 'phrase': ['subs']}, {'name': 'אֶת־הָ', 'phrase': ['prep_art']}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'PASHTA', 'text': 'N', 'probability': 0.873, 'children': [{'name': 'אָדָ֤ם', 'phrase': ['subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'P', 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'אֶת־הַ', 'phrase': ['prep_art']}]}]}]}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'NP', 'probability': 0.2654, 'children': [{'name': 'PASHTA', 'text': 'N', 'probability': 0.3484, 'children': [{'name': 'בְּהֵמָה֙', 'phrase': ['subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'C', 'children': [{'name': 'אֲשֶׁר֙', 'phrase': ['conj']}]}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'PP', 'probability': 0.5355, 'children': [{'name': 'עַל־פְּנֵ֣י', 'phrase': ['prep_subs']}]}, {'name': 'ETNACHTA', 'text': 'D', 'children': [{'name': 'הָ', 'phrase': ['art']}]}]}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'ZAKEF_GADOL', 'text': 'N', 'probability': 0.0855, 'children': [{'name': 'אָ֔רֶץ', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'P', 'probability': 0.7748, 'children': [{'name': 'בְּ', 'phrase': ['prep']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'כֹחִי֙', 'phrase': ['subs']}, {'name': 'הַ', 'phrase': ['art']}]}]}]}]}"
"6","Jeremiah 27:6","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9407, 'children': [{'name': 'REVIA', 'text': 'C', 'probability': 0.851, 'children': [{'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'PASHTA', 'text': 'Adv', 'probability': 0.2567, 'children': [{'name': 'עַתָּ֗ה', 'phrase': ['advb']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'PASHTA', 'text': 'N', 'probability': 0.873, 'children': [{'name': 'אָֽנֹכִי֙', 'phrase': ['prps']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'נָתַ֨תִּי֙', 'phrase': ['verb']}, {'name': 'אֶת־כָּל־הָ', 'phrase': ['prep_subs_art']}]}]}]}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5355, 'children': [{'name': 'TEVIR', 'text': 'N', 'probability': 0.9467, 'children': [{'name': 'אֲרָצֹ֣ות', 'phrase': ['subs']}]}, {'name': 'TIPCHA', 'text': 'NP', 'children': [{'name': 'הָ', 'phrase': ['art']}, {'name': 'אֵ֔לֶּה', 'phrase': ['prde']}]}]}, {'name': 'ETNACHTA', 'text': 'P', 'children': [{'name': 'בְּ', 'phrase': ['prep']}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'NP', 'probability': 0.9123, 'children': [{'name': 'PASHTA', 'text': 'N', 'probability': 0.873, 'children': [{'name': 'יַ֛ד', 'phrase': ['subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'נְבוּכַדְנֶאצַּ֥ר', 'phrase': ['nmpr']}, {'name': 'מֶֽלֶךְ־בָּבֶ֖ל', 'phrase': ['subs_nmpr']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': 'עַבְדִּ֑י', 'phrase': ['subs']}, {'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'SILLUQ', 'text': 'Adv', 'children': [{'name': 'גַם֙', 'phrase': ['advb']}]}]}]}]}"
"7","Jeremiah 27:7","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.2654, 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.3484, 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'עָבְד֤וּ', 'phrase': ['verb']}]}, {'name': 'ZAKEF_KATON', 'text': 'P', 'children': [{'name': 'אֹתֹו֙', 'phrase': ['prep']}]}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.5355, 'children': [{'name': 'כָּל־הַ', 'phrase': ['subs_art']}]}, {'name': 'ETNACHTA', 'text': 'N', 'children': [{'name': 'גֹּויִ֔ם', 'phrase': ['subs']}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'PP', 'probability': 0.9424, 'children': [{'name': 'PASHTA', 'text': 'PP', 'probability': 0.3484, 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'אֶת־בְּנֹ֖ו', 'phrase': ['prep_subs']}, {'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'ZAKEF_KATON', 'text': 'PP', 'children': [{'name': 'אֶֽת־בֶּן־בְּנֹ֑ו', 'phrase': ['prep_subs_subs']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.2173, 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.873, 'children': [{'name': 'עַ֣ד', 'phrase': ['prep']}, {'name': 'בֹּא־עֵ֤ת', 'phrase': ['verb_subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'אַרְצֹו֙', 'phrase': ['subs']}, {'name': 'גַּם־ה֔וּא', 'phrase': ['advb_prps']}]}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'C', 'probability': 0.5132, 'children': [{'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'SILLUQ', 'text': 'V', 'children': [{'name': 'עָ֤בְדוּ', 'phrase': ['verb']}]}]}]}]}]}"
"8","Jeremiah 27:8","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.6728, 'children': [{'name': 'REVIA', 'text': 'VP', 'probability': 0.8662, 'children': [{'name': 'GERESH', 'text': 'VP', 'probability': 0.2283, 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'הָיָ֨ה', 'phrase': ['verb']}]}, {'name': 'REVIA', 'text': 'D', 'children': [{'name': 'הַ', 'phrase': ['art']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'S', 'children': [{'name': 'PASHTA', 'text': 'S', 'probability': 0.873, 'children': [{'name': 'גֹּ֜וי', 'phrase': ['subs']}, {'name': 'וְ', 'phrase': ['conj']}, {'name': 'הַ', 'phrase': ['art']}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'מַּמְלָכָ֗ה', 'phrase': ['subs']}, {'name': 'אֲשֶׁ֨ר', 'phrase': ['conj']}]}]}]}, {'name': 'ETNACHTA', 'text': 'VP', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9101, 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.3484, 'children': [{'name': 'לֹֽא־יַעַבְד֤וּ', 'phrase': ['nega_verb']}, {'name': 'אֹתֹו֙', 'phrase': ['prep']}, {'name': 'אֶת־נְבוּכַדְנֶאצַּ֣ר', 'phrase': ['prep_nmpr']}]}, {'name': 'ZAKEF_KATON', 'text': 'N', 'children': [{'name': 'מֶֽלֶךְ־בָּבֶ֔ל', 'phrase': ['subs_nmpr']}]}]}, {'name': 'ETNACHTA', 'text': 'P', 'children': [{'name': 'TIPCHA', 'text': 'C', 'probability': 0.7271, 'children': [{'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'ETNACHTA', 'text': 'P', 'children': [{'name': 'אֵ֨ת', 'phrase': ['prep']}, {'name': 'אֲשֶׁ֤ר', 'phrase': ['conj']}]}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9123, 'children': [{'name': 'PASHTA', 'text': 'S', 'probability': 0.3484, 'children': [{'name': 'GERESH', 'text': 'VP', 'probability': 0.1392, 'children': [{'name': 'לֹֽא־יִתֵּן֙', 'phrase': ['nega_verb']}, {'name': 'אֶת־צַוָּארֹ֔ו', 'phrase': ['prep_subs']}, {'name': 'בְּ', 'phrase': ['prep']}]}, {'name': 'PASHTA', 'text': 'NP', 'children': [{'name': 'עֹ֖ל', 'phrase': ['subs']}, {'name': 'מֶ֣לֶךְ', 'phrase': ['subs']}, {'name': 'בָּבֶ֑ל', 'phrase': ['nmpr']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'P', 'children': [{'name': 'בַּ', 'phrase': ['prep']}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': '-', 'phrase': ['art']}, {'name': 'חֶרֶב֩', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'C', 'children': [{'name': 'וּ', 'phrase': ['conj']}]}]}]}]}"
"9","Jeremiah 27:9","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.2654, 'children': [{'name': 'REVIA', 'text': 'VP', 'probability': 0.74, 'children': [{'name': 'TELISHA_GEDOLA', 'text': 'C', 'probability': 0.0698, 'children': [{'name': 'וְ֠', 'phrase': ['conj']}]}, {'name': 'REVIA', 'text': 'VP', 'children': [{'name': 'GERESH', 'text': 'VP', 'probability': 0.2283, 'children': [{'name': 'אַתֶּם', 'phrase': ['prps']}, {'name': 'אַל־תִּשְׁמְע֨וּ', 'phrase': ['nega_verb']}]}, {'name': 'REVIA', 'text': 'PP', 'children': [{'name': 'אֶל־נְבִיאֵיכֶ֜ם', 'phrase': ['prep_subs']}]}]}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'PASHTA', 'text': 'C', 'probability': 0.873, 'children': [{'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'אֶל־קֹֽסְמֵיכֶ֗ם', 'phrase': ['prep_verb']}, {'name': 'וְ', 'phrase': ['conj']}]}]}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'P', 'probability': 0.5355, 'children': [{'name': 'אֶל֙', 'phrase': ['prep']}]}, {'name': 'ETNACHTA', 'text': 'N', 'children': [{'name': 'חֲלֹמֹ֣תֵיכֶ֔ם', 'phrase': ['subs']}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9193, 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.3484, 'children': [{'name': 'GERSHAYIM', 'text': 'C', 'probability': 0.1786, 'children': [{'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'PASHTA', 'text': 'VP', 'children': [{'name': 'אֶל־עֹֽנְנֵיכֶ֖ם', 'phrase': ['prep_verb']}, {'name': 'וְ', 'phrase': ['conj']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'PP', 'children': [{'name': 'אֶל־כַּשָּׁפֵיכֶ֑ם', 'phrase': ['prep_subs']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.7748, 'children': [{'name': 'אֲשֶׁר־הֵ֞ם', 'phrase': ['conj_prps']}, {'name': 'אֹמְרִ֤ים', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'אֲלֵיכֶם֙', 'phrase': ['prep']}, {'name': 'לֵ', 'phrase': ['prep']}]}]}]}]}"
"10","Jeremiah 27:10","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'NP', 'probability': 0.9101, 'children': [{'name': 'כִּ֣י', 'phrase': ['conj']}, {'name': 'שֶׁ֔קֶר', 'phrase': ['subs']}]}, {'name': 'ETNACHTA', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7271, 'children': [{'name': 'הֵ֖ם', 'phrase': ['prps']}]}, {'name': 'ETNACHTA', 'text': 'VP', 'children': [{'name': 'נִבְּאִ֣ים', 'phrase': ['verb']}, {'name': 'לָכֶ֑ם', 'phrase': ['prep']}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9123, 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.873, 'children': [{'name': 'לְמַ֨עַן', 'phrase': ['prep']}, {'name': 'הַרְחִ֤יק', 'phrase': ['verb']}, {'name': 'אֶתְכֶם֙', 'phrase': ['prep']}]}, {'name': 'ZAKEF_KATON', 'text': 'S', 'children': [{'name': 'מֵ', 'phrase': ['prep']}, {'name': 'עַ֣ל', 'phrase': ['prep']}]}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': 'אַדְמַתְכֶ֔ם', 'phrase': ['subs']}, {'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'SILLUQ', 'text': 'V', 'children': [{'name': 'הִדַּחְתִּ֥י', 'phrase': ['verb']}]}]}]}]}"
