"verse","reference","tree_raw"
"2","Job 8:2","{'name': 'PASUK', 'text': 'P', 'children': [{'name': 'SILLUQ', 'text': 'P', 'children': [{'name': 'עַד־אָ֥ן', 'phrase': ['prep_inrg']}]}]}"
"3","Job 8:3","{'name': 'PASUK', 'text': 'Q', 'children': [{'name': 'SILLUQ', 'text': 'Q', 'children': [{'name': 'הַ֭', 'phrase': ['inrg']}]}]}"
"5","Job 8:5","{'name': 'PASUK', 'text': 'N', 'children': [{'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'אִם־אַ֭תָּה', 'phrase': ['conj_prps']}]}]}"
"9","Job 8:9","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.7748, 'children': [{'name': 'כִּֽי־תְמֹ֣ול', 'phrase': ['conj_subs']}, {'name': 'אֲ֭נַחְנוּ', 'phrase': ['prps']}]}, {'name': 'SILLUQ', 'text': 'Neg', 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'לֹ֣א', 'phrase': ['nega']}]}]}]}"
"11","Job 8:11","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'הֲ', 'phrase': ['inrg']}, {'name': 'יִֽגְאֶה־גֹּ֭מֶא', 'phrase': ['verb_subs']}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'בְּ', 'phrase': ['prep']}, {'name': 'לֹ֣א', 'phrase': ['nega']}]}]}"
"12","Job 8:12","{'name': 'PASUK', 'text': 'NP', 'children': [{'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'עֹדֶ֣נּוּ', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'בְ֭', 'phrase': ['prep']}, {'name': 'אִבֹּו', 'phrase': ['subs']}]}]}]}"
"13","Job 8:13","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'Adv', 'probability': 0.7748, 'children': [{'name': 'כֵּ֗ן', 'phrase': ['advb']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'אָ֭רְחֹות', 'phrase': ['subs']}, {'name': 'כָּל־שֹׁ֣כְחֵי', 'phrase': ['subs_verb']}]}]}]}"
"15","Job 8:15","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'יִשָּׁעֵ֣ן', 'phrase': ['verb']}, {'name': 'עַל־בֵּ֭יתֹו', 'phrase': ['prep_subs']}]}]}"
"17","Job 8:17","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'NP', 'probability': 1.0, 'children': [{'name': 'עַל־גַּ֭ל', 'phrase': ['prep_subs']}, {'name': 'שָֽׁרָשָׁ֣יו', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'V', 'probability': 0.7748, 'children': [{'name': 'יְסֻבָּ֑כוּ', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'בֵּ֖ית', 'phrase': ['subs']}, {'name': 'אֲבָנִ֣ים', 'phrase': ['subs']}]}]}]}"
"18","Job 8:18","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'אִם־יְבַלְּעֶ֥נּוּ', 'phrase': ['conj_verb']}, {'name': 'מִ', 'phrase': ['prep']}]}]}"
"20","Job 8:20","{'name': 'PASUK', 'text': 'N', 'children': [{'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'הֶן־אֵ֭ל', 'phrase': ['intj_subs']}]}]}"
"21","Job 8:21","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'עַד־יְמַלֵּ֣ה', 'phrase': ['prep_verb']}, {'name': 'שְׂחֹ֣וק', 'phrase': ['subs']}]}]}"
"22","Job 8:22","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'שֹׂנְאֶ֥יךָ', 'phrase': ['verb']}, {'name': 'יִלְבְּשׁוּ־בֹ֑שֶׁת', 'phrase': ['verb_subs']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'C', 'probability': 0.7748, 'children': [{'name': 'וְ', 'phrase': ['conj']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'אֹ֖הֶל', 'phrase': ['subs']}, {'name': 'רְשָׁעִ֣ים', 'phrase': ['adjv']}]}]}]}"
