verse,reference,tree_raw
1,Joel 4:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'כִּ֗י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'הִנֵּ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בַּיָּמִ֥ים'}, {'name': 'הָהֵ֖מָּה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וּבָעֵ֣ת'}, {'name': 'הַהִ֑יא'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'אָשִׁ֛יב'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶת־שְׁב֥וּת'}, {'name': 'יְהוּדָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וִירוּשָׁלִָֽם׃'}]}]}]}"
2,Joel 4:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְקִבַּצְתִּי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־כָּל־הַגּוֹיִ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְה֣וֹרַדְתִּ'}, {'name': '֔ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶל־עֵ֖מֶק'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְהֽוֹשָׁפָ֑ט'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְנִשְׁפַּטְתִּ֨י'}, {'name': 'עִמָּ֜ם'}]}, {'name': 'REVIA', 'children': [{'name': 'שָׁ֗ם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַל־עַמִּ֨י'}, {'name': 'וְנַחֲלָתִ֤י'}, {'name': 'יִשְׂרָאֵל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'פִּזְּר֣וּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶת־אַרְצִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חִלֵּֽקוּ׃'}]}]}]}]}"
3,Joel 4:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶל־עַמִּ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יַדּ֣וּ'}, {'name': 'גוֹרָ֑ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּתְּנ֤וּ'}, {'name': 'הַיֶּ֙לֶד֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּזּוֹנָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְהַיַּלְדָּ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מָכְר֥וּ'}, {'name': 'בַיַּ֖יִן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַיִּשְׁתּֽוּ׃'}]}]}]}]}"
4,Joel 4:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וְ֠גַם'}]}, {'name': 'PASHTA', 'children': [{'name': 'מָה־אַתֶּ֥ם'}, {'name': 'לִי֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'צֹ֣ר'}, {'name': 'וְצִיד֔וֹן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְכֹ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'גְּלִיל֣וֹת'}, {'name': 'פְּלָ֑שֶׁת'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'הַגְּמ֗וּל'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אַתֶּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מְשַׁלְּמִ֣ים'}, {'name': 'עָלָ֔י'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאִם־גֹּמְלִ֤ים'}, {'name': 'אַתֶּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עָלַ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'קַ֣ל'}, {'name': 'מְהֵרָ֔ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אָשִׁ֥יב'}, {'name': 'גְּמֻלְכֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּרֹאשְׁכֶֽם׃'}]}]}]}]}]}]}"
5,Joel 4:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁר־כַּסְפִּ֥י'}, {'name': 'וּזְהָבִ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְקַחְתֶּ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּמַֽחֲמַדַּי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַטֹּבִ֔ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הֲבֵאתֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְהֵיכְלֵיכֶֽם׃'}]}]}]}]}"
6,Joel 4:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּבְנֵ֤י'}, {'name': 'יְהוּדָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּבְנֵ֣י'}, {'name': 'יְרוּשָׁלִַ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מְכַרְתֶּ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לִבְנֵ֣י'}, {'name': 'הַיְּוָנִ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְמַ֥עַן'}, {'name': 'הַרְחִיקָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵעַ֥ל'}, {'name': 'גְּבוּלָֽם׃'}]}]}]}"
7,Joel 4:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'הִנְנִ֣י'}, {'name': 'מְעִירָ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'מִן־הַ֨מָּק'}, {'name': '֔וֹם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁר־מְכַרְתֶּ֥ם'}, {'name': 'אֹתָ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שָׁ֑מָּה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַהֲשִׁבֹתִ֥י'}, {'name': 'גְמֻלְכֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּרֹאשְׁכֶֽם׃'}]}]}]}"
8,Joel 4:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וּמָכַרְתִּ֞י'}]}, {'name': 'REVIA', 'children': [{'name': 'אֶת־בְּנֵיכֶ֣ם'}, {'name': 'וְאֶת־בְּנֽוֹתֵיכֶ֗ם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּיַד֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'יְהוּדָ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמְכָר֥וּם'}, {'name': 'לִשְׁבָאיִ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶל־גּ֣וֹי'}, {'name': 'רָח֑וֹק'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּ֥י'}, {'name': 'יְהוָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'דִּבֵּֽר׃'}]}]}]}"
9,Joel 4:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'קִרְאוּ־זֹאת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּגּוֹיִ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'קַדְּשׁ֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִלְחָמָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הָעִ֙ירוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַגִּבּוֹרִ֔ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'יִגְּשׁ֣וּ'}, {'name': 'יַֽעֲל֔וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כֹּ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אַנְשֵׁ֥י'}, {'name': 'הַמִּלְחָמָֽה׃'}]}]}]}]}]}"
10,Joel 4:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כֹּ֤תּוּ'}, {'name': 'אִתֵּיכֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַֽחֲרָב֔וֹת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמַזְמְרֹֽתֵיכֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לִרְמָחִ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'הַֽחַלָּ֔שׁ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יֹאמַ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'גִּבּ֥וֹר'}, {'name': 'אָֽנִי׃'}]}]}]}]}"
