verse,reference,tree_raw
1,Jonah 4:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֵּ֥רַע'}, {'name': 'אֶל־יוֹנָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'רָעָ֣ה'}, {'name': 'גְדוֹלָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּ֖חַר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֽוֹ׃'}]}]}]}"
2,Jonah 4:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיִּתְפַּלֵּ֨ל'}, {'name': 'אֶל־יְהוָ֜ה'}]}, {'name': 'REVIA', 'children': [{'name': 'וַיֹּאמַ֗ר'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אָנָּ֤ה'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'הֲלוֹא־זֶ֣ה'}, {'name': 'דְבָרִ֗י'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַד־הֱיוֹתִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־אַדְמָתִ֔י'}]}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עַל־כֵּ֥ן'}, {'name': 'קִדַּ֖מְתִּי'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לִבְרֹ֣חַ'}, {'name': 'תַּרְשִׁ֑ישָׁה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'כִּ֣י'}, {'name': 'יָדַ֗עְתִּי'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֤י'}, {'name': 'אַתָּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֵֽל־חַנּ֣וּן'}, {'name': 'וְרַח֔וּם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶ֤רֶךְ'}, {'name': 'אַפַּ֙יִם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְרַב־חֶ֔סֶד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְנִחָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־הָרָעָֽה׃'}]}]}]}]}]}"
3,Jonah 4:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְעַתָּ֣ה'}, {'name': 'יְהוָ֔ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'קַח־נָ֥א'}, {'name': 'אֶת־נַפְשִׁ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִמֶּ֑נִּי'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כִּ֛י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'ט֥וֹב'}, {'name': 'מוֹתִ֖י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵחַיָּֽי׃'}]}]}]}"
4,Jonah 4:4,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'יְהוָ֔ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הַהֵיטֵ֖ב'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חָ֥רָה'}, {'name': 'לָֽךְ׃'}]}]}]}]}"
5,Jonah 4:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֵּצֵ֤א'}, {'name': 'יוֹנָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִן־הָעִ֔יר'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֵּ֖שֶׁב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִקֶּ֣דֶם'}, {'name': 'לָעִ֑יר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיַּעַשׂ֩'}, {'name': 'ל֨וֹ'}, {'name': 'שָׁ֜ם'}]}, {'name': 'REVIA', 'children': [{'name': 'סֻכָּ֗ה'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֵּ֤שֶׁב'}, {'name': 'תַּחְתֶּ֙יהָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּצֵּ֔ל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'עַ֚ד'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'יִרְאֶ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מַה־יִּהְיֶ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בָּעִֽיר׃'}]}]}]}]}]}"
6,Jonah 4:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וַיְמַ֣ן'}, {'name': 'יְהוָֽה־אֱ֠לֹהִים'}]}, {'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'קִיקָי֞וֹן'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'וַיַּ֣עַל׀'}]}, {'name': 'REVIA', 'children': [{'name': 'מֵעַ֣ל'}, {'name': 'לְיוֹנָ֗ה'}]}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לִֽהְי֥וֹת'}, {'name': 'צֵל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־רֹאשׁ֔וֹ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְהַצִּ֥יל'}, {'name': 'ל֖וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֵרָֽעָת֑וֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַיִּשְׂמַ֥ח'}, {'name': 'יוֹנָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַל־הַקִּֽיקָי֖וֹן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'שִׂמְחָ֥ה'}, {'name': 'גְדוֹלָֽה׃'}]}]}]}"
7,Jonah 4:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְמַ֤ן'}, {'name': 'הָֽאֱלֹהִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'תּוֹלַ֔עַת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בַּעֲל֥וֹת'}, {'name': 'הַשַּׁ֖חַר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַֽמָּחֳרָ֑ת'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתַּ֥ךְ'}, {'name': 'אֶת־הַקִּֽיקָי֖וֹן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַיִּיבָֽשׁ׃'}]}]}]}"
8,Jonah 4:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'וַיְהִ֣י׀'}]}, {'name': 'REVIA', 'children': [{'name': 'כִּזְרֹ֣חַ'}, {'name': 'הַשֶּׁ֗מֶשׁ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיְמַ֨ן'}, {'name': 'אֱלֹהִ֜ים'}]}, {'name': 'PASHTA', 'children': [{'name': 'ר֤וּחַ'}, {'name': 'קָדִים֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'חֲרִישִׁ֔ית'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַתַּ֥ךְ'}, {'name': 'הַשֶּׁ֛מֶשׁ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַל־רֹ֥אשׁ'}, {'name': 'יוֹנָ֖ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וַיִּתְעַלָּ֑ף'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּשְׁאַ֤ל'}, {'name': 'אֶת־נַפְשׁוֹ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לָמ֔וּת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וַיֹּ֕אמֶר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'ט֥וֹב'}, {'name': 'מוֹתִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵחַיָּֽי׃'}]}]}]}]}]}"
9,Jonah 4:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּ֤אמֶר'}, {'name': 'אֱלֹהִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־יוֹנָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הַהֵיטֵ֥ב'}, {'name': 'חָרָֽה־לְךָ֖'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־הַקִּֽיקָי֑וֹן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וַיֹּ֕אמֶר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הֵיטֵ֥ב'}, {'name': 'חָֽרָה־לִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַד־מָֽוֶת׃'}]}]}]}]}"
10,Jonah 4:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'יְהוָ֔ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אַתָּ֥ה'}, {'name': 'חַ֙סְתָּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־הַקִּ֣יקָי'}, {'name': '֔וֹן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אֲשֶׁ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לֹא־עָמַ֥לְתָּ'}, {'name': 'בּ֖וֹ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְלֹ֣א'}, {'name': 'גִדַּלְתּ֑וֹ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שֶׁבִּן־לַ֥יְלָה'}, {'name': 'הָיָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּבִן־לַ֥יְלָה'}, {'name': 'אָבָֽד׃'}]}]}]}"
