verse,reference,tree_raw
1,Joshua 4:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְהִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כַּאֲשֶׁר־תַּ֣מּוּ'}, {'name': 'כָל־הַגּ֔וֹי'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לַעֲב֖וֹר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־הַיַּרְדֵּ֑ן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמֶר'}, {'name': 'יְהוָ֔ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶל־יְהוֹשֻׁ֖עַ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֵאמֹֽר׃'}]}]}]}]}"
2,Joshua 4:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'קְח֤וּ'}, {'name': 'לָכֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִן־הָעָ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שְׁנֵ֥ים'}, {'name': 'עָשָׂ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲנָשִׁ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִישׁ־אֶחָ֥ד'}, {'name': 'אִישׁ־אֶחָ֖ד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִשָּֽׁבֶט׃'}]}]}]}"
3,Joshua 4:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'וְצַוּ֣וּ'}, {'name': 'אוֹתָם֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'לֵאמֹר֒'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'שְׂאֽוּ־לָכֶ֨ם'}, {'name': 'מִזֶּ֜ה'}]}, {'name': 'REVIA', 'children': [{'name': 'מִתּ֣וֹךְ'}, {'name': 'הַיַּרְדֵּ֗ן'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִמַּצַּב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רַגְלֵ֣י'}, {'name': 'הַכֹּהֲנִ֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הָכִ֖ין'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שְׁתֵּים־עֶשְׂרֵ֣ה'}, {'name': 'אֲבָנִ֑ים'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהַעֲבַרְתֶּ֤ם'}, {'name': 'אוֹתָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עִמָּכֶ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְהִנַּחְתֶּ֣ם'}, {'name': 'אוֹתָ֔ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'בַּמָּל֕וֹן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁר־תָּלִ֥ינוּ'}, {'name': 'ב֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַלָּֽיְלָה׃'}]}]}]}]}]}]}"
4,Joshua 4:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיִּקְרָ֣א'}, {'name': 'יְהוֹשֻׁ֗עַ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶל־שְׁנֵ֤ים'}, {'name': 'הֶֽעָשָׂר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אִ֔ישׁ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'הֵכִ֖ין'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִבְּנֵ֣י'}, {'name': 'יִשְׂרָאֵ֑ל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִישׁ־אֶחָ֥ד'}, {'name': 'אִישׁ־אֶחָ֖ד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִשָּֽׁבֶט׃'}]}]}]}"
5,Joshua 4:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּ֤אמֶר'}, {'name': 'לָהֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יְהוֹשֻׁ֔עַ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'עִ֠בְרוּ'}]}, {'name': 'TEVIR', 'children': [{'name': 'לִפְנֵ֨י'}, {'name': 'אֲר֧וֹן'}, {'name': 'יְהוָ֛ה'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֱלֹֽהֵיכֶ֖ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶל־תּ֣וֹךְ'}, {'name': 'הַיַּרְדֵּ֑ן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְהָרִ֨ימוּ'}, {'name': 'לָכֶ֜ם'}]}, {'name': 'PASHTA', 'children': [{'name': 'אִ֣ישׁ'}, {'name': 'אֶ֤בֶן'}, {'name': 'אַחַת֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־שִׁכְמ֔וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְמִסְפַּ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שִׁבְטֵ֥י'}, {'name': 'בְנֵי־יִשְׂרָאֵֽל׃'}]}]}]}]}"
6,Joshua 4:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'לְמַ֗עַן'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'תִּֽהְיֶ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'זֹ֥את'}, {'name': 'א֖וֹת'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּקִרְבְּכֶ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּֽי־יִשְׁאָל֨וּן'}, {'name': 'בְּנֵיכֶ֤ם'}, {'name': 'מָחָר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֵאמֹ֔ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'מָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'הָאֲבָנִ֥ים'}, {'name': 'הָאֵ֖לֶּה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לָכֶֽם׃'}]}]}]}]}"
7,Joshua 4:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַאֲמַרְתֶּ֣ם'}, {'name': 'לָהֶ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'אֲשֶׁ֨ר'}, {'name': 'נִכְרְת֜וּ'}]}, {'name': 'PASHTA', 'children': [{'name': 'מֵימֵ֤י'}, {'name': 'הַיַּרְדֵּן֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִפְּנֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲר֣וֹן'}, {'name': 'בְּרִית־יְהוָ֔ה'}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּעָבְרוֹ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּיַּרְדֵּ֔ן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נִכְרְת֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מֵ֣י'}, {'name': 'הַיַּרְדֵּ֑ן'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וְ֠הָיוּ'}]}, {'name': 'TEVIR', 'children': [{'name': 'הָאֲבָנִ֨ים'}, {'name': 'הָאֵ֧לֶּה'}, {'name': 'לְזִכָּר֛וֹן'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'לִבְנֵ֥י'}, {'name': 'יִשְׂרָאֵ֖ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַד־עוֹלָֽם׃'}]}]}]}"
8,Joshua 4:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'וַיַּעֲשׂוּ־כֵ֣ן'}, {'name': 'בְּנֵי־יִשְׂרָאֵ֘ל'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'כַּאֲשֶׁ֣ר'}, {'name': 'צִוָּ֣ה'}, {'name': 'יְהוֹשֻׁעַ֒'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'PAZER', 'children': [{'name': 'וַיִּשְׂא֡וּ'}]}, {'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'שְׁתֵּֽי־עֶשְׂרֵ֨ה'}, {'name': 'אֲבָנִ֜ים'}]}, {'name': 'REVIA', 'children': [{'name': 'מִתּ֣וֹךְ'}, {'name': 'הַיַּרְדֵּ֗ן'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כַּאֲשֶׁ֨ר'}, {'name': 'דִּבֶּ֤ר'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־יְהוֹשֻׁ֔עַ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְמִסְפַּ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שִׁבְטֵ֣י'}, {'name': 'בְנֵֽי־יִשְׂרָאֵ֑ל'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיַּעֲבִר֤וּם'}, {'name': 'עִמָּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־הַמָּל֔וֹן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיַּנִּח֖וּם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שָֽׁם׃'}]}]}]}]}"
9,Joshua 4:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'וּשְׁתֵּ֧ים'}, {'name': 'עֶשְׂרֵ֣ה'}, {'name': 'אֲבָנִ֗ים'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'הֵקִ֣ים'}, {'name': 'יְהוֹשֻׁעַ֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'בְּת֣וֹךְ'}, {'name': 'הַיַּרְדֵּן֒'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'תַּ֗חַת'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מַצַּב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רַגְלֵ֣י'}, {'name': 'הַכֹּהֲנִ֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נֹשְׂאֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲר֣וֹן'}, {'name': 'הַבְּרִ֑ית'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיִּ֣הְיוּ'}, {'name': 'שָׁ֔ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עַ֖ד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַיּ֥וֹם'}, {'name': 'הַזֶּֽה׃'}]}]}]}]}"
10,Joshua 4:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וְהַכֹּהֲנִ֞ים'}]}, {'name': 'REVIA', 'children': [{'name': 'נֹשְׂאֵ֣י'}, {'name': 'הָאָר֗וֹן'}]}]}, {'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'עֹמְדִים֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'בְּת֣וֹךְ'}, {'name': 'הַיַּרְדֵּן֒'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'עַ֣ד'}, {'name': 'תֹּ֣ם'}, {'name': 'כָּֽל־הַ֠דָּבָר'}]}, {'name': 'PASHTA', 'children': [{'name': 'אֲשֶׁר־צִוָּ֨ה'}, {'name': 'יְהוָ֤ה'}, {'name': 'אֶת־יְהוֹשֻׁ֙עַ֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְדַבֵּ֣ר'}, {'name': 'אֶל־הָעָ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כְּכֹ֛ל'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁר־צִוָּ֥ה'}, {'name': 'מֹשֶׁ֖ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־יְהוֹשֻׁ֑עַ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיְמַהֲר֥וּ'}, {'name': 'הָעָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַֽיַּעֲבֹֽרוּ׃'}]}]}]}"
