verse,reference,tree_raw
1,Judges 21:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאִ֣ישׁ'}, {'name': 'יִשְׂרָאֵ֔ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נִשְׁבַּ֥ע'}, {'name': 'בַּמִּצְפָּ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֵאמֹ֑ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'אִ֣ישׁ'}, {'name': 'מִמֶּ֔נּוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'לֹא־יִתֵּ֥ן'}, {'name': 'בִּתּ֛וֹ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לְבִנְיָמִ֖ן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְאִשָּֽׁה׃'}]}]}]}]}"
2,Judges 21:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיָּבֹ֤א'}, {'name': 'הָעָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בֵּֽית־אֵ֔ל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֵּ֤שְׁבוּ'}, {'name': 'שָׁם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַד־הָעֶ֔רֶב'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לִפְנֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הָאֱלֹהִ֑ים'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיִּשְׂא֣וּ'}, {'name': 'קוֹלָ֔ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּבְכּ֖וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּכִ֥י'}, {'name': 'גָדֽוֹל׃'}]}]}]}]}"
3,Judges 21:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמְר'}, {'name': '֔וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'לָמָ֗ה'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֱלֹהֵ֣י'}, {'name': 'יִשְׂרָאֵ֔ל'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הָ֥יְתָה'}, {'name': 'זֹּ֖את'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּיִשְׂרָאֵ֑ל'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'לְהִפָּקֵ֥ד'}, {'name': 'הַיּ֛וֹם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִיִּשְׂרָאֵ֖ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'שֵׁ֥בֶט'}, {'name': 'אֶחָֽד׃'}]}]}]}"
4,Judges 21:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַֽיְהִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִֽמָּחֳרָ֔ת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיַּשְׁכִּ֣ימוּ'}, {'name': 'הָעָ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּבְנוּ־שָׁ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִזְבֵּ֑חַ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיַּעֲל֥וּ'}, {'name': 'עֹל֖וֹת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּשְׁלָמִֽים׃'}]}]}]}"
5,Judges 21:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֹּֽאמְרוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'יִשְׂרָאֵ֔ל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'מִ֠י'}]}, {'name': 'TEVIR', 'children': [{'name': 'אֲשֶׁ֨ר'}, {'name': 'לֹא־עָלָ֧ה'}, {'name': 'בַקָּהָ֛ל'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִכָּל־שִׁבְטֵ֥י'}, {'name': 'יִשְׂרָאֵ֖ל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶל־יְהוָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'כִּי֩'}, {'name': 'הַשְּׁבוּעָ֨ה'}, {'name': 'הַגְּדוֹלָ֜ה'}]}, {'name': 'REVIA', 'children': [{'name': 'הָיְתָ֗ה'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'לַ֠אֲשֶׁר'}]}, {'name': 'TEVIR', 'children': [{'name': 'לֹא־עָלָ֨ה'}, {'name': 'אֶל־יְהוָ֧ה'}, {'name': 'הַמִּצְפָּ֛ה'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'לֵאמֹ֖ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'מ֥וֹת'}, {'name': 'יוּמָֽת׃'}]}]}]}"
6,Judges 21:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּנָּֽחֲמוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'יִשְׂרָאֵ֔ל'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֶל־בִּנְיָמִ֖ן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אָחִ֑יו'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמְר'}, {'name': '֔וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'נִגְדַּ֥ע'}, {'name': 'הַיּ֛וֹם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'שֵׁ֥בֶט'}, {'name': 'אֶחָ֖ד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִיִּשְׂרָאֵֽל׃'}]}]}]}]}"
7,Judges 21:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'מַה־נַּעֲשֶׂ֥ה'}, {'name': 'לָהֶ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לַנּוֹתָרִ֖ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְנָשִׁ֑ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַאֲנַ֙חְנוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'נִשְׁבַּ֣עְנוּ'}, {'name': 'בַֽיהוָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'לְבִלְתִּ֛י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'תֵּת־לָהֶ֥ם'}, {'name': 'מִבְּנוֹתֵ֖ינוּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְנָשִֽׁים׃'}]}]}]}]}"
8,Judges 21:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיֹּ֣אמְר'}, {'name': '֔וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'מִ֗י'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶחָד֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִשִּׁבְטֵ֣י'}, {'name': 'יִשְׂרָאֵ֔ל'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אֲשֶׁ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לֹֽא־עָלָ֥ה'}, {'name': 'אֶל־יְהוָ֖ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הַמִּצְפָּ֑ה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וְ֠הִנֵּה'}]}, {'name': 'TEVIR', 'children': [{'name': 'לֹ֣א'}, {'name': 'בָא־אִ֧ישׁ'}, {'name': 'אֶל־הַֽמַּחֲנֶ֛ה'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'מִיָּבֵ֥ישׁ'}, {'name': 'גִּלְעָ֖ד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶל־הַקָּהָֽל׃'}]}]}]}"
9,Judges 21:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיִּתְפָּקֵ֖ד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הָעָ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהִנֵּ֤ה'}, {'name': 'אֵֽין־שָׁם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אִ֔ישׁ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִיּוֹשְׁבֵ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יָבֵ֥שׁ'}, {'name': 'גִּלְעָֽד׃'}]}]}]}]}"
10,Judges 21:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיִּשְׁלְחוּ־שָׁ֣ם'}, {'name': 'הָעֵדָ֗ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'שְׁנֵים־עָשָׂ֥ר'}, {'name': 'אֶ֛לֶף'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אִ֖ישׁ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִבְּנֵ֣י'}, {'name': 'הֶחָ֑יִל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיְצַוּ֨וּ'}, {'name': 'אוֹתָ֜ם'}]}, {'name': 'REVIA', 'children': [{'name': 'לֵאמֹ֗ר'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'לְ֠כוּ'}]}, {'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וְהִכִּיתֶ֞ם'}]}, {'name': 'PASHTA', 'children': [{'name': 'אֶת־יוֹשְׁבֵ֨י'}, {'name': 'יָבֵ֤שׁ'}, {'name': 'גִּלְעָד֙'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְפִי־חֶ֔רֶב'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהַנָּשִׁ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְהַטָּֽף׃'}]}]}]}]}"
