verse,reference,tree_raw
1,Lamentations 3:1,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֲנִ֤י'}, {'name': 'הַגֶּ֙בֶר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רָאָ֣ה'}, {'name': 'עֳנִ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּשֵׁ֖בֶט'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עֶבְרָתֽוֹ׃'}]}]}]}]}"
2,Lamentations 3:2,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אוֹתִ֥י'}, {'name': 'נָהַ֛ג'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וַיֹּלַ֖ךְ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'חֹ֥שֶׁךְ'}, {'name': 'וְלֹא־אֽוֹר׃'}]}]}]}"
3,Lamentations 3:3,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אַ֣ךְ'}, {'name': 'בִּ֥י'}, {'name': 'יָשֻׁ֛ב'}]}, {'name': 'TIPCHA', 'children': [{'name': 'יַהֲפֹ֥ךְ'}, {'name': 'יָד֖וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'כָּל־הַיּֽוֹם׃'}]}]}]}"
4,Lamentations 3:4,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בִּלָּ֤ה'}, {'name': 'בְשָׂרִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְעוֹרִ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שִׁבַּ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַצְמוֹתָֽי׃'}]}]}]}]}"
5,Lamentations 3:5,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'בָּנָ֥ה'}, {'name': 'עָלַ֛י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וַיַּקַּ֖ף'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'רֹ֥אשׁ'}, {'name': 'וּתְלָאָֽה׃'}]}]}]}"
6,Lamentations 3:6,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּמַחֲשַׁכִּ֥ים'}, {'name': 'הוֹשִׁיבַ֖נִי'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כְּמֵתֵ֥י'}, {'name': 'עוֹלָֽם׃'}]}]}]}"
7,Lamentations 3:7,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'גָּדַ֧ר'}, {'name': 'בַּעֲדִ֛י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וְלֹ֥א'}, {'name': 'אֵצֵ֖א'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'הִכְבִּ֥יד'}, {'name': 'נְחָשְׁתִּֽי׃'}]}]}]}"
8,Lamentations 3:8,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'גַּ֣ם'}, {'name': 'כִּ֤י'}, {'name': 'אֶזְעַק֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַאֲשַׁוֵּ֔עַ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שָׂתַ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תְּפִלָּתִֽי׃'}]}]}]}]}"
9,Lamentations 3:9,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'גָּדַ֤ר'}, {'name': 'דְּרָכַי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּגָזִ֔ית'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נְתִיבֹתַ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עִוָּֽה׃'}]}]}]}]}"
10,Lamentations 3:10,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'דֹּ֣ב'}, {'name': 'אֹרֵ֥ב'}, {'name': 'הוּא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לִ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲרִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּמִסְתָּרִֽים׃'}]}]}]}]}"
11,Lamentations 3:11,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'דְּרָכַ֥י'}, {'name': 'סוֹרֵ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וַֽיְפַשְּׁחֵ֖נִי'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'שָׂמַ֥נִי'}, {'name': 'שֹׁמֵֽם׃'}]}]}]}"
12,Lamentations 3:12,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'דָּרַ֤ךְ'}, {'name': 'קַשְׁתוֹ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיַּצִּיבֵ֔נִי'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כַּמַּטָּרָ֖א'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לַחֵֽץ׃'}]}]}]}]}"
13,Lamentations 3:13,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הֵבִיא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּכִלְיוֹתָ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּנֵ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אַשְׁפָּתֽוֹ׃'}]}]}]}]}"
14,Lamentations 3:14,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הָיִ֤יתִי'}, {'name': 'שְּׂחֹק֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְכָל־עַמִּ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'נְגִינָתָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כָּל־הַיּֽוֹם׃'}]}]}]}]}"
15,Lamentations 3:15,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הִשְׂבִּיעַ֥נִי'}, {'name': 'בַמְּרוֹרִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הִרְוַ֥נִי'}, {'name': 'לַעֲנָֽה׃'}]}]}]}"
16,Lamentations 3:16,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיַּגְרֵ֤ס'}, {'name': 'בֶּֽחָצָץ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שִׁנָּ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הִכְפִּישַׁ֖נִי'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בָּאֵֽפֶר׃'}]}]}]}]}"
17,Lamentations 3:17,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַתִּזְנַ֧ח'}, {'name': 'מִשָּׁל֛וֹם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'נַפְשִׁ֖י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'נָשִׁ֥יתִי'}, {'name': 'טוֹבָֽה׃'}]}]}]}"
18,Lamentations 3:18,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וָאֹמַר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אָבַ֣ד'}, {'name': 'נִצְחִ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְתוֹחַלְתִּ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵיְהוָֽה׃'}]}]}]}]}"
