verse,reference,tree_raw
1,Leviticus 24:1,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיְדַבֵּ֥ר'}, {'name': 'יְהוָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶל־מֹשֶׁ֥ה'}, {'name': 'לֵּאמֹֽר׃'}]}]}]}"
2,Leviticus 24:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'צַ֞ו'}]}, {'name': 'REVIA', 'children': [{'name': 'אֶת־בְּנֵ֣י'}, {'name': 'יִשְׂרָאֵ֗ל'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְיִקְח֨וּ'}, {'name': 'אֵלֶ֜יךָ'}]}, {'name': 'TEVIR', 'children': [{'name': 'שֶׁ֣מֶן'}, {'name': 'זַ֥יִת'}, {'name': 'זָ֛ךְ'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'כָּתִ֖ית'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַמָּא֑וֹר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְהַעֲלֹ֥ת'}, {'name': 'נֵ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תָּמִֽיד׃'}]}]}]}"
3,Leviticus 24:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'מִחוּץ֩'}, {'name': 'לְפָרֹ֨כֶת'}, {'name': 'הָעֵדֻ֜ת'}]}, {'name': 'REVIA', 'children': [{'name': 'בְּאֹ֣הֶל'}, {'name': 'מוֹעֵ֗ד'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'יַעֲרֹךְ֩'}, {'name': 'אֹת֨וֹ'}, {'name': 'אַהֲרֹ֜ן'}]}, {'name': 'TEVIR', 'children': [{'name': 'מֵעֶ֧רֶב'}, {'name': 'עַד־בֹּ֛קֶר'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'לִפְנֵ֥י'}, {'name': 'יְהוָ֖ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תָּמִ֑יד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חֻקַּ֥ת'}, {'name': 'עוֹלָ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְדֹרֹֽתֵיכֶֽם׃'}]}]}]}"
4,Leviticus 24:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'עַ֚ל'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַמְּנֹרָ֣ה'}, {'name': 'הַטְּהֹרָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יַעֲרֹ֖ךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־הַנֵּר֑וֹת'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לִפְנֵ֥י'}, {'name': 'יְהוָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תָּמִֽיד׃'}]}]}]}"
5,Leviticus 24:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְלָקַחְתָּ֣'}, {'name': 'סֹ֔לֶת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאָפִיתָ֣'}, {'name': 'אֹתָ֔הּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שְׁתֵּ֥ים'}, {'name': 'עֶשְׂרֵ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'חַלּ֑וֹת'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שְׁנֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עֶשְׂרֹנִ֔ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'יִהְיֶ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַֽחַלָּ֥ה'}, {'name': 'הָאֶחָֽת׃'}]}]}]}]}"
6,Leviticus 24:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְשַׂמְתָּ֥'}, {'name': 'אוֹתָ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'שְׁתַּ֥יִם'}, {'name': 'מַֽעֲרָכ֖וֹת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'שֵׁ֣שׁ'}, {'name': 'הַֽמַּעֲרָ֑כֶת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'עַ֛ל'}]}, {'name': 'TIPCHA', 'children': [{'name': 'הַשֻּׁלְחָ֥ן'}, {'name': 'הַטָּהֹ֖ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִפְנֵ֥י'}, {'name': 'יְהוָֽה׃'}]}]}]}"
7,Leviticus 24:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְנָתַתָּ֥'}, {'name': 'עַל־הַֽמַּעֲרֶ֖כֶת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְבֹנָ֣ה'}, {'name': 'זַכָּ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהָיְתָ֤ה'}, {'name': 'לַלֶּ֙חֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְאַזְכָּרָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִשֶּׁ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לַֽיהוָֽה׃'}]}]}]}]}"
8,Leviticus 24:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'בְּי֨וֹם'}, {'name': 'הַשַּׁבָּ֜ת'}]}, {'name': 'REVIA', 'children': [{'name': 'בְּי֣וֹם'}, {'name': 'הַשַּׁבָּ֗ת'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'יַֽעַרְכֶ֛נּוּ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לִפְנֵ֥י'}, {'name': 'יְהוָ֖ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תָּמִ֑יד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מֵאֵ֥ת'}, {'name': 'בְּנֵֽי־יִשְׂרָאֵ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּרִ֥ית'}, {'name': 'עוֹלָֽם׃'}]}]}]}"
9,Leviticus 24:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהָֽיְתָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְאַהֲרֹ֣ן'}, {'name': 'וּלְבָנָ֔יו'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַאֲכָלֻ֖הוּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּמָק֣וֹם'}, {'name': 'קָדֹ֑שׁ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'PAZER', 'children': [{'name': 'כִּ֡י'}]}, {'name': 'TEVIR', 'children': [{'name': 'קֹדֶשׁ֩'}, {'name': 'קָֽדָשִׁ֨ים'}, {'name': 'ה֥וּא'}, {'name': 'ל֛וֹ'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'מֵאִשֵּׁ֥י'}, {'name': 'יְהוָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'חָק־עוֹלָֽם׃'}]}]}]}"
10,Leviticus 24:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיֵּצֵא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בֶּן־אִשָּׁ֣ה'}, {'name': 'יִשְׂרְאֵלִ֔ית'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהוּא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בֶּן־אִ֣ישׁ'}, {'name': 'מִצְרִ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּת֖וֹךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'יִשְׂרָאֵ֑ל'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיִּנָּצוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּֽמַּחֲנֶ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'בֶּ֚ן'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַיִּשְׂרְאֵלִ֔ית'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאִ֖ישׁ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַיִּשְׂרְאֵלִֽי׃'}]}]}]}]}]}"
