verse,reference,tree_raw
1,Leviticus 3:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאִם־זֶ֥בַח'}, {'name': 'שְׁלָמִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'קָרְבָּנ֑וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אִ֤ם'}, {'name': 'מִן־הַבָּקָר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'ה֣וּא'}, {'name': 'מַקְרִ֔יב'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אִם־זָכָר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אִם־נְקֵבָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'תָּמִ֥ים'}, {'name': 'יַקְרִיבֶ֖נּוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִפְנֵ֥י'}, {'name': 'יְהוָֽה׃'}]}]}]}]}]}"
2,Leviticus 3:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְסָמַ֤ךְ'}, {'name': 'יָדוֹ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־רֹ֣אשׁ'}, {'name': 'קָרְבָּנ֔וֹ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'וּשְׁחָט֕וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'פֶּ֖תַח'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֹ֣הֶל'}, {'name': 'מוֹעֵ֑ד'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'PAZER', 'children': [{'name': 'וְזָרְק֡וּ'}]}, {'name': 'TEVIR', 'children': [{'name': 'בְּנֵי֩'}, {'name': 'אַהֲרֹ֨ן'}, {'name': 'הַכֹּהֲנִ֧ים'}, {'name': 'אֶת־הַדָּ֛ם'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַל־הַמִּזְבֵּ֖חַ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'סָבִֽיב׃'}]}]}]}"
3,Leviticus 3:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהִקְרִיב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִזֶּ֣בַח'}, {'name': 'הַשְּׁלָמִ֔ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִשֶּׁ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַיהוָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶת־הַחֵ֙לֶב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַֽמְכַסֶּ֣ה'}, {'name': 'אֶת־הַקֶּ֔רֶב'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֵת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּל־הַחֵ֔לֶב'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־הַקֶּֽרֶב׃'}]}]}]}]}]}"
4,Leviticus 3:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֵת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שְׁתֵּ֣י'}, {'name': 'הַכְּלָיֹ֔ת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֶת־הַחֵ֙לֶב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'עֲלֵהֶ֔ן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־הַכְּסָלִ֑ים'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֶת־הַיֹּתֶ֙רֶת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־הַכָּבֵ֔ד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עַל־הַכְּלָי֖וֹת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְסִירֶֽנָּה׃'}]}]}]}]}"
5,Leviticus 3:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהִקְטִ֨ירוּ'}, {'name': 'אֹת֤וֹ'}, {'name': 'בְנֵֽי־אַהֲרֹן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַמִּזְבֵּ֔חָה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־הָ֣עֹלָ'}, {'name': '֔ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'עַל־הָעֵצִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'עַל־הָאֵ֑שׁ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אִשֵּׁ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'רֵ֥יחַ'}, {'name': 'נִיחֹ֖חַ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'לַֽיהוָֽה׃'}]}]}]}"
6,Leviticus 3:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְאִם־מִן־הַצֹּ֧אן'}, {'name': 'קָרְבָּנ֛וֹ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לְזֶ֥בַח'}, {'name': 'שְׁלָמִ֖ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַיהוָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'זָכָר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'א֣וֹ'}, {'name': 'נְקֵבָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'תָּמִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יַקְרִיבֶֽנּוּ׃'}]}]}]}]}"
7,Leviticus 3:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִם־כֶּ֥שֶׂב'}, {'name': 'הֽוּא־מַקְרִ֖יב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־קָרְבָּנ֑וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהִקְרִ֥יב'}, {'name': 'אֹת֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לִפְנֵ֥י'}, {'name': 'יְהוָֽה׃'}]}]}]}"
8,Leviticus 3:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְסָמַ֤ךְ'}, {'name': 'אֶת־יָדוֹ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־רֹ֣אשׁ'}, {'name': 'קָרְבָּנ֔וֹ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְשָׁחַ֣ט'}, {'name': 'אֹת֔וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לִפְנֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֹ֣הֶל'}, {'name': 'מוֹעֵ֑ד'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וְ֠זָרְקוּ'}]}, {'name': 'TEVIR', 'children': [{'name': 'בְּנֵ֨י'}, {'name': 'אַהֲרֹ֧ן'}, {'name': 'אֶת־דָּמ֛וֹ'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַל־הַמִּזְבֵּ֖חַ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'סָבִֽיב׃'}]}]}]}"
9,Leviticus 3:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'וְהִקְרִ֨יב'}, {'name': 'מִזֶּ֣בַח'}, {'name': 'הַשְּׁלָמִים֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'אִשֶּׁ֣ה'}, {'name': 'לַיהוָה֒'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'חֶלְבּוֹ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הָאַלְיָ֣ה'}, {'name': 'תְמִימָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְעֻמַּ֥ת'}, {'name': 'הֶעָצֶ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְסִירֶ֑נָּה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֶת־הַחֵ֙לֶב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַֽמְכַסֶּ֣ה'}, {'name': 'אֶת־הַקֶּ֔רֶב'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֵת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּל־הַחֵ֔לֶב'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־הַקֶּֽרֶב׃'}]}]}]}]}]}"
10,Leviticus 3:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֵת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שְׁתֵּ֣י'}, {'name': 'הַכְּלָיֹ֔ת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֶת־הַחֵ֙לֶב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'עֲלֵהֶ֔ן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַל־הַכְּסָלִ֑ים'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֶת־הַיֹּתֶ֙רֶת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַל־הַכָּבֵ֔ד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עַל־הַכְּלָיֹ֖ת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְסִירֶֽנָּה׃'}]}]}]}]}"
