verse,reference,tree_raw
1,Malachi 3:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הִנְנִ֤י'}, {'name': 'שֹׁלֵחַ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מַלְאָכִ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּפִנָּה־דֶ֖רֶךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְפָנָ֑י'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וּפִתְאֹם֩'}, {'name': 'יָב֨וֹא'}, {'name': 'אֶל־הֵיכָל֜וֹ'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'הָאָד֣וֹן׀'}]}, {'name': 'REVIA', 'children': [{'name': 'אֲשֶׁר־אַתֶּ֣ם'}, {'name': 'מְבַקְשִׁ֗ים'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וּמַלְאַ֨ךְ'}, {'name': 'הַבְּרִ֜ית'}]}, {'name': 'PASHTA', 'children': [{'name': 'אֲשֶׁר־אַתֶּ֤ם'}, {'name': 'חֲפֵצִים֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הִנֵּה־בָ֔א'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אָמַ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְהוָ֥ה'}, {'name': 'צְבָאֽוֹת׃'}]}]}]}]}"
2,Malachi 3:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּמִ֤י'}, {'name': 'מְכַלְכֵּל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־י֣וֹם'}, {'name': 'בּוֹא֔וֹ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמִ֥י'}, {'name': 'הָעֹמֵ֖ד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּהֵרָֽאוֹת֑וֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּֽי־הוּא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כְּאֵ֣שׁ'}, {'name': 'מְצָרֵ֔ף'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּכְבֹרִ֖ית'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מְכַבְּסִֽים׃'}]}]}]}]}"
3,Malachi 3:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְיָשַׁ֨ב'}, {'name': 'מְצָרֵ֤ף'}, {'name': 'וּמְטַהֵר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כֶּ֔סֶף'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְטִהַ֤ר'}, {'name': 'אֶת־בְּנֵֽי־לֵוִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְזִקַּ֣ק'}, {'name': 'אֹתָ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כַּזָּהָ֖ב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְכַכָּ֑סֶף'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהָיוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַֽיהוָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מַגִּישֵׁ֥י'}, {'name': 'מִנְחָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בִּצְדָקָֽה׃'}]}]}]}]}"
4,Malachi 3:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְעָֽרְבָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַֽיהוָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִנְחַ֥ת'}, {'name': 'יְהוּדָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וִירֽוּשָׁלִָ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'כִּימֵ֣י'}, {'name': 'עוֹלָ֔ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּכְשָׁנִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'קַדְמֹנִיּֽוֹת׃'}]}]}]}]}"
5,Malachi 3:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'וְקָרַבְתִּ֣י'}, {'name': 'אֲלֵיכֶם֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'לַמִּשְׁפָּט֒'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'וְהָיִ֣יתִי׀'}]}, {'name': 'REVIA', 'children': [{'name': 'עֵ֣ד'}, {'name': 'מְמַהֵ֗ר'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בַּֽמְכַשְּׁפִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּבַמְנָ֣אֲפִ'}, {'name': '֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבַנִּשְׁבָּעִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַשָּׁ֑קֶר'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'וּבְעֹשְׁקֵ֣י'}, {'name': 'שְׂכַר־שָׂ֠כִיר'}]}, {'name': 'PASHTA', 'children': [{'name': 'אַלְמָנָ֨ה'}, {'name': 'וְיָת֤וֹם'}, {'name': 'וּמַטֵּי־גֵר֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְלֹ֣א'}, {'name': 'יְרֵא֔וּנִי'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אָמַ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְהוָ֥ה'}, {'name': 'צְבָאֽוֹת׃'}]}]}]}]}"
6,Malachi 3:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כִּ֛י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֲנִ֥י'}, {'name': 'יְהוָ֖ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֹ֣א'}, {'name': 'שָׁנִ֑יתִי'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאַתֶּ֥ם'}, {'name': 'בְּנֵֽי־יַעֲקֹ֖ב'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֹ֥א'}, {'name': 'כְלִיתֶֽם׃'}]}]}]}"
7,Malachi 3:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'לְמִימֵ֨י'}, {'name': 'אֲבֹתֵיכֶ֜ם'}]}, {'name': 'PASHTA', 'children': [{'name': 'סַרְתֶּ֤ם'}, {'name': 'מֵֽחֻקַּי֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְלֹ֣א'}, {'name': 'שְׁמַרְתֶּ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שׁ֤וּבוּ'}, {'name': 'אֵלַי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאָשׁ֣וּבָה'}, {'name': 'אֲלֵיכֶ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אָמַ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְהוָ֣ה'}, {'name': 'צְבָא֑וֹת'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַאֲמַרְתֶּ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּמֶּ֥ה'}, {'name': 'נָשֽׁוּב׃'}]}]}]}"
8,Malachi 3:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'הֲיִקְבַּ֨ע'}, {'name': 'אָדָ֜ם'}]}, {'name': 'REVIA', 'children': [{'name': 'אֱלֹהִ֗ים'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֤י'}, {'name': 'אַתֶּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'קֹבְעִ֣ים'}, {'name': 'אֹתִ֔י'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַאֲמַרְתֶּ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בַּמֶּ֣ה'}, {'name': 'קְבַעֲנ֑וּךָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הַֽמַּעֲשֵׂ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְהַתְּרוּמָֽה׃'}]}]}]}"
9,Malachi 3:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בַּמְּאֵרָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אַתֶּ֣ם'}, {'name': 'נֵֽאָרִ֔ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֹתִ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אַתֶּ֣ם'}, {'name': 'קֹבְעִ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הַגּ֖וֹי'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כֻּלּֽוֹ׃'}]}]}]}"
10,Malachi 3:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'הָבִ֨יאוּ'}, {'name': 'אֶת־כָּל־הַֽמַּעֲשֵׂ֜ר'}]}, {'name': 'REVIA', 'children': [{'name': 'אֶל־בֵּ֣ית'}, {'name': 'הָאוֹצָ֗ר'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וִיהִ֥י'}, {'name': 'טֶ֙רֶף֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּבֵיתִ֔י'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּבְחָנ֤וּנִי'}, {'name': 'נָא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בָּזֹ֔את'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אָמַ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְהוָ֣ה'}, {'name': 'צְבָא֑וֹת'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'אִם־לֹ֧א'}, {'name': 'אֶפְתַּ֣ח'}, {'name': 'לָכֶ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'YETIV', 'children': [{'name': 'אֵ֚ת'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲרֻבּ֣וֹת'}, {'name': 'הַשָּׁמַ֔יִם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַהֲרִיקֹתִ֥י'}, {'name': 'לָכֶ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בְּרָכָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַד־בְּלִי־דָֽי׃'}]}]}]}]}"
