verse,reference,tree_raw
1,Micah 1:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'דְּבַר־יְהוָ֣ה׀'}]}, {'name': 'REVIA', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'הָיָ֗ה'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶל־מִיכָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַמֹּ֣רַשְׁתִּ'}, {'name': '֔י'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'בִּימֵ֥י'}, {'name': 'יוֹתָ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אָחָ֥ז'}, {'name': 'יְחִזְקִיָּ֖ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מַלְכֵ֣י'}, {'name': 'יְהוּדָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁר־חָזָ֥ה'}, {'name': 'עַל־שֹׁמְר֖וֹן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וִירֽוּשָׁלִָֽם׃'}]}]}]}"
2,Micah 1:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שִׁמְעוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַמִּ֣ים'}, {'name': 'כֻּלָּ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הַקְשִׁ֖יבִי'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶ֣רֶץ'}, {'name': 'וּמְלֹאָ֑הּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וִיהִי֩'}, {'name': 'אֲדֹנָ֨י'}, {'name': 'יְהוִ֤ה'}, {'name': 'בָּכֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לְעֵ֔ד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲדֹנָ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵהֵיכַ֥ל'}, {'name': 'קָדְשֽׁוֹ׃'}]}]}]}]}"
3,Micah 1:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּֽי־הִנֵּ֥ה'}, {'name': 'יְהוָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יֹצֵ֣א'}, {'name': 'מִמְּקוֹמ֑וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְיָרַ֥ד'}, {'name': 'וְדָרַ֖ךְ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בָּ֥מֳתֵי'}, {'name': 'אָֽרֶץ׃'}]}]}]}"
4,Micah 1:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְנָמַ֤סּוּ'}, {'name': 'הֶֽהָרִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'תַּחְתָּ֔יו'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהָעֲמָקִ֖ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יִתְבַּקָּ֑עוּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כַּדּוֹנַג֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִפְּנֵ֣י'}, {'name': 'הָאֵ֔שׁ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כְּמַ֖יִם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֻגָּרִ֥ים'}, {'name': 'בְּמוֹרָֽד׃'}]}]}]}]}"
5,Micah 1:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּפֶ֤שַׁע'}, {'name': 'יַֽעֲקֹב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּל־זֹ֔את'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבְחַטֹּ֖אות'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֵּ֣ית'}, {'name': 'יִשְׂרָאֵ֑ל'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'מִֽי־פֶ֣שַׁע'}, {'name': 'יַעֲקֹ֗ב'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הֲלוֹא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שֹֽׁמְר֔וֹן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּמִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בָּמ֣וֹת'}, {'name': 'יְהוּדָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הֲל֖וֹא'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְרוּשָׁלִָֽם׃'}]}]}]}]}]}"
6,Micah 1:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְשַׂמְתִּ֥י'}, {'name': 'שֹׁמְר֛וֹן'}]}, {'name': 'TIPCHA', 'children': [{'name': 'לְעִ֥י'}, {'name': 'הַשָּׂדֶ֖ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְמַטָּ֣עֵי'}, {'name': 'כָ֑רֶם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהִגַּרְתִּ֤י'}, {'name': 'לַגַּי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲבָנֶ֔יהָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וִיסֹדֶ֖יהָ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֲגַלֶּֽה׃'}]}]}]}]}"
7,Micah 1:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְכָל־פְּסִילֶ֣יהָ'}, {'name': 'יֻכַּ֗תּוּ'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְכָל־אֶתְנַנֶּ֙יהָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יִשָּׂרְפ֣וּ'}, {'name': 'בָאֵ֔שׁ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְכָל־עֲצַבֶּ֖יהָ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אָשִׂ֣ים'}, {'name': 'שְׁמָמָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'TELISHA_GEDOLA', 'children': [{'name': 'כִּ֠י'}]}, {'name': 'PASHTA', 'children': [{'name': 'מֵאֶתְנַ֤ן'}, {'name': 'זוֹנָה֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'קִבָּ֔צָה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעַד־אֶתְנַ֥ן'}, {'name': 'זוֹנָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יָשֽׁוּבוּ׃'}]}]}]}]}"
8,Micah 1:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַל־זֹאת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶסְפְּדָ֣ה'}, {'name': 'וְאֵילִ֔ילָה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֵילְכָ֥ה'}, {'name': 'שׁוֹלָ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְעָר֑וֹם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶעֱשֶׂ֤ה'}, {'name': 'מִסְפֵּד֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כַּתַּנִּ֔ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֵ֖בֶל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כִּבְנ֥וֹת'}, {'name': 'יַעֲנָֽה׃'}]}]}]}]}"
9,Micah 1:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּ֥י'}, {'name': 'אֲנוּשָׁ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מַכּוֹתֶ֑יהָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּי־בָ֙אָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עַד־יְהוּדָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'נָגַ֛ע'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עַד־שַׁ֥עַר'}, {'name': 'עַמִּ֖י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַד־יְרוּשָׁלִָֽם׃'}]}]}]}]}"
10,Micah 1:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּגַת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אַל־תַּגִּ֔ידוּ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בָּכ֖וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אַל־תִּבְכּ֑וּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּבֵ֣ית'}, {'name': 'לְעַפְרָ֔ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עָפָ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הִתְפַּלָּֽשִׁי׃'}]}]}]}]}"
