verse,reference,tree_raw
1,Nehemiah 1:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'דִּבְרֵ֥י'}, {'name': 'נְחֶמְיָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֶּן־חֲכַלְיָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַיְהִ֤י'}, {'name': 'כִּסְלֵיו֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שְׁנַ֣ת'}, {'name': 'עֶשְׂרִ֔ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַאֲנִ֥י'}, {'name': 'הָיִ֖יתִי'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בְּשׁוּשַׁ֥ן'}, {'name': 'הַבִּירָֽה׃'}]}]}]}]}"
2,Nehemiah 1:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיָּבֹ֨א'}, {'name': 'חֲנָ֜נִי'}]}, {'name': 'TEVIR', 'children': [{'name': 'אֶחָ֧ד'}, {'name': 'מֵאַחַ֛י'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'ה֥וּא'}, {'name': 'וַאֲנָשִׁ֖ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִֽיהוּדָ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וָאֶשְׁאָלֵ֞ם'}]}, {'name': 'TEVIR', 'children': [{'name': 'עַל־הַיְּהוּדִ֧ים'}, {'name': 'הַפְּלֵיטָ֛ה'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֲשֶֽׁר־נִשְׁאֲר֥וּ'}, {'name': 'מִן־הַשֶּׁ֖בִי'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְעַל־יְרוּשָׁלִָֽם׃'}]}]}]}"
3,Nehemiah 1:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'SEGOLTA', 'children': [{'name': 'ZARQA', 'children': [{'name': 'וַיֹּאמְרוּ֮'}]}, {'name': 'SEGOLTA', 'children': [{'name': 'לִי֒'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'הַֽנִּשְׁאָרִ֞ים'}]}, {'name': 'PASHTA', 'children': [{'name': 'אֲשֶֽׁר־נִשְׁאֲר֤וּ'}, {'name': 'מִן־הַשְּׁבִי֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שָׁ֣ם'}, {'name': 'בַּמְּדִינָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּרָעָ֥ה'}, {'name': 'גְדֹלָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וּבְחֶרְפָּ֑ה'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְחוֹמַ֤ת'}, {'name': 'יְרוּשָׁלִַ֙ם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מְפֹרָ֔צֶת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּשְׁעָרֶ֖יהָ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'נִצְּת֥וּ'}, {'name': 'בָאֵֽשׁ׃'}]}]}]}]}"
4,Nehemiah 1:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וַיְהִ֞י'}]}, {'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'כְּשָׁמְעִ֣י׀'}]}, {'name': 'REVIA', 'children': [{'name': 'אֶת־הַדְּבָרִ֣ים'}, {'name': 'הָאֵ֗לֶּה'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'יָשַׁ֙בְתִּי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וָֽאֶבְכֶּ֔ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וָאֶתְאַבְּלָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יָמִ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וָֽאֱהִ֥י'}, {'name': 'צָם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִתְפַּלֵּ֔ל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לִפְנֵ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֱלֹהֵ֥י'}, {'name': 'הַשָּׁמָֽיִם׃'}]}]}]}]}"
5,Nehemiah 1:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וָאֹמַ֗ר'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אָֽנָּ֤א'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֱלֹהֵ֣י'}, {'name': 'הַשָּׁמַ֔יִם'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הָאֵ֥ל'}, {'name': 'הַגָּד֖וֹל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְהַנּוֹרָ֑א'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שֹׁמֵ֤ר'}, {'name': 'הַבְּרִית֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וָחֶ֔סֶד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְאֹהֲבָ֖יו'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּלְשֹׁמְרֵ֥י'}, {'name': 'מִצְוֺתָֽיו׃'}]}]}]}]}"
6,Nehemiah 1:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'KARNEI_PARA', 'children': [{'name': 'תְּהִ֣י'}, {'name': 'נָ֣א'}, {'name': 'אָזְנְךָֽ־קַשֶּׁ֣בֶת'}, {'name': 'וְֽעֵינֶ֪יךָ'}, {'name': 'פְתֻוּח֟וֹת'}]}, {'name': 'PASHTA', 'children': [{'name': 'PAZER', 'children': [{'name': 'לִשְׁמֹ֣עַ'}, {'name': 'אֶל־תְּפִלַּ֣ת'}, {'name': 'עַבְדְּךָ֡'}]}, {'name': 'PASHTA', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'אָנֹכִי֩'}, {'name': 'מִתְפַּלֵּ֨ל'}, {'name': 'לְפָנֶ֤יךָ'}, {'name': 'הַיּוֹם֙'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יוֹמָ֣ם'}, {'name': 'וָלַ֔יְלָה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עַל־בְּנֵ֥י'}, {'name': 'יִשְׂרָאֵ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עֲבָדֶ֑יךָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וּמִתְוַדֶּ֗ה'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַל־חַטֹּ֤אות'}, {'name': 'בְּנֵֽי־יִשְׂרָאֵל֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'חָטָ֣אנוּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַאֲנִ֥י'}, {'name': 'וּבֵית־אָבִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'חָטָֽאנוּ׃'}]}]}]}]}"
7,Nehemiah 1:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'חֲבֹ֖ל'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'חָבַ֣לְנוּ'}, {'name': 'לָ֑ךְ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְלֹא־שָׁמַ֣רְנוּ'}, {'name': 'אֶת־הַמִּצְוֺ֗ת'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאֶת־הַֽחֻקִּים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְאֶת־הַמִּשְׁפָּטִ֔ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'צִוִּ֖יתָ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶת־מֹשֶׁ֥ה'}, {'name': 'עַבְדֶּֽךָ׃'}]}]}]}]}"
8,Nehemiah 1:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'זְכָר־נָא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־הַדָּבָ֔ר'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'צִוִּ֛יתָ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶת־מֹשֶׁ֥ה'}, {'name': 'עַבְדְּךָ֖'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֵאמֹ֑ר'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'אַתֶּ֣ם'}, {'name': 'תִּמְעָ֔לוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_GADOL', 'children': [{'name': 'אֲנִ֕י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אָפִ֥יץ'}, {'name': 'אֶתְכֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בָּעַמִּֽים׃'}]}]}]}]}]}"
9,Nehemiah 1:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְשַׁבְתֶּ֣ם'}, {'name': 'אֵלַ֔י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּשְׁמַרְתֶּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִצְוֺתַ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַעֲשִׂיתֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֹתָ֑ם'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'אִם־יִהְיֶ֨ה'}, {'name': 'נִֽדַּחֲכֶ֜ם'}]}, {'name': 'PASHTA', 'children': [{'name': 'בִּקְצֵ֤ה'}, {'name': 'הַשָּׁמַ֙יִם֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִשָּׁ֣ם'}, {'name': 'אֲקַבְּצֵ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַהֲבִֽיאוֹתִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־הַמָּק֔וֹם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'בָּחַ֔רְתִּי'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְשַׁכֵּ֥ן'}, {'name': 'אֶת־שְׁמִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שָֽׁם׃'}]}]}]}]}]}]}"
10,Nehemiah 1:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהֵ֥ם'}, {'name': 'עֲבָדֶ֖יךָ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וְעַמֶּ֑ךָ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֲשֶׁ֤ר'}, {'name': 'פָּדִ֙יתָ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּכֹחֲךָ֣'}, {'name': 'הַגָּד֔וֹל'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּבְיָדְךָ֖'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַחֲזָקָֽה׃'}]}]}]}]}"
