verse,reference,tree_raw
1,Numbers 29:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וּבַחֹ֨דֶשׁ'}, {'name': 'הַשְּׁבִיעִ֜י'}]}, {'name': 'REVIA', 'children': [{'name': 'בְּאֶחָ֣ד'}, {'name': 'לַחֹ֗דֶשׁ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִֽקְרָא־קֹ֙דֶשׁ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יִהְיֶ֣ה'}, {'name': 'לָכֶ֔ם'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כָּל־מְלֶ֥אכֶת'}, {'name': 'עֲבֹדָ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֹ֣א'}, {'name': 'תַעֲשׂ֑וּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'י֥וֹם'}, {'name': 'תְּרוּעָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יִהְיֶ֥ה'}, {'name': 'לָכֶֽם׃'}]}]}]}"
2,Numbers 29:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַעֲשִׂיתֶ֨ם'}, {'name': 'עֹלָ֜ה'}]}, {'name': 'PASHTA', 'children': [{'name': 'לְרֵ֤יחַ'}, {'name': 'נִיחֹ֙חַ֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַֽיהוָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'פַּ֧ר'}, {'name': 'בֶּן־בָּקָ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶחָ֖ד'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אַ֣יִל'}, {'name': 'אֶחָ֑ד'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כְּבָשִׂ֧ים'}, {'name': 'בְּנֵי־שָׁנָ֛ה'}]}, {'name': 'TIPCHA', 'children': [{'name': 'שִׁבְעָ֖ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'תְּמִימִֽם׃'}]}]}]}"
3,Numbers 29:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִנְחָתָ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'סֹ֖לֶת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּלוּלָ֣ה'}, {'name': 'בַשָּׁ֑מֶן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שְׁלֹשָׁ֤ה'}, {'name': 'עֶשְׂרֹנִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַפָּ֔ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שְׁנֵ֥י'}, {'name': 'עֶשְׂרֹנִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לָאָֽיִל׃'}]}]}]}]}"
4,Numbers 29:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וְעִשָּׂר֣וֹן'}, {'name': 'אֶחָ֔ד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לַכֶּ֖בֶשׂ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הָאֶחָ֑ד'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְשִׁבְעַ֖ת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַכְּבָשִֽׂים׃'}]}]}]}"
5,Numbers 29:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּשְׂעִיר־עִזִּ֥ים'}, {'name': 'אֶחָ֖ד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'חַטָּ֑את'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְכַפֵּ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עֲלֵיכֶֽם׃'}]}]}]}"
6,Numbers 29:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'מִלְּבַד֩'}, {'name': 'עֹלַ֨ת'}, {'name': 'הַחֹ֜דֶשׁ'}]}, {'name': 'REVIA', 'children': [{'name': 'וּמִנְחָתָ֗הּ'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְעֹלַ֤ת'}, {'name': 'הַתָּמִיד֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִנְחָתָ֔הּ'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְנִסְכֵּיהֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'כְּמִשְׁפָּטָ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'לְרֵ֣יחַ'}, {'name': 'נִיחֹ֔חַ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִשֶּׁ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לַיהוָֽה׃'}]}]}]}]}"
7,Numbers 29:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וּבֶעָשׂוֹר֩'}, {'name': 'לַחֹ֨דֶשׁ'}, {'name': 'הַשְּׁבִיעִ֜י'}]}, {'name': 'REVIA', 'children': [{'name': 'הַזֶּ֗ה'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִֽקְרָא־קֹ֙דֶשׁ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יִהְיֶ֣ה'}, {'name': 'לָכֶ֔ם'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעִנִּיתֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֶת־נַפְשֹׁתֵיכֶ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כָּל־מְלָאכָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֹ֥א'}, {'name': 'תַעֲשֽׂוּ׃'}]}]}]}"
8,Numbers 29:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהִקְרַבְתֶּ֨ם'}, {'name': 'עֹלָ֤ה'}, {'name': 'לַֽיהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רֵ֣יחַ'}, {'name': 'נִיחֹ֔חַ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'פַּ֧ר'}, {'name': 'בֶּן־בָּקָ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'אֶחָ֖ד'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אַ֣יִל'}, {'name': 'אֶחָ֑ד'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כְּבָשִׂ֤ים'}, {'name': 'בְּנֵֽי־שָׁנָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שִׁבְעָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'תְּמִימִ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יִהְי֥וּ'}, {'name': 'לָכֶֽם׃'}]}]}]}]}"
9,Numbers 29:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמִנְחָתָ֔ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'סֹ֖לֶת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּלוּלָ֣ה'}, {'name': 'בַשָּׁ֑מֶן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שְׁלֹשָׁ֤ה'}, {'name': 'עֶשְׂרֹנִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לַפָּ֔ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שְׁנֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עֶשְׂרֹנִ֔ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לָאַ֖יִל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הָאֶחָֽד׃'}]}]}]}]}]}"
10,Numbers 29:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עִשָּׂרוֹן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עִשָּׂר֔וֹן'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לַכֶּ֖בֶשׂ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הָאֶחָ֑ד'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לְשִׁבְעַ֖ת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַכְּבָשִֽׂים׃'}]}]}]}"
