"verse","reference","tree_raw"
"1","Obadiah 1:1","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'NP', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.5355, 'children': [{'name': 'חֲזֹ֖ון', 'phrase': ['subs']}]}, {'name': 'ETNACHTA', 'text': 'N', 'children': [{'name': 'עֹֽבַדְיָ֑ה', 'phrase': ['nmpr']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9193, 'children': [{'name': 'REVIA', 'text': 'VP', 'probability': 0.9118, 'children': [{'name': 'GERESH', 'text': 'VP', 'probability': 0.2283, 'children': [{'name': 'כֹּֽה־אָמַר֩', 'phrase': ['advb_verb']}, {'name': 'אֲדֹנָ֨י', 'phrase': ['nmpr']}, {'name': 'יְהוִ֜ה', 'phrase': ['nmpr']}]}, {'name': 'REVIA', 'text': 'P', 'children': [{'name': 'לֶ', 'phrase': ['prep']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'S', 'children': [{'name': 'PASHTA', 'text': 'S', 'probability': 0.2567, 'children': [{'name': 'GERESH', 'text': 'NP', 'probability': 0.2172, 'children': [{'name': 'אֱדֹ֗ום', 'phrase': ['nmpr']}, {'name': 'שְׁמוּעָ֨ה', 'phrase': ['subs']}]}, {'name': 'PASHTA', 'text': 'VP', 'children': [{'name': 'שָׁמַ֜עְנוּ', 'phrase': ['verb']}, {'name': 'מֵ', 'phrase': ['prep']}]}]}, {'name': 'ZAKEF_KATON', 'text': 'S', 'children': [{'name': 'PASHTA', 'text': 'P', 'probability': 0.873, 'children': [{'name': 'אֵ֤ת', 'phrase': ['prep']}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'יְהוָה֙', 'phrase': ['nmpr']}, {'name': 'וְ', 'phrase': ['conj']}]}]}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': 'TEVIR', 'text': 'N', 'probability': 0.9467, 'children': [{'name': 'צִיר֙', 'phrase': ['subs']}]}, {'name': 'TIPCHA', 'text': 'S', 'children': [{'name': 'בַּ', 'phrase': ['prep']}, {'name': '-', 'phrase': ['art']}]}]}, {'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'גֹּויִ֣ם', 'phrase': ['subs']}]}]}]}]}"
"2","Obadiah 1:2","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.5355, 'children': [{'name': 'TEVIR', 'text': 'NP', 'probability': 0.1278, 'children': [{'name': 'הִנֵּ֥ה', 'phrase': ['intj']}, {'name': 'קָטֹ֛ן', 'phrase': ['adjv']}]}, {'name': 'TIPCHA', 'text': 'V', 'children': [{'name': 'נְתַתִּ֖יךָ', 'phrase': ['verb']}]}]}, {'name': 'ETNACHTA', 'text': 'P', 'children': [{'name': 'בַּ', 'phrase': ['prep']}]}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': '-', 'phrase': ['art']}, {'name': 'גֹּויִ֑ם', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'V', 'children': [{'name': 'בָּז֥וּי', 'phrase': ['verb']}]}]}]}"
"3","Obadiah 1:3","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9407, 'children': [{'name': 'PASHTA', 'text': 'NP', 'probability': 0.3484, 'children': [{'name': 'זְדֹ֤ון', 'phrase': ['subs']}, {'name': 'לִבְּךָ֙', 'phrase': ['subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'V', 'children': [{'name': 'הִשִּׁיאֶ֔ךָ', 'phrase': ['verb']}]}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.7271, 'children': [{'name': 'שֹׁכְנִ֥י', 'phrase': ['verb']}, {'name': 'בְ', 'phrase': ['prep']}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'חַגְוֵי־סֶּ֖לַע', 'phrase': ['subs_subs']}, {'name': 'מְרֹ֣ום', 'phrase': ['subs']}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9123, 'children': [{'name': 'שִׁבְתֹּ֑ו', 'phrase': ['verb']}, {'name': 'אֹמֵ֣ר', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': 'בְּ', 'phrase': ['prep']}, {'name': 'לִבֹּ֔ו', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'מִ֥י', 'phrase': ['prin']}]}]}]}]}"
"4","Obadiah 1:4","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9407, 'children': [{'name': 'אִם־תַּגְבִּ֣יהַּ', 'phrase': ['conj_verb']}, {'name': 'כַּ', 'phrase': ['prep']}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.7271, 'children': [{'name': '-', 'phrase': ['art']}, {'name': 'נֶּ֔שֶׁר', 'phrase': ['subs']}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'אִם־בֵּ֥ין', 'phrase': ['conj_subs']}]}]}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.5132, 'children': [{'name': 'כֹּֽוכָבִ֖ים', 'phrase': ['subs']}, {'name': 'שִׂ֣ים', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'קִנֶּ֑ךָ', 'phrase': ['subs']}]}]}]}"
"5","Obadiah 1:5","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9544, 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.873, 'children': [{'name': 'אִם־גַּנָּבִ֤ים', 'phrase': ['conj_subs']}, {'name': 'בָּאֽוּ־לְךָ֙', 'phrase': ['verb_prep']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'אִם־שֹׁ֣ודְדֵי', 'phrase': ['conj_verb']}, {'name': 'לַ֔יְלָה', 'phrase': ['subs']}]}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9101, 'children': [{'name': 'אֵ֣יךְ', 'phrase': ['inrg']}, {'name': 'נִדְמֵ֔יתָה', 'phrase': ['verb']}]}, {'name': 'ETNACHTA', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'S', 'probability': 0.5355, 'children': [{'name': 'הֲ', 'phrase': ['inrg']}, {'name': 'לֹ֥וא', 'phrase': ['nega']}]}, {'name': 'ETNACHTA', 'text': 'V', 'children': [{'name': 'יִגְנְב֖וּ', 'phrase': ['verb']}]}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9123, 'children': [{'name': 'PASHTA', 'text': 'N', 'probability': 0.873, 'children': [{'name': 'דַּיָּ֑ם', 'phrase': ['subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'אִם־בֹּֽצְרִים֙', 'phrase': ['conj_verb']}, {'name': 'בָּ֣אוּ', 'phrase': ['verb']}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'P', 'probability': 0.7748, 'children': [{'name': 'לָ֔ךְ', 'phrase': ['prep']}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'הֲ', 'phrase': ['inrg']}, {'name': 'לֹ֖וא', 'phrase': ['nega']}]}]}]}]}"
"6","Obadiah 1:6","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.2173, 'children': [{'name': 'YETIV', 'text': 'Q', 'probability': 0.0761, 'children': [{'name': 'אֵ֚יךְ', 'phrase': ['inrg']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'נֶחְפְּשׂ֣וּ', 'phrase': ['verb']}, {'name': 'עֵשָׂ֔ו', 'phrase': ['nmpr']}]}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'V', 'probability': 0.5132, 'children': [{'name': 'נִבְע֖וּ', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'מַצְפֻּנָֽיו', 'phrase': ['subs']}]}]}]}]}"
"7","Obadiah 1:7","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'ZAKEF_KATON', 'text': 'S', 'probability': 0.9544, 'children': [{'name': 'REVIA', 'text': 'NP', 'probability': 0.74, 'children': [{'name': 'עַֽד־הַ', 'phrase': ['prep_art']}, {'name': 'גְּב֣וּל', 'phrase': ['subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'YETIV', 'text': 'V', 'probability': 0.0761, 'children': [{'name': 'שִׁלְּח֗וּךָ', 'phrase': ['verb']}]}, {'name': 'ZAKEF_KATON', 'text': 'NP', 'children': [{'name': 'כֹּ֚ל', 'phrase': ['subs']}, {'name': 'אַנְשֵׁ֣י', 'phrase': ['subs']}]}]}]}, {'name': 'ETNACHTA', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.7271, 'children': [{'name': 'TEVIR', 'text': 'N', 'probability': 0.9467, 'children': [{'name': 'בְרִיתֶ֔ךָ', 'phrase': ['subs']}]}, {'name': 'TIPCHA', 'text': 'VP', 'children': [{'name': 'הִשִּׁיא֛וּךָ', 'phrase': ['verb']}, {'name': 'יָכְל֥וּ', 'phrase': ['verb']}]}]}, {'name': 'ETNACHTA', 'text': 'NP', 'children': [{'name': 'לְךָ֖', 'phrase': ['prep']}, {'name': 'אַנְשֵׁ֣י', 'phrase': ['subs']}]}]}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'ZAKEF_KATON', 'text': 'VP', 'probability': 0.9123, 'children': [{'name': 'REVIA', 'text': 'N', 'probability': 0.74, 'children': [{'name': 'שְׁלֹמֶ֑ךָ', 'phrase': ['subs']}]}, {'name': 'ZAKEF_KATON', 'text': 'VP', 'children': [{'name': 'PASHTA', 'text': 'VP', 'probability': 0.3484, 'children': [{'name': 'לַחְמְךָ֗', 'phrase': ['subs']}, {'name': 'יָשִׂ֤ימוּ', 'phrase': ['verb']}]}, {'name': 'ZAKEF_KATON', 'text': 'N', 'children': [{'name': 'מָזֹור֙', 'phrase': ['subs']}]}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'NP', 'probability': 0.5132, 'children': [{'name': 'תַּחְתֶּ֔יךָ', 'phrase': ['subs']}, {'name': 'אֵ֥ין', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'תְּבוּנָ֖ה', 'phrase': ['subs']}]}]}]}]}"
"8","Obadiah 1:8","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'S', 'probability': 0.5355, 'children': [{'name': 'TEVIR', 'text': 'Q', 'probability': 0.9467, 'children': [{'name': 'הֲ', 'phrase': ['inrg']}]}, {'name': 'TIPCHA', 'text': 'S', 'children': [{'name': 'לֹ֛וא', 'phrase': ['nega']}, {'name': 'בַּ', 'phrase': ['prep']}]}]}, {'name': 'ETNACHTA', 'text': 'D', 'children': [{'name': '-', 'phrase': ['art']}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'ZAKEF_KATON', 'text': 'NP', 'probability': 0.9123, 'children': [{'name': 'PASHTA', 'text': 'NP', 'probability': 0.3484, 'children': [{'name': 'יֹּ֥ום', 'phrase': ['subs']}, {'name': 'הַ', 'phrase': ['art']}]}, {'name': 'ZAKEF_KATON', 'text': 'N', 'children': [{'name': 'ה֖וּא', 'phrase': ['prps']}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'נְאֻם', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'יְהוָ֑ה', 'phrase': ['nmpr']}, {'name': 'וְ', 'phrase': ['conj']}]}]}]}]}"
"9","Obadiah 1:9","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'VP', 'probability': 0.5355, 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'חַתּ֥וּ', 'phrase': ['verb']}]}, {'name': 'ETNACHTA', 'text': 'N', 'children': [{'name': 'גִבֹּורֶ֖יךָ', 'phrase': ['subs']}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'S', 'probability': 0.5132, 'children': [{'name': 'TEVIR', 'text': 'NP', 'probability': 0.9467, 'children': [{'name': 'תֵּימָ֑ן', 'phrase': ['nmpr']}, {'name': 'לְמַ֧עַן', 'phrase': ['prep']}]}, {'name': 'TIPCHA', 'text': 'VP', 'children': [{'name': 'יִכָּֽרֶת־אִ֛ישׁ', 'phrase': ['verb_subs']}, {'name': 'מֵ', 'phrase': ['prep']}]}]}, {'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'הַ֥ר', 'phrase': ['subs']}]}]}]}"
"10","Obadiah 1:10","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'S', 'probability': 1.0, 'children': [{'name': 'TIPCHA', 'text': 'S', 'probability': 0.7271, 'children': [{'name': 'TEVIR', 'text': 'P', 'probability': 0.9467, 'children': [{'name': 'מֵ', 'phrase': ['prep']}]}, {'name': 'TIPCHA', 'text': 'NP', 'children': [{'name': 'חֲמַ֛ס', 'phrase': ['subs']}, {'name': 'אָחִ֥יךָ', 'phrase': ['subs']}]}]}, {'name': 'ETNACHTA', 'text': 'VP', 'children': [{'name': 'יַעֲקֹ֖ב', 'phrase': ['nmpr']}, {'name': 'תְּכַסְּךָ֣', 'phrase': ['verb']}]}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.5132, 'children': [{'name': 'בוּשָׁ֑ה', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'C', 'children': [{'name': 'וְ', 'phrase': ['conj']}]}]}]}"
