"verse","reference","tree_raw"
"1","Proverbs 11:1","{'name': 'PASUK', 'text': 'NP', 'children': [{'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'מֹאזְנֵ֣י', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'מִ֭רְמָה', 'phrase': ['subs']}, {'name': 'תֹּועֲבַ֣ת', 'phrase': ['subs']}]}]}]}"
"2","Proverbs 11:2","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'בָּֽא־זָ֭דֹון', 'phrase': ['verb_subs']}, {'name': 'וַ', 'phrase': ['conj']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'יָּבֹ֣א', 'phrase': ['verb']}, {'name': 'קָלֹ֑ון', 'phrase': ['subs']}]}]}"
"3","Proverbs 11:3","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'תֻּמַּ֣ת', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'יְשָׁרִ֣ים', 'phrase': ['adjv']}, {'name': 'תַּנְחֵ֑ם', 'phrase': ['verb']}]}]}]}"
"7","Proverbs 11:7","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'P', 'probability': 0.7748, 'children': [{'name': 'בְּ', 'phrase': ['prep']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'מֹ֤ות', 'phrase': ['subs']}, {'name': 'אָדָ֣ם', 'phrase': ['subs']}]}]}]}"
"8","Proverbs 11:8","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'NP', 'probability': 1.0, 'children': [{'name': 'צַ֭דִּיק', 'phrase': ['adjv']}, {'name': 'מִ', 'phrase': ['prep']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'צָּרָ֣ה', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'נֶחֱלָ֑ץ', 'phrase': ['verb']}, {'name': 'וַ', 'phrase': ['conj']}]}]}]}"
"10","Proverbs 11:10","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'TIPCHA', 'text': 'P', 'probability': 0.7748, 'children': [{'name': 'בְּ', 'phrase': ['prep']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'ט֣וּב', 'phrase': ['subs']}, {'name': 'צַ֭דִּיקִים', 'phrase': ['adjv']}]}]}]}"
"12","Proverbs 11:12","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'בָּז־לְ', 'phrase': ['verb_prep']}, {'name': 'רֵעֵ֥הוּ', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'חֲסַר־לֵ֑ב', 'phrase': ['adjv_subs']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'אִ֖ישׁ', 'phrase': ['subs']}]}]}]}"
"13","Proverbs 11:13","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'הֹולֵ֣ךְ', 'phrase': ['verb']}, {'name': 'רָ֭כִיל', 'phrase': ['subs']}]}]}"
"15","Proverbs 11:15","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'רַע־יֵ֭רֹועַ', 'phrase': ['adjv_verb']}, {'name': 'כִּי־עָ֣רַב', 'phrase': ['conj_verb']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'זָ֑ר', 'phrase': ['adjv']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'שֹׂנֵ֖א', 'phrase': ['verb']}]}]}]}"
"19","Proverbs 11:19","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'NP', 'probability': 1.0, 'children': [{'name': 'כֵּן־צְדָקָ֥ה', 'phrase': ['adjv_subs']}, {'name': 'לְ', 'phrase': ['prep']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'חַיִּ֑ים', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'וּ', 'phrase': ['conj']}, {'name': 'מְרַדֵּ֖ף', 'phrase': ['verb']}]}]}]}"
"21","Proverbs 11:21","{'name': 'PASUK', 'text': 'NP', 'children': [{'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'יָ֣ד', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'לְ֭', 'phrase': ['prep']}, {'name': 'יָד', 'phrase': ['subs']}]}]}]}"
"23","Proverbs 11:23","{'name': 'PASUK', 'text': 'NP', 'children': [{'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'תַּאֲוַ֣ת', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'צַדִּיקִ֣ים', 'phrase': ['adjv']}, {'name': 'אַךְ־טֹ֑וב', 'phrase': ['advb_adjv']}]}]}]}"
"27","Proverbs 11:27","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'V', 'probability': 0.7748, 'children': [{'name': 'שֹׁ֣חֵֽר', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'טֹ֭וב', 'phrase': ['adjv']}, {'name': 'יְבַקֵּ֣שׁ', 'phrase': ['verb']}]}]}]}"
"30","Proverbs 11:30","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'NP', 'probability': 1.0, 'children': [{'name': 'פְּֽרִי־צַ֭דִּיק', 'phrase': ['subs_adjv']}, {'name': 'עֵ֣ץ', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'N', 'probability': 0.7748, 'children': [{'name': 'חַיִּ֑ים', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'וְ', 'phrase': ['conj']}, {'name': 'לֹקֵ֖חַ', 'phrase': ['verb']}]}]}]}"
