"verse","reference","tree_raw"
"3","Psalms 119:3","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'אַ֭ף', 'phrase': ['advb']}, {'name': 'לֹֽא־פָעֲל֣וּ', 'phrase': ['nega_verb']}]}, {'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'עַוְלָ֑ה', 'phrase': ['subs']}, {'name': 'בִּ', 'phrase': ['prep']}]}]}"
"8","Psalms 119:8","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'אֶת־חֻקֶּ֥יךָ', 'phrase': ['prep_subs']}, {'name': 'אֶשְׁמֹ֑ר', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'אַֽל־תַּעַזְבֵ֥נִי', 'phrase': ['nega_verb']}, {'name': 'עַד־מְאֹֽד', 'phrase': ['prep_subs']}]}]}"
"11","Psalms 119:11","{'name': 'PASUK', 'text': 'NP', 'children': [{'name': 'SILLUQ', 'text': 'NP', 'children': [{'name': 'בְּ֭', 'phrase': ['prep']}, {'name': 'לִבִּי', 'phrase': ['subs']}]}]}"
"13","Psalms 119:13","{'name': 'PASUK', 'text': 'P', 'children': [{'name': 'SILLUQ', 'text': 'P', 'children': [{'name': 'בִּ', 'phrase': ['prep']}]}]}"
"16","Psalms 119:16","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'NP', 'probability': 1.0, 'children': [{'name': 'בְּ', 'phrase': ['prep']}, {'name': 'חֻקֹּתֶ֥יךָ', 'phrase': ['subs']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'אֶֽשְׁתַּעֲשָׁ֑ע', 'phrase': ['verb']}, {'name': 'לֹ֭א', 'phrase': ['nega']}]}]}"
"19","Psalms 119:19","{'name': 'PASUK', 'text': 'N', 'children': [{'name': 'SILLUQ', 'text': 'N', 'children': [{'name': 'גֵּ֣ר', 'phrase': ['subs']}]}]}"
"20","Psalms 119:20","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'גָּרְסָ֣ה', 'phrase': ['verb']}, {'name': 'נַפְשִׁ֣י', 'phrase': ['subs']}]}]}"
"21","Psalms 119:21","{'name': 'PASUK', 'text': 'V', 'children': [{'name': 'SILLUQ', 'text': 'V', 'children': [{'name': 'גָּ֭עַרְתָּ', 'phrase': ['verb']}]}]}"
"22","Psalms 119:22","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'TIPCHA', 'text': 'V', 'probability': 0.7748, 'children': [{'name': 'גַּ֣ל', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'S', 'children': [{'name': 'מֵֽ֭', 'phrase': ['prep']}, {'name': 'עָלַי', 'phrase': ['prep']}]}]}]}"
"29","Psalms 119:29","{'name': 'PASUK', 'text': 'VP', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'דֶּֽרֶךְ־שֶׁ֭קֶר', 'phrase': ['subs_subs']}, {'name': 'הָסֵ֣ר', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'P', 'children': [{'name': 'מִמֶּ֑נִּי', 'phrase': ['prep']}, {'name': 'וְֽ', 'phrase': ['conj']}]}]}"
"30","Psalms 119:30","{'name': 'PASUK', 'text': 'S', 'children': [{'name': 'ETNACHTA', 'text': 'VP', 'probability': 1.0, 'children': [{'name': 'דֶּֽרֶךְ־אֱמוּנָ֥ה', 'phrase': ['subs_subs']}, {'name': 'בָחָ֑רְתִּי', 'phrase': ['verb']}]}, {'name': 'SILLUQ', 'text': 'VP', 'children': [{'name': 'מִשְׁפָּטֶ֥יךָ', 'phrase': ['subs']}, {'name': 'שִׁוִּֽיתִי', 'phrase': ['verb']}]}]}"
