verse,reference,tree_raw
1,Ruth 1:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיְהִ֗י'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בִּימֵי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שְׁפֹ֣ט'}, {'name': 'הַשֹּׁפְטִ֔ים'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיְהִ֥י'}, {'name': 'רָעָ֖ב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בָּאָ֑רֶץ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַיֵּ֨לֶךְ'}, {'name': 'אִ֜ישׁ'}]}, {'name': 'REVIA', 'children': [{'name': 'מִבֵּ֧ית'}, {'name': 'לֶ֣חֶם'}, {'name': 'יְהוּדָ֗ה'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לָגוּר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בִּשְׂדֵ֣י'}, {'name': 'מוֹאָ֔ב'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'ה֥וּא'}, {'name': 'וְאִשְׁתּ֖וֹ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּשְׁנֵ֥י'}, {'name': 'בָנָֽיו׃'}]}]}]}]}"
2,Ruth 1:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'PAZER', 'children': [{'name': 'וְשֵׁ֣ם'}, {'name': 'הָאִ֣ישׁ'}, {'name': 'ֽלִימֶ֡לֶךְ'}]}, {'name': 'PASHTA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וְשֵׁם֩'}, {'name': 'אִשְׁתּ֨וֹ'}, {'name': 'נָעֳמִ֜י'}]}, {'name': 'PASHTA', 'children': [{'name': 'וְשֵׁ֥ם'}, {'name': 'שְׁנֵֽי־בָנָ֣יו'}, {'name': 'מַחְל֤וֹן'}, {'name': 'וְכִלְיוֹן֙'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶפְרָתִ֔ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִבֵּ֥ית'}, {'name': 'לֶ֖חֶם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'יְהוּדָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּבֹ֥אוּ'}, {'name': 'שְׂדֵי־מוֹאָ֖ב'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַיִּֽהְיוּ־שָֽׁם׃'}]}]}]}"
3,Ruth 1:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּ֥מָת'}, {'name': 'אֱלִימֶ֖לֶךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אִ֣ישׁ'}, {'name': 'נָעֳמִ֑י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתִּשָּׁאֵ֥ר'}, {'name': 'הִ֖יא'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּשְׁנֵ֥י'}, {'name': 'בָנֶֽיהָ׃'}]}]}]}"
4,Ruth 1:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַיִּשְׂא֣וּ'}, {'name': 'לָהֶ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'נָשִׁים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מֹֽאֲבִיּ֔וֹת'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שֵׁ֤ם'}, {'name': 'הָֽאַחַת֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עָרְפָּ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְשֵׁ֥ם'}, {'name': 'הַשֵּׁנִ֖ית'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ר֑וּת'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיֵּ֥שְׁבוּ'}, {'name': 'שָׁ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כְּעֶ֥שֶׂר'}, {'name': 'שָׁנִֽים׃'}]}]}]}"
5,Ruth 1:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיָּמ֥וּתוּ'}, {'name': 'גַם־שְׁנֵיהֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מַחְל֣וֹן'}, {'name': 'וְכִלְי֑וֹן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתִּשָּׁאֵר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הָֽאִשָּׁ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִשְּׁנֵ֥י'}, {'name': 'יְלָדֶ֖יהָ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וּמֵאִישָֽׁהּ׃'}]}]}]}]}"
6,Ruth 1:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתָּ֤קָם'}, {'name': 'הִיא֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְכַלֹּתֶ֔יהָ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתָּ֖שָׁב'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִשְּׂדֵ֣י'}, {'name': 'מוֹאָ֑ב'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֤י'}, {'name': 'שָֽׁמְעָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בִּשְׂדֵ֣ה'}, {'name': 'מוֹאָ֔ב'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּֽי־פָקַ֤ד'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־עַמּ֔וֹ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לָתֵ֥ת'}, {'name': 'לָהֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לָֽחֶם׃'}]}]}]}]}]}"
7,Ruth 1:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וַתֵּצֵ֗א'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מִן־הַמָּקוֹם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֲשֶׁ֣ר'}, {'name': 'הָיְתָה־שָׁ֔מָּה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּשְׁתֵּ֥י'}, {'name': 'כַלֹּתֶ֖יהָ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עִמָּ֑הּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַתֵּלַ֣כְנָה'}, {'name': 'בַדֶּ֔רֶךְ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לָשׁ֖וּב'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֶל־אֶ֥רֶץ'}, {'name': 'יְהוּדָֽה׃'}]}]}]}]}"
8,Ruth 1:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתֹּ֤אמֶר'}, {'name': 'נָעֳמִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לִשְׁתֵּ֣י'}, {'name': 'כַלֹּתֶ֔יהָ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'לֵ֣כְנָה'}, {'name': 'שֹּׁ֔בְנָה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִשָּׁ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְבֵ֣ית'}, {'name': 'אִמָּ֑הּ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'יַ֣עַשׂ'}, {'name': 'יְהוָ֤ה'}, {'name': 'עִמָּכֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'חֶ֔סֶד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כַּאֲשֶׁ֧ר'}, {'name': 'עֲשִׂיתֶ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'עִם־הַמֵּתִ֖ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְעִמָּדִֽי׃'}]}]}]}]}"
9,Ruth 1:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'יִתֵּ֤ן'}, {'name': 'יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לָכֶ֔ם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וּמְצֶ֣אןָ'}, {'name': 'מְנוּחָ֔ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִשָּׁ֖ה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בֵּ֣ית'}, {'name': 'אִישָׁ֑הּ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'וַתִּשַּׁ֣ק'}, {'name': 'לָהֶ֔ן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתִּשֶּׂ֥אנָה'}, {'name': 'קוֹלָ֖ן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'וַתִּבְכֶּֽינָה׃'}]}]}]}]}"
10,Ruth 1:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַתֹּאמַ֖רְנָה־לָּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': '֑הּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּי־אִתָּ֥ךְ'}, {'name': 'נָשׁ֖וּב'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְעַמֵּֽךְ׃'}]}]}]}"
11,Ruth 1:11,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתֹּ֤אמֶר'}, {'name': 'נָעֳמִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שֹׁ֣בְנָה'}, {'name': 'בְנֹתַ֔י'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לָ֥מָּה'}, {'name': 'תֵלַ֖כְנָה'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עִמִּ֑י'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הַֽעֽוֹד־לִ֤י'}, {'name': 'בָנִים֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּֽמֵעַ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהָי֥וּ'}, {'name': 'לָכֶ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לַאֲנָשִֽׁים׃'}]}]}]}]}"
