verse,reference,tree_raw
1,Song of Songs 4:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הִנָּ֨ךְ'}, {'name': 'יָפָ֤ה'}, {'name': 'רַעְיָתִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הִנָּ֣ךְ'}, {'name': 'יָפָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'עֵינַ֣יִךְ'}, {'name': 'יוֹנִ֔ים'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִבַּ֖עַד'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְצַמָּתֵ֑ךְ'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שַׂעְרֵךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כְּעֵ֣דֶר'}, {'name': 'הָֽעִזִּ֔ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שֶׁגָּלְשׁ֖וּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵהַ֥ר'}, {'name': 'גִּלְעָֽד׃'}]}]}]}]}"
2,Song of Songs 4:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שִׁנַּ֙יִךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כְּעֵ֣דֶר'}, {'name': 'הַקְּצוּב֔וֹת'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'שֶׁעָל֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִן־הָרַחְצָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שֶׁכֻּלָּם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מַתְאִימ֔וֹת'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְשַׁכֻּלָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֵ֥ין'}, {'name': 'בָּהֶֽם׃'}]}]}]}]}"
3,Song of Songs 4:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כְּח֤וּט'}, {'name': 'הַשָּׁנִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'שִׂפְתֹתַ֔יִךְ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמִדְבָּרֵ֖יךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'נָאוֶ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כְּפֶ֤לַח'}, {'name': 'הָֽרִמּוֹן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רַקָּתֵ֔ךְ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מִבַּ֖עַד'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לְצַמָּתֵֽךְ׃'}]}]}]}]}"
4,Song of Songs 4:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כְּמִגְדַּ֤ל'}, {'name': 'דָּוִיד֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'צַוָּארֵ֔ךְ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בָּנ֖וּי'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לְתַלְפִּיּ֑וֹת'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֶ֤לֶף'}, {'name': 'הַמָּגֵן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'תָּל֣וּי'}, {'name': 'עָלָ֔יו'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כֹּ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שִׁלְטֵ֥י'}, {'name': 'הַגִּבּוֹרִֽים׃'}]}]}]}]}"
5,Song of Songs 4:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'שְׁנֵ֥י'}, {'name': 'שָׁדַ֛יִךְ'}]}, {'name': 'TIPCHA', 'children': [{'name': 'כִּשְׁנֵ֥י'}, {'name': 'עֳפָרִ֖ים'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תְּאוֹמֵ֣י'}, {'name': 'צְבִיָּ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הָרוֹעִ֖ים'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בַּשּׁוֹשַׁנִּֽים׃'}]}]}]}"
6,Song of Songs 4:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עַ֤ד'}, {'name': 'שֶׁיָּפ֙וּחַ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'הַיּ֔וֹם'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְנָ֖סוּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'הַצְּלָלִ֑ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֵ֤לֶךְ'}, {'name': 'לִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶל־הַ֣ר'}, {'name': 'הַמּ֔וֹר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאֶל־גִּבְעַ֖ת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'הַלְּבוֹנָֽה׃'}]}]}]}]}"
7,Song of Songs 4:7,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כֻּלָּ֤ךְ'}, {'name': 'יָפָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'רַעְיָתִ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמ֖וּם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אֵ֥ין'}, {'name': 'בָּֽךְ׃'}]}]}]}]}"
8,Song of Songs 4:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אִתִּ֤י'}, {'name': 'מִלְּבָנוֹן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כַּלָּ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אִתִּ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מִלְּבָנ֣וֹן'}, {'name': 'תָּב֑וֹאִי'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'תָּשׁ֣וּרִי׀'}]}, {'name': 'REVIA', 'children': [{'name': 'מֵרֹ֣אשׁ'}, {'name': 'אֲמָנָ֗ה'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מֵרֹ֤אשׁ'}, {'name': 'שְׂנִיר֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְחֶרְמ֔וֹן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'מִמְּעֹנ֣וֹת'}, {'name': 'אֲרָי֔וֹת'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מֵֽהַרְרֵ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'נְמֵרִֽים׃'}]}]}]}]}]}"
9,Song of Songs 4:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'לִבַּבְתִּ֖נִי'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲחֹתִ֣י'}, {'name': 'כַלָּ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'לִבַּבְתִּ֙ינִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּאַחַ֣ת'}, {'name': 'מֵעֵינַ֔יִךְ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּאַחַ֥ד'}, {'name': 'עֲנָ֖ק'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִצַּוְּרֹנָֽיִךְ׃'}]}]}]}]}"
10,Song of Songs 4:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'מַה־יָּפ֥וּ'}, {'name': 'דֹדַ֖יִךְ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'אֲחֹתִ֣י'}, {'name': 'כַלָּ֑ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מַה־טֹּ֤בוּ'}, {'name': 'דֹדַ֙יִךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִיַּ֔יִן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְרֵ֥יחַ'}, {'name': 'שְׁמָנַ֖יִךְ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מִכָּל־בְּשָׂמִֽים׃'}]}]}]}]}"
