verse,reference,tree_raw
1,Zechariah 9:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'מַשָּׂ֤א'}, {'name': 'דְבַר־יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בְּאֶ֣רֶץ'}, {'name': 'חַדְרָ֔ךְ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְדַמֶּ֖שֶׂק'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'מְנֻחָת֑וֹ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֤י'}, {'name': 'לַֽיהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עֵ֣ין'}, {'name': 'אָדָ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְכֹ֖ל'}]}, {'name': 'SILLUQ', 'children': [{'name': 'שִׁבְטֵ֥י'}, {'name': 'יִשְׂרָאֵֽל׃'}]}]}]}]}"
2,Zechariah 9:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְגַם־חֲמָ֖ת'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תִּגְבָּל־בָּ֑הּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'צֹ֣ר'}, {'name': 'וְצִיד֔וֹן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּ֥י'}, {'name': 'חָֽכְמָ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מְאֹֽד׃'}]}]}]}]}"
3,Zechariah 9:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וַתִּ֥בֶן'}, {'name': 'צֹ֛ר'}]}, {'name': 'TIPCHA', 'children': [{'name': 'מָצ֖וֹר'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לָ֑הּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וַתִּצְבָּר־כֶּ֙סֶף֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כֶּֽעָפָ֔ר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְחָר֖וּץ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כְּטִ֥יט'}, {'name': 'חוּצֽוֹת׃'}]}]}]}]}"
4,Zechariah 9:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הִנֵּ֤ה'}, {'name': 'אֲדֹנָי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יֽוֹרִשֶׁ֔נָּה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהִכָּ֥ה'}, {'name': 'בַיָּ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'חֵילָ֑הּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהִ֖יא'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בָּאֵ֥שׁ'}, {'name': 'תֵּאָכֵֽל׃'}]}]}]}"
5,Zechariah 9:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'תֵּרֶ֨א'}, {'name': 'אַשְׁקְל֜וֹן'}]}, {'name': 'REVIA', 'children': [{'name': 'וְתִירָ֗א'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְעַזָּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְתָחִ֣יל'}, {'name': 'מְאֹ֔ד'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעֶקְר֖וֹן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'כִּֽי־הֹבִ֣ישׁ'}, {'name': 'מֶבָּטָ֑הּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְאָ֤בַד'}, {'name': 'מֶ֙לֶךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מֵֽעַזָּ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאַשְׁקְל֖וֹן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֹ֥א'}, {'name': 'תֵשֵֽׁב׃'}]}]}]}]}"
6,Zechariah 9:6,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְיָשַׁ֥ב'}, {'name': 'מַמְזֵ֖ר'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּאַשְׁדּ֑וֹד'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהִכְרַתִּ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'גְּא֥וֹן'}, {'name': 'פְּלִשְׁתִּֽים׃'}]}]}]}"
7,Zechariah 9:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'וַהֲסִרֹתִ֨י'}, {'name': 'דָמָ֜יו'}]}, {'name': 'REVIA', 'children': [{'name': 'מִפִּ֗יו'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְשִׁקֻּצָיו֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִבֵּ֣ין'}, {'name': 'שִׁנָּ֔יו'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְנִשְׁאַ֥ר'}, {'name': 'גַּם־ה֖וּא'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לֵֽאלֹהֵ֑ינוּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְהָיָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כְּאַלֻּ֣ף'}, {'name': 'בִּֽיהוּדָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעֶקְר֖וֹן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'כִּיבוּסִֽי׃'}]}]}]}]}"
8,Zechariah 9:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְחָנִ֨יתִי'}, {'name': 'לְבֵיתִ֤י'}, {'name': 'מִצָּבָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מֵעֹבֵ֣ר'}, {'name': 'וּמִשָּׁ֔ב'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'וְלֹֽא־יַעֲבֹ֧ר'}, {'name': 'עֲלֵיהֶ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'ע֖וֹד'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'נֹגֵ֑שׂ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כִּ֥י'}, {'name': 'עַתָּ֖ה'}]}, {'name': 'SILLUQ', 'children': [{'name': 'רָאִ֥יתִי'}, {'name': 'בְעֵינָֽי׃'}]}]}]}"
9,Zechariah 9:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'גִּילִ֨י'}, {'name': 'מְאֹ֜ד'}]}, {'name': 'REVIA', 'children': [{'name': 'בַּת־צִיּ֗וֹן'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הָרִ֙יעִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּ֣ת'}, {'name': 'יְרוּשָׁלִַ֔ם'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'הִנֵּ֤ה'}, {'name': 'מַלְכֵּךְ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יָ֣בוֹא'}, {'name': 'לָ֔ךְ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'צַדִּ֥יק'}, {'name': 'וְנוֹשָׁ֖ע'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ה֑וּא'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'עָנִי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וְרֹכֵ֣ב'}, {'name': 'עַל־חֲמ֔וֹר'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעַל־עַ֖יִר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'בֶּן־אֲתֹנֽוֹת׃'}]}]}]}]}"
10,Zechariah 9:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְהִכְרַתִּי־רֶ֣כֶב'}, {'name': 'מֵאֶפְרַ֗יִם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְסוּס֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִיר֣וּשָׁלִַ'}, {'name': '֔ם'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וְנִכְרְתָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'קֶ֣שֶׁת'}, {'name': 'מִלְחָמָ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְדִבֶּ֥ר'}, {'name': 'שָׁל֖וֹם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לַגּוֹיִ֑ם'}]}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּמָשְׁלוֹ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'מִיָּ֣ם'}, {'name': 'עַד־יָ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וּמִנָּהָ֖ר'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַד־אַפְסֵי־אָֽרֶץ׃'}]}]}]}]}"
