verse,reference,tree_raw
1,Zephaniah 2:1,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הִֽתְקוֹשְׁשׁ֖וּ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'וָק֑וֹשּׁוּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'הַגּ֖וֹי'}]}, {'name': 'SILLUQ', 'children': [{'name': 'לֹ֥א'}, {'name': 'נִכְסָֽף׃'}]}]}]}"
2,Zephaniah 2:2,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּטֶ֙רֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֶ֣דֶת'}, {'name': 'חֹ֔ק'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'כְּמֹ֖ץ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עָ֣בַר'}, {'name': 'י֑וֹם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'MUNACH_LEGARMEIH', 'children': [{'name': 'בְּטֶ֣רֶם׀'}]}, {'name': 'REVIA', 'children': [{'name': 'לֹא־יָב֣וֹא'}, {'name': 'עֲלֵיכֶ֗ם'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'חֲרוֹן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אַף־יְהוָ֔ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בְּטֶ֙רֶם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'לֹא־יָב֣וֹא'}, {'name': 'עֲלֵיכֶ֔ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'י֖וֹם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אַף־יְהוָֽה׃'}]}]}]}]}]}"
3,Zephaniah 2:3,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בַּקְּשׁ֤וּ'}, {'name': 'אֶת־יְהוָה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כָּל־עַנְוֵ֣י'}, {'name': 'הָאָ֔רֶץ'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'אֲשֶׁ֥ר'}, {'name': 'מִשְׁפָּט֖וֹ'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'פָּעָ֑לוּ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בַּקְּשׁוּ־צֶ֙דֶק֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'בַּקְּשׁ֣וּ'}, {'name': 'עֲנָוָ֔ה'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אוּלַי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'תִּסָּ֣תְר'}, {'name': '֔וּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'בְּי֖וֹם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'אַף־יְהוָֽה׃'}]}]}]}]}]}"
4,Zephaniah 2:4,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֤י'}, {'name': 'עַזָּה֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'עֲזוּבָ֣ה'}, {'name': 'תִֽהְיֶ֔ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְאַשְׁקְל֖וֹן'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'לִשְׁמָמָ֑ה'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'אַשְׁדּ֗וֹד'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בַּֽצָּהֳרַ֙יִם֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יְגָ֣רְשׁ'}, {'name': '֔וּהָ'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְעֶקְר֖וֹן'}]}, {'name': 'SILLUQ', 'children': [{'name': 'תֵּעָקֵֽר׃'}]}]}]}]}"
5,Zephaniah 2:5,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'ה֗וֹי'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'יֹֽשְׁבֵ֛י'}]}, {'name': 'TIPCHA', 'children': [{'name': 'חֶ֥בֶל'}, {'name': 'הַיָּ֖ם'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'גּ֣וֹי'}, {'name': 'כְּרֵתִ֑ים'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'דְּבַר־יְהוָ֣ה'}, {'name': 'עֲלֵיכֶ֗ם'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כְּנַ֙עַן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶ֣רֶץ'}, {'name': 'פְּלִשְׁתִּ֔ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְהַאֲבַדְתִּ֖יךְ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'מֵאֵ֥ין'}, {'name': 'יוֹשֵֽׁב׃'}]}]}]}]}"
6,Zephaniah 2:6,"{'name': 'PASUK', 'children': [{'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'וְֽהָיְתָ֞ה'}]}, {'name': 'REVIA', 'children': [{'name': 'חֶ֣בֶל'}, {'name': 'הַיָּ֗ם'}]}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'נְוֺ֛ת'}]}, {'name': 'TIPCHA', 'children': [{'name': 'כְּרֹ֥ת'}, {'name': 'רֹעִ֖ים'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְגִדְר֥וֹת'}, {'name': 'צֹֽאן׃'}]}]}]}"
7,Zephaniah 2:7,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'REVIA', 'children': [{'name': 'וְהָ֣יָה'}, {'name': 'חֶ֗בֶל'}]}, {'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'לִשְׁאֵרִ֛ית'}]}, {'name': 'TIPCHA', 'children': [{'name': 'בֵּ֥ית'}, {'name': 'יְהוּדָ֖ה'}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עֲלֵיהֶ֣ם'}, {'name': 'יִרְע֑וּן'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'בְּבָתֵּ֣י'}, {'name': 'אַשְׁקְל֗וֹן'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'בָּעֶ֙רֶב֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יִרְבָּצ֔וּן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'כִּ֧י'}, {'name': 'יִפְקְדֵ֛ם'}]}, {'name': 'TIPCHA', 'children': [{'name': 'יְהוָ֥ה'}, {'name': 'אֱלֹהֵיהֶ֖ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'וְשָׁ֥ב'}, {'name': 'שְׁבִיתָֽם׃'}]}]}]}]}"
8,Zephaniah 2:8,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שָׁמַ֙עְתִּי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'חֶרְפַּ֣ת'}, {'name': 'מוֹאָ֔ב'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְגִדּוּפֵ֖י'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'בְּנֵ֣י'}, {'name': 'עַמּ֑וֹן'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'אֲשֶׁ֤ר'}, {'name': 'חֵֽרְפוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'אֶת־עַמִּ֔י'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וַיַּגְדִּ֖ילוּ'}]}, {'name': 'SILLUQ', 'children': [{'name': 'עַל־גְּבוּלָֽם׃'}]}]}]}]}"
9,Zephaniah 2:9,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'REVIA', 'children': [{'name': 'PAZER', 'children': [{'name': 'לָכֵ֣ן'}, {'name': 'חַי־אָ֡נִי'}]}, {'name': 'REVIA', 'children': [{'name': 'GERESH', 'children': [{'name': 'נְאֻם֩'}, {'name': 'יְהוָ֨ה'}, {'name': 'צְבָא֜וֹת'}]}, {'name': 'REVIA', 'children': [{'name': 'אֱלֹהֵ֣י'}, {'name': 'יִשְׂרָאֵ֗ל'}]}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'GERSHAYIM', 'children': [{'name': 'כִּֽי־מוֹאָ֞ב'}]}, {'name': 'PASHTA', 'children': [{'name': 'כִּסְדֹ֤ם'}, {'name': 'תִּֽהְיֶה֙'}]}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'וּבְנֵ֤י'}, {'name': 'עַמּוֹן֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'כַּֽעֲמֹרָ֔ה'}]}]}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'TEVIR', 'children': [{'name': 'מִמְשַׁ֥ק'}, {'name': 'חָר֛וּל'}]}, {'name': 'TIPCHA', 'children': [{'name': 'וּמִכְרֵה־מֶ֥לַח'}, {'name': 'וּשְׁמָמָ֖ה'}]}]}, {'name': 'ETNACHTA', 'children': [{'name': 'עַד־עוֹלָ֑ם'}]}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'שְׁאֵרִ֤ית'}, {'name': 'עַמִּי֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'יְבָזּ֔וּם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'וְיֶ֥תֶר'}, {'name': 'גּוֹיִ֖י'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יִנְחָלֽוּם׃'}]}]}]}]}"
10,Zephaniah 2:10,"{'name': 'PASUK', 'children': [{'name': 'ETNACHTA', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'זֹ֥את'}, {'name': 'לָהֶ֖ם'}]}, {'name': 'ETNACHTA', 'children': [{'name': 'תַּ֣חַת'}, {'name': 'גְּאוֹנָ֑ם'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'ZAKEF_KATON', 'children': [{'name': 'PASHTA', 'children': [{'name': 'כִּ֤י'}, {'name': 'חֵֽרְפוּ֙'}]}, {'name': 'ZAKEF_KATON', 'children': [{'name': 'וַיַּגְדִּ֔לוּ'}]}]}, {'name': 'SILLUQ', 'children': [{'name': 'TIPCHA', 'children': [{'name': 'עַל־עַ֖ם'}]}, {'name': 'SILLUQ', 'children': [{'name': 'יְהוָ֥ה'}, {'name': 'צְבָאֽוֹת׃'}]}]}]}]}"
