page,resource_type,author,url,sugya_id,title
2a,video,NotebookLM,https://youtu.be/yDMxJNLdecw,1,Temurah 2a: Sacred Substitution
2a,video,NotebookLM,https://youtu.be/mRZ5u5T3Yco,2,Temurah 2a: Illegal Efficacy
2a,video,NotebookLM,https://youtu.be/d2KCDdR_7HU,3,Temurah 2a-b: Inherited Asset Limits
2a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/928712.MP3?redirect=download.yutorah.org,,
2b,video,NotebookLM,https://youtu.be/d2KCDdR_7HU,3,Temurah 2a-b: Inherited Asset Limits
2b,video,NotebookLM,https://youtu.be/DfF9tr1ATVk,4,Temurah 2b: The Legal Paradox of a Discriminating Minor
2b,video,NotebookLM,https://youtu.be/er0kzeI1YSE,5,Temurah 2b-3a: Agency & Substitution
3a,video,NotebookLM,https://youtu.be/er0kzeI1YSE,5,Temurah 2b-3a: Agency & Substitution
3a,video,NotebookLM,https://youtu.be/XbdWwqT8jw4,6,Temurah 3a: Unpunished Misuse
3a,video,NotebookLM,https://youtu.be/EteUBfnjiwE,7,Temurah 3a: Legal Exemptions in Offerings
3a,video,NotebookLM,https://youtu.be/OpE-6D3jCWc,8,Temurah 3a: The Gentile Exclusion
3a,video,NotebookLM,https://youtu.be/0b-7NwkYG0w,9,Temurah 3a: How the Temple Managed Foreign Offerings
3a,video,NotebookLM,https://youtu.be/5wc-21AE1LU,10,"Temurah 3a: Property, Sanctity & Misuse"
3a,video,NotebookLM,https://youtu.be/ajrD-GCIszM,11,"Temurah 3a: Speech, Action, & Law"
3a,video,NotebookLM,https://youtu.be/5adKZbDhR3A,12,Temurah 3a: Action vs. Speech Law
3a,video,NotebookLM,https://youtu.be/U5T5AZ8FMcE,13,Temurah 3a-b: How Earthly Courts Forgive Vain Oaths
3a,audio,Menachem Kagan,https://shiurim.yutorah.net/2019/971/928797.MP3?redirect=download.yutorah.org,,
3b,video,NotebookLM,https://youtu.be/U5T5AZ8FMcE,13,Temurah 3a-b: How Earthly Courts Forgive Vain Oaths
3b,video,NotebookLM,https://youtu.be/dZOwdmeBlv8,14,Temurah 3b: Legal Mechanics: False Oath
3b,video,NotebookLM,https://youtu.be/CR4ylqdJCRM,15,Temurah 3b: How Speech Functions as an Action
3b,video,NotebookLM,https://youtu.be/dQ7RQEBL2Js,16,Temurah 3b-4a: The Legal Deduction
4a,video,NotebookLM,https://youtu.be/dQ7RQEBL2Js,16,Temurah 3b-4a: The Legal Deduction
4a,video,NotebookLM,https://youtu.be/jceKPEWVZEA,17,Temurah 4a: Paradox of Substitution
4a,video,NotebookLM,https://youtu.be/pruOBIundes,18,Temurah 4a-b: Procedural Error Mechanics
4a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/928861.MP3?redirect=download.yutorah.org,,
4b,video,NotebookLM,https://youtu.be/pruOBIundes,18,Temurah 4a-b: Procedural Error Mechanics
4b,video,NotebookLM,https://youtu.be/SExlcqLy-Ic,19,"Temurah 4b: Rule, Rupture & Resolution"
4b,video,NotebookLM,https://youtu.be/45ZP85A3Isw,20,Temurah 4b: Paschal Offering Leftovers
4b,video,NotebookLM,https://youtu.be/-aomrdtXaoE,21,Temurah 4b-5a: The Metaphysics of Defiance
5a,video,NotebookLM,https://youtu.be/-aomrdtXaoE,21,Temurah 4b-5a: The Metaphysics of Defiance
5a,video,NotebookLM,https://youtu.be/vBzbCh_BJ40,22,Temurah 5a: How Remedial Law Reverses Illegal Divorces
5a,video,NotebookLM,https://youtu.be/a41zaGmHMMA,23,Temurah 5a: Legal Paradoxes in Tithing
5a,video,NotebookLM,https://youtu.be/BrFG32MHuMk,24,Temurah 5a: Cross-Species Tithing
5a,video,NotebookLM,https://youtu.be/FGk1Tvv7XNU,25,Temurah 5a-b: Validity of Illegal Acts
5a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/928946.MP3?redirect=download.yutorah.org,,
5b,video,NotebookLM,https://youtu.be/FGk1Tvv7XNU,25,Temurah 5a-b: Validity of Illegal Acts
5b,video,NotebookLM,https://youtu.be/G9C35F1XcT0,26,Temurah 5b: How Sacred Substitution Breaks Legal Rules
5b,video,NotebookLM,https://youtu.be/mir9SGPeKHk,27,Temurah 5b: Illegal Actions in Torah Law
5b,video,NotebookLM,https://youtu.be/cdrFYToK5Kk,28,Temurah 5b: How Abaye Defends the Efficacy of Prohibited Acts
5b,video,NotebookLM,https://youtu.be/ouylD5AwCV0,30,Temurah 5b: Validity of Transgression
5b,video,NotebookLM,https://youtu.be/rgGDI-tjghU,31,Temurah 5b: How Forbidden Dedications Work
5b,video,NotebookLM,https://youtu.be/FAYisqDbgZM,32,Temurah 5b-6a: How Illegal Temple Donations Become Valid
6a,video,NotebookLM,https://youtu.be/FAYisqDbgZM,32,Temurah 5b-6a: How Illegal Temple Donations Become Valid
6a,video,NotebookLM,https://youtu.be/mQjBoMC8lQs,33,Temurah 6a: The Legal Stress Test
6a,video,NotebookLM,https://youtu.be/-2NwCmEpfcw,34,Temurah 6a: The Illegal Seizure Paradox
6a,video,NotebookLM,https://youtu.be/M_IjpGT6w7c,35,Temurah 6a: Law of the Harvest
6a,video,NotebookLM,https://youtu.be/0wt0VGhDZXI,36,Temurah 6a-b: Reality vs The Law
6a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/929018.MP3?redirect=download.yutorah.org,,
6b,video,NotebookLM,https://youtu.be/0wt0VGhDZXI,36,Temurah 6a-b: Reality vs The Law
6b,video,NotebookLM,https://youtu.be/rkH4cF2Jb4I,37,Temurah 6b: Repossessing Overvalued Interest Payments
6b,video,NotebookLM,https://youtu.be/Htif7E6iEis,38,Temurah 6b: How a Blemished Offering Triggers Five Prohibitions
6b,video,NotebookLM,https://youtu.be/WlvtUuT0H1w,39,Temurah 6b: Textual Limits of Sacrifice
6b,video,NotebookLM,https://youtu.be/z4FjXj5iO_M,40,Temurah 6b-7a: The Scapegoat Paradox
7a,video,NotebookLM,https://youtu.be/z4FjXj5iO_M,40,Temurah 6b-7a: The Scapegoat Paradox
7a,video,NotebookLM,https://youtu.be/ZulKe58F7WA,41,Temurah 7a: Blemished Sacrifices
7a,video,NotebookLM,https://youtu.be/r53uwPivlmE,42,Temurah 7a: Laws of Sacrifice
7a,video,NotebookLM,https://youtu.be/-LYSts5wCRM,43,Temurah 7a: Intent & Dignity in Law
7a,video,NotebookLM,https://youtu.be/5jyD7osTjbw,44,Temurah 7a: Why the Altar Rejects Flawed Animals
7a,video,NotebookLM,https://youtu.be/17dwQL9vJJo,45,Temurah 7a-b: Ethics of Dedication
7a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/929087.MP3?redirect=download.yutorah.org,,
7b,video,NotebookLM,https://youtu.be/17dwQL9vJJo,45,Temurah 7a-b: Ethics of Dedication
7b,video,NotebookLM,https://youtu.be/J5XilUppzKc,46,Temurah 7b: How One Donation Breaks Two Biblical Laws
