page,resource_type,author,url
2a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/997432.MP3?redirect=download.yutorah.org
3a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/997538.MP3?redirect=download.yutorah.org
4a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/997678.MP3?redirect=download.yutorah.org
5a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/997823.MP3?redirect=download.yutorah.org
6a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2013/1109/800506.MP3?redirect=download.yutorah.org
7a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/997946.MP3?redirect=download.yutorah.org
8a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/998041.MP3?redirect=download.yutorah.org
9a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/998154.MP3?redirect=download.yutorah.org
10a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/998297.MP3?redirect=download.yutorah.org
11a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/998449.MP3?redirect=download.yutorah.org
12a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/998675.MP3?redirect=download.yutorah.org
13a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2013/1109/800891.MP3?redirect=download.yutorah.org
14a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/998771.MP3?redirect=download.yutorah.org
15a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/998901.MP3?redirect=download.yutorah.org
16a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/999060.MP3?redirect=download.yutorah.org
17a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/999254.MP3?redirect=download.yutorah.org
18a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/999389.MP3?redirect=download.yutorah.org
19a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2021/1109/999524.MP3?redirect=download.yutorah.org
20a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2013/1109/801272.MP3?redirect=download.yutorah.org
